config_name,max_hold_days,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,hold_over_20d_count,hold_over_40d_count,hold_over_60d_count,hold_over_120d_count,avg_post_anchor_return_contribution,median_post_anchor_return_contribution,anchor_break_exit_count,max_hold_exit_count,fail_rebound_exit_count
anchor15_max20_r5,20,62,2005043.527050121,1.005043527050121,-0.14271275123632376,7.04242275720569,0.6774193548387096,0.01150496195196727,0.005148350298300797,15.338709677419354,17.0,17,0,0,0,0.0016490670748005797,-0.0006739401525140513,30,15,17
anchor15_max30_r5,30,62,1790925.3134269358,0.7909253134269358,-0.14271275123632376,5.542078802175223,0.6612903225806451,0.00965753852994639,0.004305165980084957,16.85483870967742,17.0,16,0,0,0,-0.0012368508512954504,-0.0018975249901649338,39,6,17
anchor15_max40_r5,40,60,1773592.4206332315,0.7735924206332314,-0.14271275123632376,5.420625795043421,0.65,0.009828550889857238,0.002867041583718921,17.666666666666668,17.0,16,4,0,0,-0.0009257225842738498,-0.0018975249901649338,40,3,17
anchor15_max60_r5,60,59,1859127.308503721,0.859127308503721,-0.14271275123632388,6.019975797965362,0.6440677966101694,0.010862839204024317,0.0029219373633466716,18.627118644067796,17.0,16,4,2,0,0.0002891416933178562,-0.0020003682836662873,40,2,17
anchor15_max90_r5,90,57,1691524.2864269866,0.6915242864269866,-0.15998052000226892,4.322553060942539,0.6491228070175439,0.009501494374260544,0.0029219373633466716,19.666666666666668,17.0,15,4,2,0,0.0012011589846107021,-0.0018914463799101222,38,2,17
anchor15_max120_r5,120,57,1677424.6971150388,0.6774246971150388,-0.14271275123632388,4.746770637146947,0.6491228070175439,0.009339121955715379,0.0029219373633466716,18.894736842105264,17.0,14,3,1,1,-0.0021125898669761825,-0.0020003682836662873,39,1,17
anchor15_max160_r5,160,57,1758580.5741719203,0.7585805741719203,-0.14271275123632376,5.315436550695854,0.6491228070175439,0.010211070204837107,0.0029219373633466716,19.596491228070175,17.0,14,3,1,1,-0.0008700636119777187,-0.0020003682836662873,39,1,17
anchor15_max200_r5,200,57,1854381.0759251583,0.8543810759251584,-0.14271275123632376,5.986718555445369,0.6491228070175439,0.011240362017063722,0.0029219373633466716,20.29824561403509,17.0,14,3,1,1,0.000596677220445209,-0.0020003682836662873,39,1,17
