model,date,rank,feature,value,z_score_vs_train,driver_score_proxy,pred_adjustment,target_position_proxy
hgb_l2_leaf20_live,2026-04-07,6,component_above200_breadth,0.7812277961581681,0.4156839602656607,0.012866408293937117,0,0.34681389
hgb_l2_leaf20_live,2026-04-08,1,ma200_slope20,0.03377938292121985,2.0430976567468564,0.3307872396637767,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,2,ma50_over_ma200,0.13698663464400784,1.7615240011641822,0.23906397158656761,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,3,base_position_v3,0.35879597,-0.48641708719275595,0.1034601423552846,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,4,dist_ma200,0.1688496395667003,1.458769453146198,0.03473260602729047,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,5,component_above200_breadth,0.8114391063061258,0.5523913347891781,0.01709782702918885,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,6,dist_sup20,0.10270899286981527,1.346808261094622,0.009620059007818725,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-09,1,ma200_slope20,0.03380144415925379,2.044896331168181,0.33107845361770544,-1,0.10710368999999997
hgb_l2_leaf20_live,2026-04-09,2,ma50_over_ma200,0.1361065976074074,1.746480185030773,0.23702231082560493,-1,0.10710368999999997
hgb_l2_leaf20_live,2026-04-09,3,base_position_v3,0.35710369,-0.49140118864108284,0.10452025282207159,-1,0.10710368999999997
hgb_l2_leaf20_live,2026-04-09,4,dist_ma200,0.15810354984142205,1.3294949138365206,0.031654640805631476,-1,0.10710368999999997
hgb_l2_leaf20_live,2026-04-09,5,component_above200_breadth,0.8114391063061258,0.5523913347891781,0.01709782702918885,-1,0.10710368999999997
hgb_l2_leaf20_live,2026-04-09,6,dist_sup60,0.09461906967948752,-0.08553081623078497,0.01411937283809784,-1,0.10710368999999997
hgb_l2_leaf20_live,2026-04-10,1,ma200_slope20,0.03391747364254094,2.0543563289882036,0.33261007231237577,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,2,ma50_over_ma200,0.13540517491770832,1.7344896965208838,0.23539503024211997,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,3,base_position_v3,0.36130168,-0.4790372724811911,0.10189046748012635,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,4,dist_ma200,0.17714939974284172,1.5586148574356833,0.0371098775579925,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,5,dist_sup60,0.11476623262969854,0.1974052640010596,0.032587535644619366,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,6,component_above200_breadth,0.8114391063061258,0.5523913347891781,0.01709782702918885,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-13,1,ma200_slope20,0.03403735903736815,2.0641307030661378,0.3341925900202318,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,2,ma50_over_ma200,0.13459785738967023,1.7206889859280663,0.23352207666166616,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,3,base_position_v3,0.35958904,-0.4840813381821758,0.10296333224827231,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,4,dist_ma200,0.16626990720775625,1.4277354937460383,0.03399370223204857,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,5,component_above200_breadth,0.8114391063061258,0.5523913347891781,0.01709782702918885,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,6,dist_sup60,0.10651497608074223,0.08152898947454701,0.01345875381802046,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-14,1,ma200_slope20,0.03424829846154376,2.0813288016556113,0.3369770440775751,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,2,ma50_over_ma200,0.13423308326234307,1.7144533450703439,0.23267581111668956,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,3,base_position_v3,0.36514291,-0.46772408553437606,0.09948417057397839,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,4,dist_sup60,0.1334346977030536,0.4595752948313733,0.07586639787692513,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,5,dist_ma200,0.19230634435794336,1.7409516034103987,0.04145122865262858,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,6,component_above200_breadth,0.8988443829562137,0.9479036721163616,0.02933987556550643,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-15,1,ma200_slope20,0.0344991501888785,2.1017809895522235,0.34028835068940755,-1,0.11616999
hgb_l2_leaf20_live,2026-04-15,2,ma50_over_ma200,0.13392084612563582,1.709115799172513,0.23195142988769823,-1,0.11616999
hgb_l2_leaf20_live,2026-04-15,3,base_position_v3,0.36616999,-0.46469913049410644,0.09884076743842898,-1,0.11616999
hgb_l2_leaf20_live,2026-04-15,4,dist_sup60,0.1384646419087916,0.5302131658245933,0.08752725277104399,-1,0.11616999
hgb_l2_leaf20_live,2026-04-15,5,dist_ma200,0.19517900577787417,1.775509474333501,0.04227403510317864,-1,0.11616999
hgb_l2_leaf20_live,2026-04-15,6,component_above200_breadth,0.8988443829562137,0.9479036721163616,0.02933987556550643,-1,0.11616999
hgb_l2_leaf20_live,2026-04-16,1,ma200_slope20,0.034755202821488584,2.122657212368004,0.34366831057386726,-1,0.12164797999999999
hgb_l2_leaf20_live,2026-04-16,2,ma50_over_ma200,0.13428085150386693,1.7152699205241195,0.23278663207113054,-1,0.12164797999999999
hgb_l2_leaf20_live,2026-04-16,3,dist_sup60,0.16557002311450342,0.9108667759872929,0.1503653090518706,-1,0.12164797999999999
hgb_l2_leaf20_live,2026-04-16,4,base_position_v3,0.37164798,-0.4485653595502203,0.09540913996782463,-1,0.12164797999999999
hgb_l2_leaf20_live,2026-04-16,5,dist_ma200,0.22098450870758435,2.085947465098224,0.04966541583567206,-1,0.12164797999999999
hgb_l2_leaf20_live,2026-04-16,6,component_above200_breadth,0.8988443829562137,0.9479036721163616,0.02933987556550643,-1,0.12164797999999999
hgb_l2_leaf20_live,2026-04-17,1,ma200_slope20,0.03515045611700618,2.154882602053656,0.3488857546182109,-1,0.11753107000000002
hgb_l2_leaf20_live,2026-04-17,2,ma50_over_ma200,0.13348214722779295,1.701616449392222,0.23093366098894444,-1,0.11753107000000002
hgb_l2_leaf20_live,2026-04-17,3,dist_sup60,0.14515550118448828,0.6241760479200433,0.10303858568838813,-1,0.11753107000000002
hgb_l2_leaf20_live,2026-04-17,4,base_position_v3,0.36753107,-0.4606904789711382,0.09798813362243257,-1,0.11753107000000002
hgb_l2_leaf20_live,2026-04-17,5,dist_ma200,0.19712862519649654,1.7989632290121667,0.042832457833623064,-1,0.11753107000000002
hgb_l2_leaf20_live,2026-04-17,6,component_above200_breadth,0.8988443829562137,0.9479036721163616,0.02933987556550643,-1,0.11753107000000002
hgb_l2_leaf20_live,2026-04-20,1,ma200_slope20,0.03575969616216135,2.2045545417689705,0.3569278781911666,-1,0.11891533999999998
hgb_l2_leaf20_live,2026-04-20,2,ma50_over_ma200,0.1330140454378741,1.6936144711045102,0.22984767822132643,-1,0.11891533999999998
hgb_l2_leaf20_live,2026-04-20,3,dist_sup60,0.15198994638438856,0.7201553746469798,0.11888279200521572,-1,0.11891533999999998
hgb_l2_leaf20_live,2026-04-20,4,base_position_v3,0.36891534,-0.4566135282822007,0.09712097268224586,-1,0.11891533999999998
hgb_l2_leaf20_live,2026-04-20,5,dist_ma200,0.2018086663496086,1.8552637233767089,0.044172945794683595,-1,0.11891533999999998
hgb_l2_leaf20_live,2026-04-20,6,component_above200_breadth,0.8988443829562137,0.9479036721163616,0.02933987556550643,-1,0.11891533999999998
hgb_l2_leaf20_live,2026-04-21,1,ma200_slope20,0.03632568669052305,2.2507003058693282,0.36439909714074836,-1,0.12098354
hgb_l2_leaf20_live,2026-04-21,2,ma50_over_ma200,0.13291241223732286,1.6918770997001782,0.22961189210216706,-1,0.12098354
hgb_l2_leaf20_live,2026-04-21,3,dist_sup60,0.1622571431893609,0.864342445856297,0.142685102173103,-1,0.12098354
hgb_l2_leaf20_live,2026-04-21,4,base_position_v3,0.37098354,-0.4505222676069994,0.09582537120529828,-1,0.12098354
hgb_l2_leaf20_live,2026-04-21,5,dist_ma200,0.20999749918468003,1.9537746812507748,0.04651844479168517,-1,0.12098354
