contract_version,model_set_version,model_id,train_policy,as_of_date,adjustment,base_position_v3,target_position_proxy,prob_down,prob_neutral,prob_up
nikkei_v3_hgb_adjustment.v1,research_daily_hgb_rf_v3_20260427,hgb_l2_leaf20_live,known_labels_asof,2026-04-24,-1,0.37242327,0.12242326999999997,0.9092244440432916,0.08504718093124117,0.005728375025467317
nikkei_v3_hgb_adjustment.v1,research_daily_hgb_rf_v3_20260427,rf_depth4_leaf20_live,known_labels_asof,2026-04-24,-1,0.37242327,0.12242326999999997,0.3921412298929322,0.36823984409392413,0.23961892601314363
