date,open,high,low,close,volume,ret1,ret3,ret5,ret10,ret20,ma20,ma50,ma200,dist_ma20,dist_ma50,dist_ma200,ma50_over_ma200,ma200_slope20,volume_ratio60,prior_high20,prior_low20,breakout20,breakdown20,prior_high60,prior_low60,breakout60,breakdown60,below200,dist_res20,dist_sup20,dist_sup60,regime_bull,regime_bear,regime_range,base_position_v3,component_b20_vol_count,component_b60_vol_count,component_vol_down_count,component_bd20_vol_count,weighted_b20_vol,weighted_b60_vol,weighted_vol_down,weighted_bd20_vol,component_above200_breadth,avg_component_vr,model,pred_adjustment,prob_-1,prob_0,prob_1,target_position_proxy,action_vs_35pct
2026-03-30,52054.6796875,52054.6796875,50566.98828125,51885.8515625,183100000,-0.027864590537743372,-0.03467502641552056,0.007189357872878777,-0.03593035763277497,-0.118341309635835,54109.9603515625,54801.245,47636.20234375,-0.041103500623767775,-0.05319940153731917,0.08921049558241201,0.1504117100802027,0.03596544496443377,1.1999213596050504,58850.26953125,51515.48828125,0,0,58850.26953125,50339.48046875,0,0,0,-0.118341309635835,0.007189357872878777,0.03071885286360798,1,0,0,0.34020254,0.0,0.0,13.0,5.0,0.0,0.0,0.5776363687582752,0.36191910054682097,0.7812277961581681,1.2467638956321223,hgb_l2_leaf20_live,0,0.020479979743959233,0.8868604098897527,0.09265961036628821,0.34020254,hold_around_35pct
2026-03-31,51382.53125,52169.01171875,50558.91015625,51063.71875,174500000,-0.015845028803462613,-0.04738352260595602,-0.02274661453178184,-0.049997623597286545,-0.12045904590519607,53760.284375,54740.309375,47702.78369140625,-0.05015906549508464,-0.06716422809767864,0.07045574279974831,0.14752861655034977,0.03501873297511726,1.1281841299943967,58057.23828125,51515.48828125,0,1,58850.26953125,50339.48046875,0,0,0,-0.12045904590519607,-0.008769586513158067,0.014387082951712094,1,0,0,0.33662661,1.0,0.0,6.0,1.0,0.033480654682721774,0.0,0.25358156772034823,0.1666160640785269,0.7620859325848324,1.222619298411007,hgb_l2_leaf20_live,0,0.044394109110819854,0.9089106105474037,0.04669528034177652,0.33662661,hold_around_35pct
2026-04-01,51959.46875,53739.6796875,51902.83984375,53739.6796875,165900000,0.05240434897820667,0.006868808049705466,-0.00018495769919313343,0.0007316345755166154,-0.04512107184643599,53633.3158203125,54736.37953125,47783.7096484375,0.0019831678418662513,-0.018209093335830984,0.12464436275213431,0.14550293256772817,0.034602709288038325,1.0618959226781028,56279.05078125,51063.71875,0,0,58850.26953125,50339.48046875,0,0,0,-0.04512107184643599,0.05240434897820667,0.0675453776456989,1,0,0,0.34812612,1.0,0.0,1.0,0.0,0.020055840216850352,0.0,0.033480654682721774,0.0,0.7812277961581681,1.0238435590369581,hgb_l2_leaf20_live,0,0.018297776799707066,0.9730651239194266,0.008637099280866473,0.34812612,hold_around_35pct
2026-04-02,54066.828125,54258.48046875,52273.0703125,52463.26953125,163200000,-0.0237517261671899,0.011128620835189729,-0.02127427776823143,-0.050256320394057474,-0.032855596276709975,53544.20234375,54713.973515625,47857.31794921875,-0.020187672337716234,-0.0411358166800343,0.0962434122806175,0.1432728757111259,0.03432175863170461,1.0371013694567717,55620.83984375,51063.71875,0,0,58850.26953125,50339.48046875,0,0,0,-0.056769554745491835,0.027407929064116487,0.0421893321648088,1,0,0,0.3426911,0.0,0.0,5.0,1.0,0.0,0.0,0.3104453132091536,0.0302113101479578,0.7812277961581681,0.9688089481164801,hgb_l2_leaf20_live,0,0.035004608615611214,0.7874788708242875,0.17751652056010137,0.3426911,hold_around_35pct
2026-04-03,53039.3984375,53426.30859375,52925.1015625,53123.48828125,104100000,0.012584399636144328,0.04033724103280267,-0.004676179012912174,-0.004666126243544011,-0.03897695337555873,53436.473828125,54716.62125,47932.4925390625,-0.005857151949840489,-0.02911606989530624,0.10829805560303596,0.141535070503767,0.03397617208217585,0.6566994700984103,55620.83984375,51063.71875,0,0,58850.26953125,51063.71875,0,0,0,-0.0448995658734308,0.04033724103280267,0.04033724103280267,1,0,0,0.34551361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7812277961581681,0.5878297407501908,hgb_l2_leaf20_live,0,0.050935665400232095,0.8560475761926134,0.0930167584071546,0.34551361,hold_around_35pct
2026-04-06,53205.9296875,54039.33984375,53205.9296875,53413.6796875,102500000,0.00546258191317639,-0.0060662810402986045,0.029445948731507743,0.03684700406772379,-0.039682251516704015,53326.1158203125,54729.40203125,48008.50337890625,0.0016420447250002912,-0.02404050281782233,0.11258789439723826,0.1399939214788508,0.0336717372967561,0.6490148693000137,55620.83984375,51063.71875,0,0,58850.26953125,51063.71875,0,0,0,-0.039682251516704015,0.04602016842927248,0.04602016842927248,1,0,0,0.34674656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7812277961581681,0.6007435831868594,hgb_l2_leaf20_live,0,0.06360777606339428,0.8989612280059097,0.03743099593069599,0.34674656,hold_around_35pct
2026-04-07,53571.28125,53916.3515625,53156.94140625,53429.55859375,118800000,0.0002972816391400013,0.01841839197468298,0.04633113101951669,0.022530640109612365,0.013291425628467302,53361.1578125,54724.215390625,48083.54521484375,0.001281845897916023,-0.023657841188469475,0.11118176405295288,0.13810691674480013,0.033662724598447546,0.7561661274067787,55239.3984375,51063.71875,0,0,58850.26953125,51063.71875,0,0,0,-0.03276356902759758,0.04633113101951669,0.04633113101951669,1,0,0,0.34681389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7812277961581681,0.6416299691631455,hgb_l2_leaf20_live,0,0.05313125547620823,0.9053485057330973,0.04152023879069457,0.34681389,hold_around_35pct
2026-04-08,54386.6484375,56424.62890625,54380.01953125,56308.421875,186700000,0.0538814722977472,0.05995339720328796,0.047799730151675934,0.04760593152437198,0.037974052801681646,53464.159375,54773.44640625,48174.221875,0.05319942431059688,0.028024080452510036,0.1688496395667003,0.13698663464400784,0.03377938292121985,1.1908533279471014,55239.3984375,51063.71875,1,0,58850.26953125,51063.71875,0,0,0,0.01935255393321378,0.10270899286981527,0.10270899286981527,1,0,0,0.35879597,4.0,1.0,2.0,0.0,0.3469136072967889,0.013665828854743448,0.04426839612749348,0.0,0.8114391063061258,1.147169295267209,hgb_l2_leaf20_live,-1,0.8261670519047438,0.1096090775460832,0.06422387054917285,0.10879597000000002,reduce_or_hold_low
2026-04-09,56199.859375,56406.48828125,55763.05078125,55895.3203125,154700000,-0.0073364081028065575,0.046460768842719435,0.06541816421116642,0.04275216224641887,0.015809965502419088,53507.6568359375,54833.6478125,48264.5272265625,0.04462283751059082,0.019361697467772387,0.15810354984142205,0.1361065976074074,0.03380144415925379,0.981391414675407,56308.421875,51063.71875,0,0,58850.26953125,51063.71875,0,0,0,-0.0073364081028065575,0.09461906967948752,0.09461906967948752,1,0,0,0.35710369,0.0,0.0,1.0,0.0,0.0,0.0,0.15152762431803884,0.0,0.8114391063061258,0.9527592457081723,hgb_l2_leaf20_live,0,0.32828476122389755,0.6368779210719878,0.03483731770411475,0.35710369,hold_around_35pct
2026-04-10,56265.76953125,57012.76953125,56251.1796875,56924.109375,165000000,0.018405638553428805,0.0654048222224839,0.0715431387643164,0.06653241122739662,0.0453813418950042,53631.2142578125,54905.45921875,48357.5911328125,0.06139885443126669,0.03676592792362321,0.17714939974284172,0.13540517491770832,0.03391747364254094,1.0443478627790201,56308.421875,51063.71875,1,0,58850.26953125,51063.71875,0,0,0,0.01093419917480154,0.11476623262969854,0.11476623262969854,1,0,0,0.36130168,5.0,3.0,2.0,1.0,0.3319128091322543,0.19033407098343263,0.04917476047238821,0.033480654682721774,0.8114391063061258,1.1079610278754006,hgb_l2_leaf20_live,-1,0.838918793711773,0.060956121666605405,0.1001250846216216,0.11130168000000001,reduce_or_hold_low
