model,date,rank,feature,value,z_score_vs_train,driver_score_proxy,pred_adjustment,target_position_proxy
hgb_l2_leaf20_live,2026-04-07,6,dist_res20,-0.03276356902759758,-0.09772962360869489,0.006620393857363204,0,0.34681389
hgb_l2_leaf20_live,2026-04-08,1,dist_res20,0.01935255393321378,1.433204730268944,0.09708806237305752,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,2,dist_sup20,0.10270899286981527,1.3848020872203841,0.06700655260743797,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,3,weighted_b20_vol,0.3469136072967889,3.5832039875735773,0.0346761676216799,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,4,ma50_over_ma200,0.13698663464400784,2.060336857592255,0.0332312396385848,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,5,dist_ma200,0.1688496395667003,1.7355388369732028,0.022394049509331704,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-08,6,ret5,0.047799730151675934,1.6142634768129671,0.01562190461431906,-1,0.10879597000000002
hgb_l2_leaf20_live,2026-04-09,1,dist_sup20,0.09461906967948752,1.1770224584186106,0.05695269960090055,0,0.35710369
hgb_l2_leaf20_live,2026-04-09,2,dist_res20,-0.0073364081028065575,0.6492045681501399,0.04397837397146111,0,0.35710369
hgb_l2_leaf20_live,2026-04-09,3,ma50_over_ma200,0.1361065976074074,2.0436837760073843,0.03296264154850624,0,0.35710369
hgb_l2_leaf20_live,2026-04-09,4,ret5,0.06541816421116642,2.2409047107790596,0.021686174620442544,0,0.35710369
hgb_l2_leaf20_live,2026-04-09,5,dist_ma200,0.15810354984142205,1.591776376823455,0.020539050023528505,0,0.35710369
hgb_l2_leaf20_live,2026-04-09,6,weighted_b60_vol,0.0,-0.43283834755718076,0.00977376913838797,0,0.35710369
hgb_l2_leaf20_live,2026-04-10,1,dist_sup20,0.11476623262969854,1.6944773143817229,0.08199083779266406,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,2,dist_res20,0.01093419917480154,1.1859118049591764,0.08033596098110551,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,3,weighted_b60_vol,0.19033407098343263,2.36777183411542,0.053465815609057964,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,4,weighted_b20_vol,0.3319128091322543,3.4064622641942783,0.03296576384704152,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,5,ma50_over_ma200,0.13540517491770832,2.030410642274103,0.03274855874635654,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-10,6,dist_sup60,0.11476623262969854,0.2494342765393794,0.025748054352452077,-1,0.11130168000000001
hgb_l2_leaf20_live,2026-04-13,1,dist_sup20,0.10651497608074223,1.4825540386527123,0.0717364857412603,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,2,dist_res20,-0.007401781922916517,0.6472841830300532,0.043848283366552006,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,3,ma50_over_ma200,0.13459785738967023,2.0151336435795373,0.03250215554160548,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,4,dist_ma200,0.16626990720775625,1.7010268721626627,0.021948733834356995,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,5,ret5,0.0578333090291272,1.971131415679267,0.019075465313025192,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-13,6,dist_sup60,0.10651497608074223,0.1318469199285262,0.013610004637783356,-1,0.10958904000000003
hgb_l2_leaf20_live,2026-04-14,1,dist_sup20,0.1334346977030536,2.1739536520406766,0.10519130574390376,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,2,dist_res20,0.01674652902727125,1.3566515864641338,0.09190220424434457,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,3,dist_sup60,0.1334346977030536,0.5154756299906335,0.05321038761193638,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,4,ma50_over_ma200,0.13423308326234307,2.0082309644310605,0.03239082200695263,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,5,ret5,0.08324665500362727,2.875017108749114,0.027822746213701142,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-14,6,dist_ma200,0.19230634435794336,2.0493454097829384,0.026443166577844436,-1,0.11514290999999999
hgb_l2_leaf20_live,2026-04-15,1,dist_sup20,0.1384646419087916,2.3031415213657414,0.11144233167898755,-1,0.11616999
hgb_l2_leaf20_live,2026-04-15,2,dist_res20,0.004437789151797933,0.995076863369799,0.06740843267988962,-1,0.11616999
hgb_l2_leaf20_live,2026-04-15,3,dist_sup60,0.1384646419087916,0.5871565721045495,0.06060971066885675,-1,0.11616999
hgb_l2_leaf20_live,2026-04-15,4,ma50_over_ma200,0.13392084612563582,2.0023224511581432,0.032295523405776544,-1,0.11616999
