date,equity,position,close,regime
2016-04-25,10000000.000000,0.000000,17439.300781,unknown
2016-04-26,10000000.000000,0.000000,17353.279297,unknown
2016-04-27,10000000.000000,0.000000,17290.490234,unknown
2016-04-28,10000000.000000,0.000000,16666.050781,unknown
2016-05-02,10000000.000000,0.000000,16147.379883,unknown
2016-05-06,10000000.000000,0.000000,16106.719727,unknown
2016-05-09,10000000.000000,0.000000,16216.030273,unknown
2016-05-10,10000000.000000,0.000000,16565.189453,unknown
2016-05-11,10000000.000000,0.000000,16579.009766,unknown
2016-05-12,10000000.000000,0.000000,16646.339844,unknown
2016-05-13,10000000.000000,0.000000,16412.210938,unknown
2016-05-16,10000000.000000,0.000000,16466.400391,unknown
2016-05-17,10000000.000000,0.000000,16652.800781,unknown
2016-05-18,10000000.000000,0.000000,16644.689453,unknown
2016-05-19,10000000.000000,0.000000,16646.660156,unknown
2016-05-20,10000000.000000,0.000000,16736.349609,unknown
2016-05-23,10000000.000000,0.000000,16654.599609,unknown
2016-05-24,10000000.000000,0.000000,16498.759766,unknown
2016-05-25,10000000.000000,0.000000,16757.349609,unknown
2016-05-26,10000000.000000,0.000000,16772.460938,unknown
2016-05-27,10000000.000000,0.000000,16834.839844,unknown
2016-05-30,10000000.000000,0.000000,17068.019531,unknown
2016-05-31,10000000.000000,0.000000,17234.980469,unknown
2016-06-01,10000000.000000,0.000000,16955.730469,unknown
2016-06-02,10000000.000000,0.000000,16562.550781,unknown
2016-06-03,10000000.000000,0.000000,16642.230469,unknown
2016-06-06,10000000.000000,0.000000,16580.029297,unknown
2016-06-07,10000000.000000,0.000000,16675.449219,unknown
2016-06-08,10000000.000000,0.000000,16830.919922,unknown
2016-06-09,10000000.000000,0.000000,16668.410156,unknown
2016-06-10,10000000.000000,0.000000,16601.359375,unknown
2016-06-13,10000000.000000,0.000000,16019.179688,unknown
2016-06-14,10000000.000000,0.000000,15859.000000,unknown
2016-06-15,10000000.000000,0.000000,15919.580078,unknown
2016-06-16,10000000.000000,0.000000,15434.139648,unknown
2016-06-17,10000000.000000,0.000000,15599.660156,unknown
2016-06-20,10000000.000000,0.000000,15965.299805,unknown
