date,equity,position,close
2022-01-04,10000000.00000000,0.00000000,29301.78906250
2022-01-05,10000000.00000000,0.00000000,29332.16015625
2022-01-06,10000000.00000000,0.00000000,28487.86914062
2022-01-07,9959807.36331761,0.49330546,28478.56054688
2022-01-11,9915627.47420512,0.49104784,28222.48046875
2022-01-12,9954798.78391078,0.00000000,28765.66015625
2022-01-13,9954798.78391078,0.00000000,28489.13085938
2022-01-14,9954798.78391078,0.00000000,28124.27929688
2022-01-17,9954798.78391078,0.00000000,28333.51953125
2022-01-18,9954798.78391078,0.00000000,28257.25000000
2022-01-19,9954798.78391078,0.00000000,27467.23046875
2022-01-20,10020748.96376557,0.49201538,27772.92968750
2022-01-21,9976249.02720610,0.48974947,27522.25976562
2022-01-24,9987985.03035910,0.49034902,27588.36914062
2022-01-25,9906851.34441612,0.48617515,27131.33984375
2022-01-26,9885546.72630764,0.48506780,27011.33007812
2022-01-27,9736243.81004369,0.47717144,26170.30078125
2022-01-28,9782319.96588742,0.00000000,26717.33984375
2022-01-31,9805342.91770445,0.20361132,27001.98046875
2022-02-01,9810999.19284460,0.20407046,27078.48046875
2022-02-02,9844649.89978480,0.20679108,27533.59960938
2022-02-03,9823038.56177229,0.20504597,27241.31054688
2022-02-04,9837728.58761882,0.20623302,27439.99023438
2022-02-07,9823597.43086931,0.20509120,27248.86914062
2022-02-08,9826233.35790499,0.20530443,27284.51953125
2022-02-09,9848070.98735808,0.20706663,27579.86914062
2022-02-10,9856663.41921161,0.20775786,27696.08007812
2022-02-14,9811081.21807641,0.20407711,27079.58984375
2022-02-15,9795228.83115443,0.20278901,26865.18945312
2022-02-16,9839237.67859141,0.20635477,27460.40039062
2022-02-17,9837094.91382095,0.00000000,27232.86914062
2022-02-18,9854094.73947280,0.20620379,27122.07031250
2022-02-21,9845732.98453039,0.35118150,26910.86914062
2022-02-22,9794927.51065538,0.00000000,26449.60937500
2022-02-24,9771767.07966358,0.19822417,25970.82031250
2022-02-25,9809482.55328930,0.20130684,26476.50000000
2022-02-28,9808066.91926990,0.00000000,26526.82031250
2022-03-01,9808066.91926990,0.00000000,26844.72070312
2022-03-02,9790060.65588117,0.34880449,26393.02929688
2022-03-03,9820574.39251984,0.00000000,26577.26953125
2022-03-04,9820574.39251984,0.00000000,25985.47070312
2022-03-07,9789381.08927959,0.19474325,25221.41015625
2022-03-08,9756843.75108913,0.19205786,24790.94921875
2022-03-09,9741473.89271046,0.34854301,24717.52929688
2022-03-10,9875112.30171875,0.35735908,25690.40039062
2022-03-11,9823184.50403722,0.19344312,25162.77929688
2022-03-14,9832281.51538459,0.34972343,25307.84960938
2022-03-15,9837530.29281029,0.35007038,25346.48046875
2022-03-16,9882528.21390997,0.19452662,25762.00976562
2022-03-17,9949007.59863628,0.19990880,26652.89062500
2022-03-18,9972003.14607232,0.35151540,26827.42968750
2022-03-22,10023833.91590548,0.35486855,27224.10937500
2022-03-23,10130460.34914109,0.36165877,28040.16015625
2022-03-24,10117005.70431549,0.21211572,28110.39062500
2022-03-25,10134443.51444106,0.00000000,28149.83984375
