Date of Data,Code,Company Name,Nikkei Industrial Classification,Sector,Weight
"2026/03/31","4911","SHISEIDO CO., LTD.","Chemicals","Materials","0.2088%"
"2026/03/31","5019","IDEMITSU KOSAN CO., LTD.","Petroleum","Materials","0.2018%"
"2026/03/31","5020","ENEOS HOLDINGS, INC.","Petroleum","Materials","0.0923%"
"2026/03/31","5101","THE YOKOHAMA RUBBER CO., LTD.","Rubber","Materials","0.1905%"
"2026/03/31","5108","BRIDGESTONE CORP.","Rubber","Materials","0.4277%"
"2026/03/31","5201","AGC INC.","Glass & Ceramics","Materials","0.0720%"
"2026/03/31","5214","NIPPON ELECTRIC GLASS CO., LTD.","Glass & Ceramics","Materials","0.1161%"
"2026/03/31","5233","TAIHEIYO CEMENT CORP.","Glass & Ceramics","Materials","0.0229%"
"2026/03/31","5301","TOKAI CARBON CO., LTD.","Glass & Ceramics","Materials","0.0630%"
"2026/03/31","5332","TOTO LTD.","Glass & Ceramics","Materials","0.1666%"
"2026/03/31","5333","NGK INSULATORS, LTD.","Glass & Ceramics","Materials","0.2603%"
"2026/03/31","5401","NIPPON STEEL CORP.","Steel","Materials","0.0188%"
"2026/03/31","5406","KOBE STEEL, LTD.","Steel","Materials","0.0124%"
"2026/03/31","5411","JFE HOLDINGS, INC.","Steel","Materials","0.0119%"
"2026/03/31","5631","THE JAPAN STEEL WORKS, LTD.","Machinery","Capital Goods/Others","0.1096%"
"2026/03/31","5706","MITSUI KINZOKU CO., LTD.","Nonferrous Metals","Materials","0.1835%"
"2026/03/31","5711","MITSUBISHI MATERIALS CORP.","Nonferrous Metals","Materials","0.0315%"
"2026/03/31","5713","SUMITOMO METAL MINING CO., LTD.","Nonferrous Metals","Materials","0.2898%"
"2026/03/31","5714","DOWA HOLDINGS CO., LTD.","Nonferrous Metals","Materials","0.1144%"
"2026/03/31","5801","FURUKAWA ELECTRIC CO., LTD.","Nonferrous Metals","Materials","0.1884%"
"2026/03/31","5802","SUMITOMO ELECTRIC IND., LTD.","Nonferrous Metals","Materials","0.5485%"
"2026/03/31","5803","FUJIKURA LTD.","Nonferrous Metals","Materials","1.6064%"
"2026/03/31","5831","SHIZUOKA FINANCIAL GROUP, INC.","Banking","Financials","0.1677%"
"2026/03/31","6098","RECRUIT HOLDINGS CO., LTD.","Services","Consumer Goods","1.2815%"
"2026/03/31","6103","OKUMA CORP.","Machinery","Capital Goods/Others","0.0919%"
"2026/03/31","6113","AMADA CO., LTD.","Machinery","Capital Goods/Others","0.1415%"
"2026/03/31","6146","DISCO CORP.","Precision Instruments","Technology","0.8017%"
"2026/03/31","6178","JAPAN POST HOLDINGS CO., LTD.","Services","Consumer Goods","0.1171%"
"2026/03/31","6273","SMC CORP.","Machinery","Capital Goods/Others","0.3919%"
"2026/03/31","6301","KOMATSU LTD.","Machinery","Capital Goods/Others","0.3936%"
"2026/03/31","6302","SUMITOMO HEAVY IND., LTD.","Machinery","Capital Goods/Others","0.0616%"
"2026/03/31","6305","HITACHI CONST. MACH. CO., LTD.","Machinery","Capital Goods/Others","0.3450%"
"2026/03/31","6326","KUBOTA CORP.","Machinery","Capital Goods/Others","0.1608%"
"2026/03/31","6361","EBARA CORP.","Machinery","Capital Goods/Others","0.2785%"
"2026/03/31","6367","DAIKIN INDUSTRIES, LTD.","Machinery","Capital Goods/Others","1.2231%"
"2026/03/31","6471","NSK LTD.","Machinery","Capital Goods/Others","0.0712%"
