breakout_date,event_type,resistance_level,support_level,breakout_close,breakout_margin,breakout_volume_ratio_60d,breakout_volume_bucket,fallback_below_resistance_3d,fallback_below_resistance_5d,fallback_below_resistance_10d,reclaim_after_fallback_10d,first_fallback_day,confirm3_date,confirm3_close,confirm3_distance_to_resistance,confirm3_avg_volume_ratio_60d,confirm3_pullback_depth_to_resistance,trial_entry_allowed_3d,trial_entry_price,trial_entry_future_10d_return,trial_entry_future_10d_max_drawdown,trial_entry_future_20d_return,trial_entry_future_20d_max_drawdown,trial_entry_quality_label,confirm5_date,confirm5_close,confirm5_distance_to_resistance,confirm5_avg_volume_ratio_60d,confirm5_pullback_depth_to_resistance,formal_entry_allowed_5d,formal_entry_price,formal_entry_future_10d_return,formal_entry_future_10d_max_drawdown,formal_entry_future_20d_return,formal_entry_future_20d_max_drawdown,formal_entry_quality_label,entry_timing_label,suggested_action,calendar_year
2016-09-05,breakout_20d,16946.490234,16230.700195,17037.630859,0.00537814,0.942994,normal_or_low,False,True,True,False,5,2016-09-08,16958.769531,0.00072459,0.868728,0.00072459,True,16958.769531,-0.02442447,-0.03532033,0.00389122,-0.03970567,False,2016-09-12,16672.919922,-0.01614318,0.871640,-0.01614318,False,16672.919922,-0.01244650,-0.02324187,0.00607694,-0.02324187,False,C_trial_only_3d_ok_but_5d_failed,trial_only_or_stop_add,2016
2016-09-05,breakout_60d,16946.490234,14864.009766,17037.630859,0.00537814,0.942994,normal_or_low,False,True,True,False,5,2016-09-08,16958.769531,0.00072459,0.868728,0.00072459,True,16958.769531,-0.02442447,-0.03532033,0.00389122,-0.03970567,False,2016-09-12,16672.919922,-0.01614318,0.871640,-0.01614318,False,16672.919922,-0.01244650,-0.02324187,0.00607694,-0.02324187,False,C_trial_only_3d_ok_but_5d_failed,trial_only_or_stop_add,2016
2016-10-20,breakout_20d,17074.460938,16285.410156,17235.500000,0.00943158,0.925395,normal_or_low,False,False,True,False,10,2016-10-25,17365.250000,0.01703064,0.851572,0.00644992,True,17365.250000,-0.06413440,-0.07218096,0.05575273,-0.07218096,False,2016-10-27,17336.419922,0.01534215,0.849651,0.00644992,True,17336.419922,0.00221321,-0.07063802,0.05886283,-0.07063802,False,B_formal_add_price_confirmed_5d_no_fallback,small_add_or_hold,2016
2016-10-20,breakout_60d,17156.359375,15921.040039,17235.500000,0.00461290,0.925395,normal_or_low,False,False,True,False,9,2016-10-25,17365.250000,0.01217570,0.851572,0.00164548,True,17365.250000,-0.06413440,-0.07218096,0.05575273,-0.07218096,False,2016-10-27,17336.419922,0.01049527,0.849651,0.00164548,True,17336.419922,0.00221321,-0.07063802,0.05886283,-0.07063802,False,B_formal_add_price_confirmed_5d_no_fallback,small_add_or_hold,2016
2016-10-28,breakout_20d,17414.210938,16407.779297,17446.410156,0.00184902,1.425600,high,True,True,True,True,3,2016-11-02,17134.679688,-0.01605190,1.175688,-0.01605190,False,17134.679688,0.04248408,-0.05969590,0.07536764,-0.05969590,False,2016-11-07,17177.210938,-0.01360957,1.126215,-0.02922048,False,17177.210938,0.05407214,-0.06202412,0.06888942,-0.06202412,False,D_no_entry_fallback_within_3d,avoid_or_wait_reclaim,2016
2016-10-28,breakout_60d,17414.210938,15921.040039,17446.410156,0.00184902,1.425600,high,True,True,True,True,3,2016-11-02,17134.679688,-0.01605190,1.175688,-0.01605190,False,17134.679688,0.04248408,-0.05969590,0.07536764,-0.05969590,False,2016-11-07,17177.210938,-0.01360957,1.126215,-0.02922048,False,17177.210938,0.05407214,-0.06202412,0.06888942,-0.06202412,False,D_no_entry_fallback_within_3d,avoid_or_wait_reclaim,2016
2016-11-14,breakout_20d,17621.730469,16111.809570,17672.619141,0.00288784,1.338967,high,False,False,False,False,,2016-11-17,17862.630859,0.01367064,1.443460,0.00263424,True,17862.630859,0.03154346,0.00586584,0.08613062,0.00586584,True,2016-11-21,18106.019531,0.02748249,1.356140,0.00263424,True,18106.019531,0.01405718,-0.00306355,0.07668774,-0.00306355,True,A_formal_add_volume_confirmed_5d_no_fallback,formal_add,2016
2016-11-14,breakout_60d,17621.730469,16111.809570,17672.619141,0.00288784,1.338967,high,False,False,False,False,,2016-11-17,17862.630859,0.01367064,1.443460,0.00263424,True,17862.630859,0.03154346,0.00586584,0.08613062,0.00586584,True,2016-11-21,18106.019531,0.02748249,1.356140,0.00263424,True,18106.019531,0.01405718,-0.00306355,0.07668774,-0.00306355,True,A_formal_add_volume_confirmed_5d_no_fallback,formal_add,2016
2016-11-22,breakout_20d,18129.029297,16111.809570,18162.939453,0.00187049,0.946551,normal_or_low,False,False,False,False,,2016-11-28,18356.890625,0.01256887,1.188818,0.01127368,True,18356.890625,0.04347897,-0.00705457,0.05699058,-0.00705457,True,2016-11-30,18308.480469,0.00989855,1.164126,0.00981905,True,18308.480469,0.05162247,-0.00442909,0.04569796,-0.00442909,True,B_formal_add_price_confirmed_5d_no_fallback,small_add_or_hold,2016
2016-11-22,breakout_60d,18129.029297,16111.809570,18162.939453,0.00187049,0.946551,normal_or_low,False,False,False,False,,2016-11-28,18356.890625,0.01256887,1.188818,0.01127368,True,18356.890625,0.04347897,-0.00705457,0.05699058,-0.00705457,True,2016-11-30,18308.480469,0.00989855,1.164126,0.00981905,True,18308.480469,0.05162247,-0.00442909,0.04569796,-0.00442909,True,B_formal_add_price_confirmed_5d_no_fallback,small_add_or_hold,2016
