peak_date,trough_date,recovery_date,drawdown,peak_close,trough_close,range_or_bear_date,range_or_bear_lead_to_trough_days,range_or_bear_drawdown_from_signal_to_trough,break20_date,break20_lead_to_trough_days,break20_drawdown_from_signal_to_trough,vol_down_date,vol_down_lead_to_trough_days,vol_down_drawdown_from_signal_to_trough,panic1_date,panic1_lead_to_trough_days,panic1_drawdown_from_signal_to_trough,panic3_date,panic3_lead_to_trough_days,panic3_drawdown_from_signal_to_trough,break60_date,break60_lead_to_trough_days,break60_drawdown_from_signal_to_trough,below200_date,below200_lead_to_trough_days,below200_drawdown_from_signal_to_trough,bear_regime_date,bear_regime_lead_to_trough_days,bear_regime_drawdown_from_signal_to_trough,panic5_date,panic5_lead_to_trough_days,panic5_drawdown_from_signal_to_trough
2016-04-25,2016-06-24,2016-10-28,-0.142625,17439.3008,14952.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,2018-03-23,2018-10-01,-0.145344,24124.1504,20617.8594,,,,2018-02-05,32,-0.091007,2018-02-05,32,-0.091007,2018-02-06,31,-0.045922,2018-02-06,31,-0.045922,2018-02-06,31,-0.045922,2018-03-05,13,-0.020161,,,,2018-02-09,28,-0.035765
2018-10-02,2020-03-19,2020-11-06,-0.317989,24270.6191,16552.8301,2018-08-31,372,-0.276067,2018-10-15,344,-0.256764,2018-10-04,350,-0.309597,2018-10-11,346,-0.267278,2018-12-25,295,-0.135881,2018-10-25,336,-0.221729,2018-09-07,367,-0.257956,2018-12-17,300,-0.230347,2018-12-25,295,-0.135881
2021-02-16,2021-08-20,2021-09-14,-0.113382,30467.7500,27013.2500,2021-08-03,12,-0.022740,2021-05-12,69,-0.040297,2021-01-28,137,-0.041996,2021-02-26,118,-0.067416,2021-05-13,68,-0.015839,2021-05-12,69,-0.040297,2021-07-20,20,-0.013689,,,,,,
2021-09-14,2022-03-09,2023-05-19,-0.194084,30670.0996,24717.5293,2021-08-17,137,-0.098705,2021-08-20,134,-0.084985,2021-08-20,134,-0.084985,2022-01-27,27,-0.055512,2022-03-08,1,-0.002962,2021-08-20,134,-0.084985,2021-08-17,137,-0.098705,2022-01-27,27,-0.055512,,,
2024-07-11,2025-04-07,2025-08-12,-0.262586,42224.0195,31136.5801,2024-08-08,159,-0.106071,2024-07-25,169,-0.177793,2024-07-25,169,-0.177793,2024-07-25,169,-0.177793,2024-08-02,163,-0.132920,2024-08-02,163,-0.132920,2024-08-02,163,-0.132920,2025-03-26,8,-0.181204,2024-08-05,162,-0.010231
2026-02-27,2026-03-31,2026-04-16,-0.132311,58850.2695,51063.7188,,,,2026-03-09,15,-0.031577,2026-02-04,36,-0.059485,2026-03-03,19,-0.092669,2026-03-04,18,-0.058656,,,,,,,,,,2026-03-09,15,-0.031577
