date,equity,position,close,regime
2016-04-25,10000000.000000,0.000000,17439.300781,range
2016-04-26,10000000.000000,0.000000,17353.279297,range
2016-04-27,10000000.000000,0.000000,17290.490234,range
2016-04-28,10000000.000000,0.000000,16666.050781,range
2016-05-02,10000000.000000,0.000000,16147.379883,range
2016-05-06,10000000.000000,0.000000,16106.719727,range
2016-05-09,10000000.000000,0.000000,16216.030273,range
2016-05-10,10000000.000000,0.000000,16565.189453,range
2016-05-11,10000000.000000,0.000000,16579.009766,range
2016-05-12,10000000.000000,0.000000,16646.339844,range
2016-05-13,10000000.000000,0.000000,16412.210938,range
2016-05-16,10000000.000000,0.000000,16466.400391,range
2016-05-17,10000000.000000,0.000000,16652.800781,range
2016-05-18,10000000.000000,0.000000,16644.689453,range
2016-05-19,10000000.000000,0.000000,16646.660156,range
2016-05-20,10000000.000000,0.000000,16736.349609,range
2016-05-23,10000000.000000,0.000000,16654.599609,range
2016-05-24,10000000.000000,0.000000,16498.759766,range
2016-05-25,10000000.000000,0.000000,16757.349609,range
2016-05-26,10000000.000000,0.000000,16772.460938,range
2016-05-27,10000000.000000,0.000000,16834.839844,range
2016-05-30,10000000.000000,0.000000,17068.019531,range
2016-05-31,10000000.000000,0.000000,17234.980469,range
2016-06-01,10000000.000000,0.000000,16955.730469,range
2016-06-02,10000000.000000,0.000000,16562.550781,range
2016-06-03,10000000.000000,0.000000,16642.230469,range
2016-06-06,10000000.000000,0.000000,16580.029297,range
2016-06-07,10000000.000000,0.000000,16675.449219,range
2016-06-08,10000000.000000,0.000000,16830.919922,range
2016-06-09,10000000.000000,0.000000,16668.410156,range
2016-06-10,10000000.000000,0.000000,16601.359375,range
2016-06-13,10000000.000000,0.000000,16019.179688,range
2016-06-14,10000000.000000,0.000000,15859.000000,range
2016-06-15,10000000.000000,0.000000,15919.580078,range
2016-06-16,10000000.000000,0.000000,15434.139648,range
2016-06-17,10000000.000000,0.000000,15599.660156,range
2016-06-20,10000000.000000,0.000000,15965.299805,range
2016-06-21,10000000.000000,0.000000,16169.110352,range
2016-06-22,10000000.000000,0.000000,16065.719727,range
2016-06-23,10000000.000000,0.000000,16238.349609,range
2016-06-24,10000000.000000,0.000000,14952.019531,range
2016-06-27,10000000.000000,0.000000,15309.209961,range
2016-06-28,10000000.000000,0.000000,15323.139648,range
2016-06-29,10000000.000000,0.000000,15566.830078,range
2016-06-30,10000000.000000,0.000000,15575.919922,range
2016-07-01,10000000.000000,0.000000,15682.480469,range
2016-07-04,10000000.000000,0.000000,15775.799805,range
2016-07-05,10000000.000000,0.000000,15669.330078,range
2016-07-06,10000000.000000,0.000000,15378.990234,range
2016-07-07,10000000.000000,0.000000,15276.240234,range
2016-07-08,10000000.000000,0.000000,15106.980469,range
2016-07-11,10000000.000000,0.000000,15708.820312,range
2016-07-12,10000000.000000,0.000000,16095.650391,range
2016-07-13,10000000.000000,0.000000,16231.429688,range
2016-07-14,10000000.000000,0.000000,16385.890625,range
2016-07-15,10000000.000000,0.000000,16497.849609,range
2016-07-19,10000000.000000,0.000000,16723.310547,range
2016-07-20,10000000.000000,0.000000,16681.890625,range
2016-07-21,10000000.000000,0.000000,16810.220703,range
2016-07-22,10000000.000000,0.000000,16627.250000,range
2016-07-25,10000000.000000,0.000000,16620.289062,range
2016-07-26,10000000.000000,0.000000,16383.040039,range
2016-07-27,10000000.000000,0.000000,16664.820312,range
2016-07-28,10000000.000000,0.000000,16476.839844,range
2016-07-29,10000000.000000,0.000000,16569.269531,range
2016-08-01,10000000.000000,0.000000,16635.769531,range
2016-08-02,10000000.000000,0.000000,16391.449219,range
2016-08-03,10000000.000000,0.000000,16083.110352,range
2016-08-04,10000000.000000,0.000000,16254.889648,range
2016-08-05,10000000.000000,0.000000,16254.450195,range
2016-08-08,10000000.000000,0.000000,16650.570312,range
2016-08-09,10000000.000000,0.000000,16764.970703,range
2016-08-10,10000000.000000,0.000000,16735.119141,range
2016-08-12,10000000.000000,0.000000,16919.919922,range
