nikkei_event_date,nikkei_event_type,code,ticker,company,sector,normalized_top30_weight,component_breakdown20,component_breakdown60,component_volume_down,component_breakdown20_volume_confirmed,component_breakdown60_volume_confirmed,component_near_support20,component_low_volume_pullback,component_volume_ratio_60d,component_1d_return
2016-09-15,near_support_20d,6857,6857.T,ADVANTEST CORP.,Technology,0.16661606,False,False,False,False,False,True,True,0.890749,-0.02369338
2016-09-15,near_support_20d,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.15152762,True,False,False,False,False,False,False,0.875469,-0.02765106
2016-09-15,near_support_20d,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.11442080,False,False,False,False,False,False,False,0.829594,-0.00383648
2016-09-15,near_support_20d,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.08740528,True,False,False,False,False,False,False,0.712259,-0.02399631
2016-09-15,near_support_20d,9433,9433.T,KDDI CORP.,Technology,0.03348065,False,False,False,False,False,True,True,0.883414,-0.00622951
2016-09-15,near_support_20d,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.03205961,False,False,False,False,False,True,False,1.066627,0.00700095
2016-09-15,near_support_20d,6762,6762.T,TDK CORP.,Technology,0.03021131,False,False,False,False,False,False,False,0.975707,0.00285302
2016-09-15,near_support_20d,6954,6954.T,FANUC CORP.,Technology,0.02715794,False,False,False,False,False,False,False,0.786366,-0.00620934
2016-09-15,near_support_20d,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.02646463,False,False,False,False,False,False,False,0.711447,-0.00292401
2016-09-15,near_support_20d,5803,5803.T,FUJIKURA LTD.,Materials,0.02514062,False,False,False,False,False,True,True,0.609392,-0.01282048
2016-09-15,near_support_20d,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.02005584,False,False,False,False,False,True,False,1.771622,0.01439784
2016-09-15,near_support_20d,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01980700,False,False,False,False,False,False,False,0.726179,-0.00130719
2016-09-15,near_support_20d,6971,6971.T,KYOCERA CORP.,Technology,0.01948930,False,False,False,False,False,False,False,0.811889,-0.01064483
2016-09-15,near_support_20d,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01914186,False,False,False,False,False,False,False,0.683089,-0.00777118
2016-09-15,near_support_20d,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01828579,False,False,False,False,False,False,False,0.891649,-0.00884211
2016-09-15,near_support_20d,4543,4543.T,TERUMO CORP.,Technology,0.01727635,True,True,False,False,False,False,False,0.835681,-0.01643489
2016-09-15,near_support_20d,6758,6758.T,SONY GROUP CORP.,Technology,0.01643749,False,False,False,False,False,False,False,0.650686,-0.01205182
