date,close,ret1,ret3,ret5,volume_ratio60,break20,break60,below200,vol_down,regime
2024-08-05,31458.41992188,-0.12395758,-0.19547429,-0.18223184,2.36989503,True,True,True,True,bull
2025-04-07,31136.58007812,-0.07826977,-0.12845848,-0.12580813,2.03336849,True,True,True,True,bear
2020-03-13,17431.05078125,-0.06080833,-0.12261810,-0.15993924,3.13737790,True,True,True,True,range
2024-08-02,35909.69921875,-0.05813906,-0.06790877,-0.04666397,1.71560532,True,True,True,True,bull
2026-03-09,52728.71875000,-0.05199708,-0.02796212,-0.09178045,1.52569481,True,False,False,True,bull
2020-03-09,19698.75976562,-0.05065074,-0.06641217,-0.07708556,2.51724478,True,True,True,True,range
2018-12-25,19155.74023438,-0.05010611,-0.08729687,-0.10932039,0.00000000,True,True,True,False,bear
2024-09-30,37919.55078125,-0.04795453,0.00130152,0.00518612,1.49212814,False,False,False,True,range
2018-02-06,21610.24023438,-0.04725492,-0.07987143,-0.07220215,2.23458653,True,True,False,True,bull
2020-03-26,18664.59960938,-0.04512446,0.10521338,0.11586662,1.43591085,False,False,True,True,range
2018-03-23,20617.85937500,-0.04511538,-0.04017713,-0.05439794,1.46094096,True,True,True,True,bull
2020-04-01,18065.41015625,-0.04501767,-0.06828564,-0.07577882,1.11019780,False,False,True,False,bear
2020-03-12,18559.63085938,-0.04410934,-0.05782744,-0.12984541,2.26940576,True,True,True,True,range
2024-09-04,37047.60937500,-0.04235863,-0.04140320,-0.03450851,1.16710447,False,False,True,False,bull
2025-03-31,35617.55859375,-0.04048374,-0.06336845,-0.05293831,1.31543659,True,True,True,True,bear
2021-02-26,28966.00976562,-0.03985180,-0.03946208,-0.04200543,1.30358521,False,False,False,True,bull
2025-04-09,31714.02929688,-0.03933497,-0.06117565,-0.11229514,1.47949273,False,False,True,True,bear
2018-10-11,22590.85937500,-0.03893381,-0.05015453,-0.06304608,1.59894605,False,False,False,True,bull
2018-10-25,21268.73046875,-0.03722976,-0.05952246,-0.06132138,1.24855491,True,True,True,True,range
2020-02-28,21142.96093750,-0.03668950,-0.06469466,-0.09950060,2.40589728,True,True,True,True,bull
2026-03-04,54245.53906250,-0.03613266,-0.07824485,-0.07404150,1.51765874,False,False,False,True,bull
2026-03-23,51515.48828125,-0.03479398,-0.04068690,-0.04281193,1.18246664,False,False,False,False,bull
2020-06-15,21530.94921875,-0.03472381,-0.06892988,-0.07106495,0.78253501,False,False,True,False,range
2026-03-19,53372.53125000,-0.03379594,-0.00704389,-0.01984152,1.35252672,False,False,False,True,bull
2020-02-25,22605.41015625,-0.03340911,-0.03398570,-0.03901801,1.76711299,True,True,False,True,bull
2021-06-21,28010.92968750,-0.03290802,-0.04370215,-0.03946502,1.15349498,True,False,False,False,bull
2024-07-25,37869.51171875,-0.03282709,-0.04367505,-0.05624334,1.21567627,True,False,False,True,bull
2025-11-18,48702.98046875,-0.03220993,-0.05028775,-0.04208942,1.02771233,False,False,False,False,bull
2022-01-27,26170.30078125,-0.03113617,-0.05140095,-0.05770471,1.29489051,True,True,True,True,bear
2021-05-11,28608.58984375,-0.03081982,-0.02464185,-0.01532943,0.99133261,False,False,False,False,bull
2026-03-03,56279.05078125,-0.03062818,-0.04211399,-0.01817898,1.27863232,False,False,False,True,bull
2022-06-13,26987.43945312,-0.03007623,-0.04416083,-0.03325888,0.94116613,False,False,True,False,bear
2019-03-25,20977.10937500,-0.03006521,-0.02734476,-0.02208492,1.13746157,False,False,True,False,bear
2025-04-11,33585.57812500,-0.02957098,0.01735702,-0.00577255,1.32748510,False,False,True,True,bear
2022-03-07,25221.41015625,-0.02940338,-0.04439123,-0.04921095,1.51920628,True,True,True,True,bear
2022-01-06,28487.86914062,-0.02878380,-0.01055310,-0.01999683,1.06397206,False,False,True,False,range
2025-02-28,37155.50000000,-0.02877109,-0.02830417,-0.03936443,1.55154264,True,True,True,True,range
2020-05-01,19619.34960938,-0.02844155,-0.00828334,0.00977435,0.82019226,False,False,True,False,bear
2018-12-20,20392.58007812,-0.02836583,-0.05181136,-0.06525472,1.20823052,True,True,True,True,bear
2020-06-11,22472.91015625,-0.02819635,-0.03042482,-0.00981815,1.02641144,False,False,False,False,range
