"fold_index","train_end_date","train_sample_count","validation_accuracy","validation_end_date","validation_positive_rate","validation_sample_count","validation_start_date"
"1","2023-11-24","122","0.5409836065573771","2025-01-31","0.5409836065573771","61","2023-12-01"
"2","2025-01-31","183","0.4426229508196721","2026-04-03","0.6065573770491803","61","2025-02-07"
