"bin_label","coefficient","feature_name","group_name","logit_contribution","sample_count_train","support_share_train","woe"
"bin_1","2.0828027643987017","weekly_spot_return_p10","W","0.6630995106268659","72.0","0.3317972350230415","0.318368845077993"
"bin_3","0.4447122338182819","weekly_high_volume_low_price_signal","V","0.38529371588111483","18.0","0.08294930875576037","0.8663888388520326"
"bin_2","2.067221621569418","weekly_down_day_volume_share","V","0.3789890346034168","66.0","0.30414746543778803","0.18333256127405023"
"bin_3","0.6283768079818225","weekly_volume_price_confirmation","V","0.31194942598635783","49.0","0.22580645161290322","0.49643688631389116"
"bin_2","0.7718631900836561","weekly_volume_accumulation_52w","V","0.2861857478816626","39.0","0.17972350230414746","0.3707726337495706"
"bin_3","0.7718631900836561","weekly_volume_accumulation_52w","V","0.2861857478816626","39.0","0.17972350230414746","0.3707726337495706"
"bin_3","-1.8650358826438114","weekly_spot_return_min","W","0.21247585139545724","73.0","0.33640552995391704","-0.11392587851674935"
"bin_1","2.067221621569418","weekly_down_day_volume_share","V","0.2003966083576131","85.0","0.391705069124424","0.0969400698341543"
"bin_2","-1.8650358826438114","weekly_spot_return_min","W","0.15595528715060714","72.0","0.3317972350230415","-0.08362052902142034"
"bin_3","0.443553109956188","weekly_volume_ratio_52w","V","0.1504545153863567","73.0","0.33640552995391704","0.33920293198083507"
"bin_3","1.339236262759319","weekly_spot_return_p90","W","0.14385608812728598","73.0","0.33640552995391704","0.10741651202819849"
"bin_1","0.6283768079818225","weekly_volume_price_confirmation","V","0.13877202516547651","38.0","0.17511520737327188","0.2208420543259306"
