"run","feature_count","sample_count","train_accuracy","valid_accuracy","test_accuracy","holdout_accuracy","holdout_sample_count","walk_forward_mean","production_readiness","high_correlation_pair_count"
"no_proxy","14","244","0.5714285714285714","0.4474885844748858","0.45662100456621","0.37037037037037035","27","0.5327868852459017","caution","1"
"short_proxy","14","244","0.6129032258064516","0.4748858447488584","0.45662100456621","0.4074074074074074","27","0.5163934426229508","caution","1"
"yfinance_10y","14","244","0.6082949308755761","0.5205479452054794","0.502283105022831","0.37037037037037035","27","0.5327868852459017","caution","1"
"long_volume_behavior","22","244","0.6267281105990783","0.4840182648401826","0.5251141552511416","0.4074074074074074","27","0.4918032786885246","caution","2"
