symbol,source,trade_date,open,high,low,close,adj_close,volume
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-01,38232.46875,38718.12890625,38232.46875,38651.96875,38651.96875,132100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-02,38136.19921875,38213.5390625,37651.0703125,37808.76171875,37808.76171875,139600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-03,38459.12890625,38856.75,38457.62109375,38552.05859375,38552.05859375,126800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-04,38594.73046875,38735.2890625,38501.8203125,38635.62109375,38635.62109375,121200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-07,39239.921875,39560.78125,39195.9296875,39332.73828125,39332.73828125,128000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-08,39021.12890625,39117.08984375,38817.5390625,38937.5390625,38937.5390625,120400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-09,39385.48828125,39456.28125,39115.62890625,39277.9609375,39277.9609375,106800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-10,39575.80078125,39616.58984375,39282.19140625,39380.890625,39380.890625,103500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-11,39636.87109375,39668.9296875,39415.26171875,39605.80078125,39605.80078125,110900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-15,40047.1484375,40257.33984375,39910.55078125,39910.55078125,39910.55078125,129000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-16,39362.62890625,39362.62890625,39062.8515625,39180.30078125,39180.30078125,108100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2024-10-17,39263.8203125,39299.73828125,38911.19140625,38911.19140625,38911.19140625,107200000
