"bin_label","coefficient","feature_name","group_name","logit_contribution","sample_count_train","support_share_train","woe"
"bin_3","2.067221621569418","weekly_down_day_volume_share","V","-0.6277788518940758","66.0","0.30414746543778803","-0.30368241379822214"
"bin_2","2.0828027643987017","weekly_spot_return_p10","W","-0.40402936284498175","72.0","0.3317972350230415","-0.19398349654179747"
"bin_1","-1.8650358826438114","weekly_spot_return_min","W","-0.3727160583894331","72.0","0.3317972350230415","0.19984390748615705"
"bin_2","1.339236262759319","weekly_spot_return_p90","W","-0.25978973294562213","72.0","0.3317972350230415","-0.19398349654179747"
"bin_3","2.0828027643987017","weekly_spot_return_p10","W","-0.2372851347112362","73.0","0.33640552995391704","-0.11392587851674935"
"bin_3","-0.6637315559265616","weekly_volume_ratio_13w","V","-0.18578016447761755","73.0","0.33640552995391704","0.2799025642501969"
"bin_1","0.7718631900836561","weekly_volume_accumulation_52w","V","-0.15715053909020268","139.0","0.6405529953917051","-0.20359895524123955"
"bin_2","0.5022578604707167","weekly_spot_return_p25","W","-0.15252687941687787","72.0","0.3317972350230415","-0.30368241379822203"
"bin_2","0.6283768079818225","weekly_volume_price_confirmation","V","-0.15244089692947424","130.0","0.5990783410138248","-0.24259472181838387"
"bin_1","0.4447122338182819","weekly_high_volume_low_price_signal","V","-0.1350512846115352","0.0","0.0","-0.30368241379822214"
"bin_1","1.6108950696365933","weekly_spot_return_max","W","-0.1347038979210097","72.0","0.3317972350230415","-0.08362052902142034"
"bin_3","0.6938429413996073","weekly_price_position_52w","V","-0.1280097878408035","83.0","0.3824884792626728","-0.18449389653310372"
