symbol,policy_name,sample_count,years_covered,events_per_year,win_rate,avg_return,median_return,avg_hold_calendar_days,terminal_capital,total_return,max_drawdown,cagr,rebound_check_day,hold_days
518800.SH,fail_to_rebound_d5_hold_20d,32,6,5.333333333333333,0.65625,0.020933445552239957,0.01259212643410379,25.625,1893943.19387002,0.8939431938700202,-0.18854812557435707,0.12854413335854864,5,20
518800.SH,fail_to_rebound_d3_hold_20d,34,6,5.666666666666667,0.6764705882352942,0.018618051375174003,0.010193752395318723,23.705882352941178,1813674.7567374674,0.8136747567374674,-0.13963108919162992,0.11945905011748259,3,20
518800.SH,fail_to_rebound_d3_hold_15d,38,6,6.333333333333333,0.6578947368421053,0.015948094695704323,0.011990129344449985,17.894736842105264,1764306.36771551,0.76430636771551,-0.14073695698626842,0.11405556163783404,3,15
518800.SH,fail_to_rebound_d5_hold_15d,36,6,6.0,0.6111111111111112,0.015363380721539635,0.010757784793267278,18.22222222222222,1693268.1250489617,0.6932681250489616,-0.18959111827615427,0.10526449599578447,5,15
518800.SH,fail_to_rebound_d3_hold_10d,40,6,6.666666666666667,0.6,0.011655864835739129,0.004849135276189576,12.375,1548852.50458718,0.5488525045871799,-0.10953559021120696,0.08712306881582776,3,10
518800.SH,fail_to_rebound_d7_hold_20d,30,6,5.0,0.5333333333333333,0.014202540447658148,0.005882050408397732,23.4,1487264.6423020666,0.48726464230206656,-0.18854812557435707,0.07924971049430551,7,20
518800.SH,fail_to_rebound_d5_hold_10d,38,6,6.333333333333333,0.6052631578947368,0.010756254890968183,0.004849135276189576,12.921052631578947,1471889.9329853381,0.4718899329853381,-0.1601637328415999,0.07651241402249931,5,10
518800.SH,fail_to_rebound_d7_hold_15d,32,6,5.333333333333333,0.59375,0.011753107810362644,0.007241095911669215,18.34375,1423211.5493244356,0.4232115493244357,-0.18959111827615438,0.07015956525422506,7,15
518800.SH,fail_to_rebound_d7_hold_10d,35,6,5.833333333333333,0.6285714285714286,0.009891287577244449,0.0052033050171649275,13.342857142857143,1379287.1278922225,0.3792871278922225,-0.1601637328415999,0.06373304982995887,7,10
