rebound_check_day,hold_days,policy_name,cost_scenario,cost_rate,sample_count,terminal_capital,total_return,cagr
5,20,fail_to_rebound_d5_hold_20d,low_cost,0.0005,32,1863873.7817241084,0.8638737817241084,0.12512947493423376
5,20,fail_to_rebound_d5_hold_20d,mid_cost,0.0015,32,1805116.1984704046,0.8051161984704045,0.11832603339299608
5,20,fail_to_rebound_d5_hold_20d,high_cost,0.003,32,1720330.9979638287,0.7203309979638288,0.10818529706727942
3,20,fail_to_rebound_d3_hold_20d,low_cost,0.0005,34,1783095.302370052,0.783095302370052,0.11585679429118345
3,20,fail_to_rebound_d3_hold_20d,mid_cost,0.0015,34,1723430.4481373148,0.7234304481373148,0.10868165412056552
3,20,fail_to_rebound_d3_hold_20d,high_cost,0.003,34,1637550.8357065944,0.6375508357065944,0.09799204665598182
3,15,fail_to_rebound_d3_hold_15d,low_cost,0.0005,38,1731092.7712239001,0.7310927712239002,0.11003512505660606
3,15,fail_to_rebound_d3_hold_15d,mid_cost,0.0015,38,1666482.0165352388,0.6664820165352388,0.10203174388829628
3,15,fail_to_rebound_d3_hold_15d,high_cost,0.003,38,1573946.685715514,0.573946685715514,0.09011991289808075
