etf_code,strategy,signal_date,etf_execute_date,execution_date_shift_days,signal_adjustment,signal_base_position,signal_regime,old_position_ratio_open,target_position,new_position_ratio_open,action,execution_reason,etf_open,etf_close,etf_nav,premium_open_proxy_pct,premium_close_pct,cash_before,equity_before_open,trade_gross_value,trade_fee,trade_shares,shares_after,cash_after,equity_after_open
159866,next_open_no_cost,2022-01-06,2022-01-07,1,1.0,0.25,range,0.0,0.5,0.49999999999999994,buy,buy_to_target,0.8939999938011169,0.8880000114440918,0.8916,0.2691783087838795,-0.4037672225110089,500000.00000000006,1000000.0,499999.99999999994,0.0,559284.1202091016,559284.1202091016,500000.0,1000000.0
159866,next_open_no_cost,2022-01-11,2022-01-12,1,-1.0,0.24,range,0.4985978700916929,0.0,0.0,sell,sell_to_target,0.8889999985694885,0.8999999761581421,0.9031,-1.561289052210335,-0.3432647372226705,997203.582065829,997203.582065829,497203.58206582896,0.0,-559284.1202091016,0.0,997203.582065829,997203.582065829
159866,next_open_no_cost,2022-01-19,2022-01-20,1,1.0,0.24,range,0.0,0.49,0.49,buy,buy_to_target,0.8650000095367432,0.8759999871253967,0.8772,-1.3907877865089846,-0.1368003733017819,508573.8268535728,997203.582065829,488629.75521225616,0.0,564889.8841908051,564889.8841908051,508573.8268535728,997203.582065829
159866,next_open_no_cost,2022-01-27,2022-01-28,1,-1.0,0.23,bear,0.4802846294729906,0.0,0.0,sell,sell_to_target,0.8320000171661377,0.8360000252723694,0.842,-1.187646417323307,-0.7125860721651556,978562.2201973002,978562.2201973002,469988.3933437274,0.0,-564889.8841908051,0.0,978562.2201973002,978562.2201973002
159866,next_open_no_cost,2022-01-28,2022-02-07,10,0.0,0.2,bear,0.0,0.2,0.2,buy,buy_to_target,0.8379999995231628,0.8519999980926514,0.8524,-1.6893477800137502,-0.046926549430859,782849.7761578402,978562.2201973002,195712.44403946004,0.0,233547.06939239136,233547.06939239136,782849.7761578402,978562.2201973002
159866,next_open_no_cost,2022-02-16,2022-02-17,1,-1.0,0.21,bear,0.2024744252041055,0.0,0.0,sell,sell_to_target,0.8510000109672546,0.8460000157356262,0.8511,-0.011748212048567908,-0.5992226840998427,981598.3347721354,981598.3347721354,198748.55861429524,0.0,-233547.06939239136,0.0,981598.3347721354,981598.3347721354
159866,next_open_no_cost,2022-02-17,2022-02-18,1,0.0,0.2,bear,0.0,0.2,0.2,buy,buy_to_target,0.8420000076293945,0.8450000286102295,0.8514,-1.1040629986616812,-0.7516997169098594,785278.6678177083,981598.3347721354,196319.66695442708,0.0,233158.74723939077,233158.74723939077,785278.6678177083,981598.3347721354
159866,next_open_no_cost,2022-02-18,2022-02-21,3,1.0,0.2,bear,0.20018997618036483,0.35,0.35,buy,buy_to_target,0.8429999947547913,0.8410000205039978,0.846,-0.35461054907904854,-0.5910141248229528,638190.4688364065,981831.4905175485,147088.19898130183,0.0,174481.85041102677,407640.59765041753,638190.4688364065,981831.4905175485
159866,next_open_no_cost,2022-02-21,2022-02-22,1,-1.0,0.2,bear,0.34891872403409335,0.0,0.0,sell,sell_to_target,0.8389999866485596,0.824999988079071,0.8354,0.43092969219051813,-1.244914043683143,980200.9248225177,980200.9248225177,342010.45598611113,0.0,-407640.59765041753,0.0,980200.9248225177,980200.9248225177
159866,next_open_no_cost,2022-02-22,2022-02-23,1,0.0,0.2,bear,0.0,0.2,0.2,buy,buy_to_target,0.828000009059906,0.8330000042915344,0.8292,-0.14471670768138045,0.4582735518010583,784160.7398580142,980200.9248225177,196040.18496450354,0.0,236763.5058205899,236763.5058205899,784160.7398580142,980200.9248225177
