portfolio,etf_code,strategy,final_cny,total_return_pct,annualized_return_pct,sharpe_252_rf0,max_drawdown_pct,trade_rows,buy_rows,sell_rows,hold_rows,delay_buy_rows,total_fee,avg_position_ratio,median_position_ratio
single_159866,159866.0,next_open_3bp,1732976.287429269,73.29762874292689,13.636577241304916,0.9492293105817228,-13.287905862436531,225,113,112,1,0.0,20699.26849872867,0.4800501053501432,0.3700178061761926
single_159866,159866.0,live_filtered_3bp,1634096.6593746284,63.40966593746285,12.094952390615068,0.9208279636274322,-13.287905862436556,173,87,86,21,32.0,14120.698340378587,0.4126980632318246,0.3489109416215825
single_513520,513520.0,next_open_3bp,1712465.313326794,71.2465313326794,13.32244844931232,0.85025980337694,-17.483542593634706,225,113,112,1,0.0,20489.662840287056,0.4801986623378831,0.3745923588109668
single_513520,513520.0,live_filtered_3bp,1610143.3848786284,61.01433848786285,11.710763687957847,0.8354021130502157,-17.483542593634706,173,86,87,17,36.0,14018.658132181608,0.4099038318339287,0.3549895841057312
dual_low_premium,,dual_low_premium_buy_no_deadband_3bp,1800728.035400979,80.0728035400979,14.654332375877544,0.9943015418844358,-13.287905862436544,225,113,112,1,,21266.945155850102,0.48023331311990786,0.37459235881096675
