etf_code,strategy,start_date,end_date,initial_cny,final_cny,total_return_pct,annualized_return_pct,sharpe_252_rf0,max_drawdown_pct,avg_position_ratio,median_position_ratio,scheduled_execution_days_after_consolidation,ledger_rows,trade_rows,buy_rows,sell_rows,hold_rows,delay_buy_rows,total_trade_gross,total_fee,buy_hold_final_cny,buy_hold_total_return_pct,execution_basis,premium_basis,min_rebalance_delta,buy_premium_ceiling_pct,buy_hard_avoid_ceiling_pct,commission_rate
159866,next_open_no_cost,2022-01-04,2026-04-24,1000000.0,1762796.0254428228,76.27960254428228,14.088219960475556,0.9762607965686276,-13.287905862436533,0.48002754855180924,0.37000307258554566,226,226,225,113,112,1,0,69649649.19940986,0.0,1646929.7954665313,64.69297954665313,signal_date_plus_next_etf_open,open_price_div_same_day_eod_nav_proxy_not_intraday_iopv,0.0,,,0.0
159866,next_open_3bp,2022-01-04,2026-04-24,1000000.0,1732976.287429269,73.29762874292689,13.636577241304915,0.9492293105817227,-13.287905862436533,0.4800501053501432,0.3700178061761926,226,226,225,113,112,1,0,68997561.6624289,20699.26849872867,1646929.7954665313,64.69297954665313,signal_date_plus_next_etf_open,open_price_div_same_day_eod_nav_proxy_not_intraday_iopv,0.0,,,0.0003
159866,live_filtered_3bp,2022-01-04,2026-04-24,1000000.0,1634096.6593746284,63.40966593746285,12.094952390615067,0.9208279636274322,-13.287905862436556,0.4126980632318246,0.3489109416215825,226,226,173,87,86,21,32,47068994.46792863,14120.698340378589,1646929.7954665313,64.69297954665313,signal_date_plus_next_etf_open,open_price_div_same_day_eod_nav_proxy_not_intraday_iopv,0.1,1.0,2.0,0.0003
513520,next_open_no_cost,2022-01-04,2026-04-24,1000000.0,1741915.8686635233,74.19158686635234,13.772595988239743,0.8744317903271942,-17.427312259951535,0.48017609677008716,0.3745773798409009,226,226,225,113,112,1,0,68943294.70388868,0.0,1695214.1723532134,69.52141723532135,signal_date_plus_next_etf_open,open_price_div_same_day_eod_nav_proxy_not_intraday_iopv,0.0,,,0.0
513520,next_open_3bp,2022-01-04,2026-04-24,1000000.0,1712465.313326794,71.2465313326794,13.322448449312319,0.85025980337694,-17.483542593634706,0.48019866233788316,0.3745923588109668,226,226,225,113,112,1,0,68298876.13429019,20489.662840287056,1695214.1723532134,69.52141723532135,signal_date_plus_next_etf_open,open_price_div_same_day_eod_nav_proxy_not_intraday_iopv,0.0,,,0.0003
513520,live_filtered_3bp,2022-01-04,2026-04-24,1000000.0,1610143.3848786284,61.014338487862844,11.710763687957847,0.8354021130502157,-17.483542593634706,0.40990383183392876,0.3549895841057312,226,226,173,86,87,17,36,46728860.44060536,14018.658132181607,1695214.1723532134,69.52141723532135,signal_date_plus_next_etf_open,open_price_div_same_day_eod_nav_proxy_not_intraday_iopv,0.1,1.0,2.0,0.0003
