strategy,signal_date,execute_date,shift_days,signal_adjustment,signal_base_position,signal_regime,old_position_ratio_open,target_position,new_position_ratio_open,action,reason,chosen_buy_etf,premium_open_159866,premium_open_513520,open_159866,open_513520,equity_before_open,trade_gross_value,trade_fee,cash_after,shares_159866_after,shares_513520_after,equity_after_open
dual_low_premium_buy_no_deadband_3bp,2022-01-06,2022-01-07,1,1.0,0.25,range,0.0,0.5,0.5000750112516877,buy,buy_lower_open_premium_no_deadband,159866,0.2691783087838795,0.37014793690874903,0.8939999938011169,1.1660000085830688,1000000.0,500000.0,150.0,499850.0,559284.1202091016,0.0,999850.0
dual_low_premium_buy_no_deadband_3bp,2022-01-11,2022-01-12,1,-1.0,0.24,range,0.4986728807850588,0.0,0.0,sell,sell_pro_rata_to_target_no_deadband,,-1.561289052210335,-1.8024169877766893,0.8889999985694885,1.1549999713897705,997053.582065829,497203.58206582896,149.1610746197487,996904.4209912092,0.0,0.0,996904.4209912092
dual_low_premium_buy_no_deadband_3bp,2022-01-19,2022-01-20,1,1.0,0.24,range,0.0,0.49,0.4900720405899667,buy,buy_lower_open_premium_no_deadband,159866,-1.3907877865089846,-0.9736033241306008,0.8650000095367432,1.128999948501587,996904.4209912092,488483.1662856925,146.54494988570772,508274.70975563105,564720.4172255478,0.0,996757.8760413235
dual_low_premium_buy_no_deadband_3bp,2022-01-27,2022-01-28,1,-1.0,0.23,bear,0.4803565870399277,0.0,1.1903636542047287e-16,sell,sell_pro_rata_to_target_no_deadband,,-1.187646417323307,-0.8703603146002936,0.8320000171661377,1.0820000171661377,978122.1065813552,469847.39682572416,140.95421904771723,977981.1523623075,1.1641532182693481e-10,0.0,977981.1523623077
dual_low_premium_buy_no_deadband_3bp,2022-01-28,2022-02-07,10,0.0,0.2,bear,1.1903636542047287e-16,0.2,0.20001200072004321,buy,buy_lower_open_premium_no_deadband,159866,-1.6893477800137502,-1.114704796668653,0.8379999995231628,1.100000023841858,977981.1523623077,195596.23047246144,58.678869141738424,782326.2430207044,233408.3897180899,0.0,977922.4734931659
dual_low_premium_buy_no_deadband_3bp,2022-02-16,2022-02-17,1,-1.0,0.21,bear,0.20248653681848036,0.0,0.0,sell,sell_pro_rata_to_target_no_deadband,,-0.011748212048567908,0.05408457771001185,0.8510000109672546,1.1100000143051147,980956.7852306481,198630.54220994376,59.58916266298312,980897.1960679851,-2.9103830456733704e-11,0.0,980897.1960679851
dual_low_premium_buy_no_deadband_3bp,2022-02-17,2022-02-18,1,0.0,0.2,bear,0.0,0.2,0.20001200072004316,buy,buy_lower_open_premium_no_deadband,159866,-1.1040629986616812,-0.6064950130293845,0.8420000076293945,1.0980000495910645,980897.1960679851,196179.43921359704,58.85383176407911,784658.9030226241,232992.20598100658,0.0,980838.3422362211
dual_low_premium_buy_no_deadband_3bp,2022-02-18,2022-02-21,3,1.0,0.2,bear,0.200201985446971,0.35,0.35001572949840226,buy,buy_lower_open_premium_no_deadband,159866,-0.35461054907904854,0.1275489351144854,0.8429999947547913,1.0989999771118164,981071.3314425199,146962.53758498613,44.088761275495834,637652.2766763625,407324.99186404096,0.0,981027.2426812444
dual_low_premium_buy_no_deadband_3bp,2022-02-21,2022-02-22,1,-1.0,0.2,bear,0.34893443102479593,0.0,0.0,sell,sell_pro_rata_to_target_no_deadband,,0.43092969219051813,0.526168803522542,0.8389999866485596,1.0889999866485596,979397.9394119175,341745.662735555,102.52369882066648,979295.4157130969,5.820766091346741e-11,0.0,979295.4157130969
dual_low_premium_buy_no_deadband_3bp,2022-02-22,2022-02-23,1,0.0,0.2,bear,0.0,0.2,0.20001200072004316,buy,buy_lower_open_premium_no_deadband,159866,-0.14471670768138045,0.3617491110414317,0.828000009059906,1.0820000171661377,979295.4157130969,195859.08314261938,58.757724942785806,783377.5748455347,236544.7838158767,0.0,979236.6579881541
dual_low_premium_buy_no_deadband_3bp,2022-02-25,2022-02-28,3,-1.0,0.2,bear,0.19846304097160009,0.0,0.0,sell,sell_pro_rata_to_target_no_deadband,,-0.6782954399899954,0.27933165125784143,0.8199999928474426,1.0770000219345093,977344.2958826534,193966.7210371187,58.1900163111356,977286.1058663423,5.820766091346741e-11,0.0,977286.1058663423
dual_low_premium_buy_no_deadband_3bp,2022-03-01,2022-03-02,1,1.0,0.2,bear,0.0,0.35,0.3500367538591552,buy,buy_lower_open_premium_no_deadband,159866,-1.6274882771294852,1.660141147043559,0.8159999847412109,1.090000033378601,977286.1058663423,342050.1370532198,102.61504111596592,635133.3537720066,419179.0973644427,0.0,977183.4908252264
dual_low_premium_buy_no_deadband_3bp,2022-03-02,2022-03-03,1,-1.0,0.2,bear,0.35198260675246934,0.0,1.1878941604704094e-16,sell,sell_pro_rata_to_target_no_deadband,,-0.3631944517823671,0.0929388414971477,0.8230000138282776,1.0770000219345093,980117.7566994678,344984.4029274612,103.49532087823835,980014.2613785896,1.1641532182693481e-10,0.0,980014.2613785897
