strategy,start_date,end_date,final_cny,total_return_pct,annualized_return_pct,sharpe_252_rf0,max_drawdown_pct,trade_rows,buy_rows,sell_rows,delay_buy_rows,total_trade_gross,total_fee,buy_159866_rows,buy_513520_rows,avg_position_ratio,median_position_ratio
dual_buy_low_sell_high_premium_first_block_extreme_5pct_3bp,2022-01-04,2026-04-24,1853310.051221454,85.3310051221454,15.424140600755765,1.0576991532893882,-13.287905862436533,218,108,110,7,69868298.48920193,20960.489546760575,74,41,0.46673302873603745,0.36766772685211463
dual_switch_to_low_premium_on_buy_no_deadband_3bp,2022-01-04,2026-04-24,1840314.1346723032,84.03141346723034,15.235453823208477,1.0507988828888446,-13.287905862436556,225,113,112,0,94216130.14264092,28264.83904279228,72,41,0.4802543880492288,0.3745923588109667
dual_buy_low_sell_high_premium_first_no_deadband_3bp,2022-01-04,2026-04-24,1825734.615444564,82.57346154445639,15.022553698975427,1.015881987459951,-13.287905862436533,225,113,112,0,71260136.57231732,21378.04097169519,72,41,0.48024108954894856,0.3745923588109668
dual_buy_low_sell_prorata_no_deadband_3bp,2022-01-04,2026-04-24,1800728.035400977,80.0728035400977,14.654332375877521,0.9943015418844308,-13.287905862436544,225,113,112,0,70889817.18616699,21266.945155850095,72,41,0.48023331311990786,0.3745923588109667
