layer_type,layer_name,sample_count,avg_ret_5d,avg_ret_10d,avg_ret_15d,win_rate_5d,failure_risk_share
ret_5d_bucket,ret5_extreme,19,0.037387435433861416,0.04826970083060558,0.07178400261030615,0.8421052631578947,0.47368421052631576
ret_5d_bucket,ret5_moderate,56,0.0077063227555850345,0.013086082685539608,0.01756923770891569,0.6428571428571429,0.6071428571428571
ret_5d_bucket,ret5_shallow,15,0.015135943449047385,0.030336812256503035,0.04374111252638007,0.6666666666666666,0.6
ma20_gap_bucket,ma20_gap_deep,35,0.021847515107687863,0.03115838423095364,0.04862542257443849,0.7142857142857143,0.5714285714285714
ma20_gap_bucket,ma20_gap_moderate,55,0.010987117645868443,0.018444612398834406,0.023672731983371807,0.6727272727272727,0.5818181818181818
resonance_regime,usd_down_oil_down,8,0.029065672979077042,0.050394233987100995,0.05237150613715599,0.875,0.375
resonance_regime,usd_down_oil_up,9,0.005528998660662304,0.023075831743810733,0.0395024535575412,0.4444444444444444,0.7777777777777778
resonance_regime,usd_up_oil_down,44,0.019065933458494853,0.028445894142692173,0.0403429643479783,0.7272727272727273,0.5681818181818182
resonance_regime,usd_up_oil_up,29,0.008543691563430654,0.008363497591369298,0.015665706440159747,0.6551724137931034,0.5862068965517241
