trade_date,selected_flag,premium_proxy,premium_filter,symbol
2021-01-08,1,,no_filter,159812.SZ
2021-01-11,1,,no_filter,159812.SZ
2021-01-12,1,,no_filter,159812.SZ
2021-01-14,1,,no_filter,159812.SZ
2021-02-04,1,0.01674258943419571,no_filter,159812.SZ
2021-02-18,1,0.006193157232339486,no_filter,159812.SZ
2021-02-19,1,-9.6513042077917e-05,no_filter,159812.SZ
2021-02-26,1,0.019931342664759377,no_filter,159812.SZ
2021-03-01,1,0.018404337926152925,no_filter,159812.SZ
2021-03-02,1,-0.005979435983255232,no_filter,159812.SZ
2021-03-03,1,0.008916018272219217,no_filter,159812.SZ
2021-03-04,1,0.009855327239825185,no_filter,159812.SZ
2021-03-08,1,0.02386182827454042,no_filter,159812.SZ
2021-03-30,1,0.0199808127459975,no_filter,159812.SZ
2021-06-17,1,0.008700952652570981,no_filter,159812.SZ
2021-06-18,1,0.0024989010219353958,no_filter,159812.SZ
2021-06-21,1,-0.003965484142603337,no_filter,159812.SZ
2021-06-22,1,0.004383212698195527,no_filter,159812.SZ
2021-06-23,1,0.00045944649080653654,no_filter,159812.SZ
2021-08-06,1,0.022633354700863695,no_filter,159812.SZ
2021-08-09,1,0.015028037183930198,no_filter,159812.SZ
2021-08-10,1,0.007360441355034331,no_filter,159812.SZ
2021-08-11,1,-0.0037918796378328956,no_filter,159812.SZ
2021-08-12,1,0.007317929116797739,no_filter,159812.SZ
2021-09-16,1,0.012568573111970682,no_filter,159812.SZ
2021-09-17,1,0.007542385473338964,no_filter,159812.SZ
2021-09-28,1,0.005870799319376507,no_filter,159812.SZ
2021-09-29,1,0.01054159466684701,no_filter,159812.SZ
2021-11-23,1,0.0028346944336059554,no_filter,159812.SZ
2021-11-24,1,-0.0024275164744100852,no_filter,159812.SZ
2021-11-26,1,0.0021056518290942794,no_filter,159812.SZ
2021-11-29,1,0.0005031314390857577,no_filter,159812.SZ
2022-01-28,1,0.0046229133811015455,no_filter,159812.SZ
2022-03-16,1,-0.0016005642093176453,no_filter,159812.SZ
2022-04-25,1,0.04030819383481177,no_filter,159812.SZ
2022-04-26,1,0.030061305506215996,no_filter,159812.SZ
2022-04-27,1,0.03799926352635419,no_filter,159812.SZ
2022-04-28,1,0.029189984677136183,no_filter,159812.SZ
2022-05-12,1,0.07988731518731251,no_filter,159812.SZ
2022-05-13,1,0.07977477342276029,no_filter,159812.SZ
2022-05-16,1,0.06427706070349215,no_filter,159812.SZ
2022-06-14,1,0.03565720566356623,no_filter,159812.SZ
2022-07-05,1,0.027648485414216717,no_filter,159812.SZ
2022-07-06,1,0.023029742077268933,no_filter,159812.SZ
2022-07-07,1,0.007489066506736641,no_filter,159812.SZ
2022-07-08,1,0.005025074640373273,no_filter,159812.SZ
2022-07-11,1,0.011078058338872987,no_filter,159812.SZ
2022-07-12,1,0.01392442346207301,no_filter,159812.SZ
2022-07-15,1,0.011362807025750987,no_filter,159812.SZ
2022-07-20,1,0.014107670982266951,no_filter,159812.SZ
2022-08-22,1,0.022079848047589,no_filter,159812.SZ
2022-08-31,1,0.03342047475401677,no_filter,159812.SZ
2022-09-01,1,0.034755245432085635,no_filter,159812.SZ
2022-09-06,1,0.04341754588599911,no_filter,159812.SZ
2022-09-15,1,0.05362546686687342,no_filter,159812.SZ
2022-09-16,1,0.04323361644381385,no_filter,159812.SZ
2022-09-19,1,0.04999985686786945,no_filter,159812.SZ
2022-09-20,1,0.05856002025403506,no_filter,159812.SZ
2022-09-26,1,0.07302330741816676,no_filter,159812.SZ
2022-10-14,1,0.07414383956842152,no_filter,159812.SZ
2022-10-19,1,0.07105221249153382,no_filter,159812.SZ
2022-10-20,1,0.05738315818743733,no_filter,159812.SZ
2022-11-03,1,0.04755611115018188,no_filter,159812.SZ
2023-02-03,1,-0.005687650181618875,no_filter,159812.SZ
2023-02-06,1,-0.020765489156473804,no_filter,159812.SZ
2023-02-07,1,-0.022445630087603696,no_filter,159812.SZ
2023-02-08,1,-0.02380213986899582,no_filter,159812.SZ
2023-02-09,1,-0.017651707595026878,no_filter,159812.SZ
2023-02-15,1,-0.0006667421331896239,no_filter,159812.SZ
2023-05-18,1,0.023941157452361583,no_filter,159812.SZ
2023-09-27,1,0.04763866756226265,no_filter,159812.SZ
2023-09-28,1,0.034542082755151915,no_filter,159812.SZ
2023-11-10,1,0.011965144300823294,no_filter,159812.SZ
2024-06-13,1,0.0054138776192200755,no_filter,159812.SZ
2024-11-06,1,0.024533954998127383,no_filter,159812.SZ
2024-11-11,1,0.031027907215015915,no_filter,159812.SZ
2024-11-12,1,0.01841658160563897,no_filter,159812.SZ
2024-11-13,1,0.02528465741272945,no_filter,159812.SZ
2024-11-14,1,0.009491457461060726,no_filter,159812.SZ
2024-11-15,1,0.0120785157176857,no_filter,159812.SZ
2024-12-19,1,0.02804855198722045,no_filter,159812.SZ
2025-02-28,1,0.011418827459528158,no_filter,159812.SZ
2025-04-07,1,0.03175078313973523,no_filter,159812.SZ
2025-04-08,1,0.03619787586164813,no_filter,159812.SZ
2025-05-12,1,0.01789833859356249,no_filter,159812.SZ
2025-05-13,1,0.005330869448480824,no_filter,159812.SZ
2025-05-14,1,0.015557292648906484,no_filter,159812.SZ
2025-05-15,1,-0.026570825128622633,no_filter,159812.SZ
2025-05-16,1,0.0013723164917587294,no_filter,159812.SZ
2025-06-27,1,-0.005061994646995083,no_filter,159812.SZ
2025-06-30,1,-0.009699323663459936,no_filter,159812.SZ
2025-10-28,1,-0.009399462505261802,no_filter,159812.SZ
