symbol,policy_name,sample_count,years_covered,events_per_year,win_rate,avg_return,median_return,avg_hold_calendar_days,terminal_capital,total_return,max_drawdown,cagr,strategy_name,premium_filter
518800.SH,fail_to_rebound_d5_hold_20d,32,6,5.333333333333333,0.65625,0.020933445552239957,0.01259212643410379,25.625,1893943.19387002,0.8939431938700202,-0.18854812557435707,0.12854413335854864,fail_to_rebound_d5_hold_20d,no_filter
518880.SH,fail_to_rebound_d5_hold_20d,33,6,5.5,0.696969696969697,0.01945161623901903,0.020364408604713002,25.060606060606062,1846719.12990717,0.8467191299071701,-0.18830639919295022,0.12316135270752415,fail_to_rebound_d5_hold_20d,no_filter
159934.SZ,fail_to_rebound_d5_hold_20d,32,6,5.333333333333333,0.6875,0.019764052876796855,0.02265963600200338,25.625,1829565.4764596021,0.8295654764596021,-0.1860670851023254,0.12117846939767096,fail_to_rebound_d5_hold_20d,no_filter
518800.SH,fail_to_rebound_d3_hold_20d,34,6,5.666666666666667,0.6764705882352942,0.018618051375174003,0.010193752395318723,23.705882352941178,1813674.7567374674,0.8136747567374674,-0.13963108919162992,0.11945905011748259,fail_to_rebound_d3_hold_20d,no_filter
518600.SH,fail_to_rebound_d3_hold_20d,38,6,6.333333333333333,0.631578947368421,0.016220515838185828,0.010831448455701165,21.68421052631579,1791673.9712707829,0.791673971270783,-0.13488260411960007,0.11687238156720237,fail_to_rebound_d3_hold_20d,no_filter
159937.SZ,fail_to_rebound_d5_hold_20d,32,6,5.333333333333333,0.65625,0.01848538056850524,0.016229332694763676,24.96875,1757384.2396424245,0.7573842396424244,-0.18690916090932364,0.11266578664404836,fail_to_rebound_d5_hold_20d,no_filter
159934.SZ,fail_to_rebound_d3_hold_20d,34,6,5.666666666666667,0.6470588235294118,0.017302201889853704,0.011459397147814077,23.705882352941178,1746459.7900467906,0.7464597900467906,-0.13810670348279763,0.11147460945951759,fail_to_rebound_d3_hold_20d,no_filter
518880.SH,fail_to_rebound_d3_hold_20d,34,6,5.666666666666667,0.6764705882352942,0.01726342675237826,0.011754532988021538,23.705882352941178,1744493.281909943,0.744493281909943,-0.13864793317521107,0.111237284473098,fail_to_rebound_d3_hold_20d,no_filter
518850.SH,fail_to_rebound_d5_hold_20d,32,6,5.333333333333333,0.59375,0.01782672493359042,0.0181425013984583,24.34375,1720897.117242149,0.720897117242149,-0.18823167840912614,0.1082543382766934,fail_to_rebound_d5_hold_20d,no_filter
159937.SZ,fail_to_rebound_d3_hold_20d,34,6,5.666666666666667,0.6764705882352942,0.016736377080152437,0.012050865990930526,23.029411764705884,1713310.4409765005,0.7133104409765005,-0.1399913707791749,0.10744474361878864,fail_to_rebound_d3_hold_20d,no_filter
518600.SH,fail_to_rebound_d5_hold_20d,34,6,5.666666666666667,0.6176470588235294,0.016391681523160624,0.012859178723571785,22.676470588235293,1696661.0494939499,0.6966610494939498,-0.18828813028003022,0.10528200217991279,fail_to_rebound_d5_hold_20d,no_filter
518890.SH,fail_to_rebound_d3_hold_20d,37,6,6.166666666666667,0.5675675675675675,0.013897056187255234,0.008958240806544282,20.945945945945947,1620901.9207105027,0.6209019207105027,-0.14393707890552343,0.09586735724885131,fail_to_rebound_d3_hold_20d,no_filter
518860.SH,fail_to_rebound_d5_hold_20d,32,6,5.333333333333333,0.65625,0.01569454725710815,0.007274297285267739,22.375,1611092.1542256875,0.6110921542256875,-0.18984347888008568,0.0945045822618531,fail_to_rebound_d5_hold_20d,no_filter
518890.SH,fail_to_rebound_d5_hold_20d,35,6,5.833333333333333,0.5714285714285714,0.014360725632149051,0.008958240806544282,21.82857142857143,1609729.2758729276,0.6097292758729276,-0.18990751042700427,0.09432920985872117,fail_to_rebound_d5_hold_20d,no_filter
518850.SH,fail_to_rebound_d3_hold_20d,36,6,6.0,0.5833333333333334,0.014024111499452825,0.0043222633651939235,20.72222222222222,1604289.1678344484,0.6042891678344484,-0.14390912829082103,0.09372957954442396,fail_to_rebound_d3_hold_20d,no_filter
518800.SH,hold_15d_baseline,30,6,5.0,0.7333333333333333,0.016091389576523323,0.01402522848478771,22.833333333333332,1589104.3157773898,0.5891043157773899,-0.1895911182761545,0.09241098561353822,hold_15d_baseline,no_filter
159934.SZ,hold_15d_baseline,30,6,5.0,0.7666666666666667,0.01596157197237274,0.016499072800136627,22.833333333333332,1583569.1260388708,0.5835691260388707,-0.18670302514955928,0.09168383003034242,hold_15d_baseline,no_filter
159937.SZ,hold_15d_baseline,30,6,5.0,0.7666666666666667,0.015890971668290337,0.016578379538774612,22.833333333333332,1580329.035282005,0.5803290352820052,-0.18779609463787084,0.09125722583160933,hold_15d_baseline,no_filter
518880.SH,hold_15d_baseline,30,6,5.0,0.7333333333333333,0.01579696709587385,0.017109641246284668,22.833333333333332,1575677.520716955,0.5756775207169549,-0.19022042532712102,0.09064354850320289,hold_15d_baseline,no_filter
159812.SZ,fail_to_rebound_d3_hold_20d,35,6,5.833333333333333,0.5428571428571428,0.013745289758361654,0.008992399191322775,21.2,1568518.6432664513,0.5685186432664513,-0.1395408525164532,0.0890649125814389,fail_to_rebound_d3_hold_20d,no_filter
