exit_rule,year,sample_count,win_rate,avg_return,avg_max_drawdown
break_event_low,2016,5,0.0,-0.03180807427019412,-0.035443356484927954
break_event_low,2017,4,0.0,-0.02450387026440598,-0.02519593415162899
break_event_low,2020,6,0.8333333333333334,0.10758713141582162,-0.015913479700530014
break_event_low,2021,7,0.0,-0.014411372454273359,-0.0165498504707488
break_event_low,2022,1,0.0,-0.0416246881583513,-0.0416246881583513
break_event_low,2024,5,0.6,0.45679536866934745,0.02182577469894522
break_event_low,2025,3,1.0,0.4614874380431715,0.11661889689376155
break_event_low,2026,1,0.0,-0.0045072855294755465,-0.10274814182079217
break_ma10,2016,5,0.2,-0.0014906247614778101,-0.005774447019164764
break_ma10,2017,4,0.5,-0.006089426687899746,-0.006354786123761086
break_ma10,2020,6,0.5,0.011177492095222416,0.0065470551738051426
break_ma10,2021,7,0.5714285714285714,-4.865709990994497e-05,-0.006559559991872981
break_ma10,2022,1,0.0,-0.032928561753084784,-0.03377701500049224
break_ma10,2024,5,0.2,0.026552185416292097,0.024791053747806456
break_ma10,2025,3,0.6666666666666666,0.17731535560618975,0.15147447558824545
break_ma10,2026,1,0.0,-0.036386269888214806,-0.10274814182079217
break_ma5,2016,5,0.2,-0.0014906247614778101,-0.005774447019164764
break_ma5,2017,4,0.5,-0.006089426687899746,-0.006354786123761086
break_ma5,2020,6,0.5,0.011177492095222416,0.0065470551738051426
break_ma5,2021,7,0.42857142857142855,-0.0018421160866481298,-0.008344968778174588
break_ma5,2022,1,0.0,-0.032928561753084784,-0.03377701500049224
break_ma5,2024,5,0.2,0.026552185416292097,0.024791053747806456
break_ma5,2025,3,0.6666666666666666,0.17731535560618975,0.15147447558824545
break_ma5,2026,1,0.0,-0.036386269888214806,-0.10274814182079217
hold_10d,2016,5,0.6,0.006389591889035917,-0.029949856348816195
hold_10d,2017,4,1.0,0.02451246776138133,-0.006531182607537739
hold_10d,2020,6,1.0,0.056054438450163745,-0.013831275722100153
hold_10d,2021,7,1.0,0.018987337928988657,-0.013220180301510969
hold_10d,2022,1,0.0,-0.0176573775900295,-0.024391536881331777
hold_10d,2024,5,1.0,0.018880023928129132,-0.008297517053254589
hold_10d,2025,3,1.0,0.0787139794191017,-0.0055253962476407015
hold_10d,2026,1,1.0,0.01890423249384443,-0.10274814188916681
hold_15d,2016,5,0.6,0.013529135204976606,-0.03222134256836371
hold_15d,2017,4,1.0,0.027569819099107384,-0.006531182607537739
hold_15d,2020,6,1.0,0.09231817831747484,-0.013831275722100153
hold_15d,2021,7,1.0,0.030839737174430098,-0.013220180301510969
hold_15d,2022,1,0.0,-0.03711755612376566,-0.05244181724043939
hold_15d,2024,5,1.0,0.023468855591693094,-0.008297517053254589
hold_15d,2025,3,1.0,0.07070926120663328,-0.0055253962476407015
hold_15d,2026,1,1.0,0.037633468334312914,-0.10274814188916681
