config_name,sample_count,terminal_capital,total_return,max_drawdown,win_rate,avg_trade_return,median_trade_return,avg_layers,avg_hold_trading_days,median_repair_days,repair_within_5d,repair_within_10d,cagr,first_entry_weight,allow_second_entry,second_entry_trigger_drawdown,second_entry_requires_parent_signal,second_entry_weight,allow_third_entry,third_entry_trigger_drawdown,third_entry_requires_parent_signal,third_entry_weight,max_total_weight,max_hold_days,rebound_check_day,return_drawdown_ratio
f0.50_s1_-0.05_1_0.40_t0_0.00_0_0.00_h20_r5,58,2127512.4505583793,1.1275124505583793,-0.14271275123632376,0.6896551724137931,0.013352463498901039,0.008564791715801157,1.2758620689655173,17.637931034482758,1.0,0.9655172413793104,0.9655172413793104,0.07596728699134991,0.5,True,-0.05,True,0.4,False,0.0,False,0.0,1.0,20,5,7.90057258927961
f0.50_s1_-0.05_0_0.40_t0_0.00_0_0.00_h20_r5,57,2100072.4520442267,1.1000724520442269,-0.14271275123632376,0.6842105263157895,0.013358110300913736,0.008341041243247305,1.2982456140350878,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.07461345912524675,0.5,True,-0.05,False,0.4,False,0.0,False,0.0,1.0,20,5,7.708298260066284
f0.50_s1_-0.05_1_0.35_t0_0.00_0_0.00_h20_r5,58,2025644.8223095543,1.0256448223095544,-0.13502355693264323,0.6896551724137931,0.012471030488310806,0.008190146810253795,1.2758620689655173,17.637931034482758,1.0,0.9655172413793104,0.9655172413793104,0.07085928587212531,0.5,True,-0.05,True,0.35,False,0.0,False,0.0,1.0,20,5,7.596043576464212
f0.50_s1_-0.05_0_0.35_t0_0.00_0_0.00_h20_r5,57,2000301.8928527245,1.0003018928527245,-0.13502355693264334,0.6842105263157895,0.01246868003126743,0.008039252377260286,1.2982456140350878,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.06955250815919123,0.5,True,-0.05,False,0.35,False,0.0,False,0.0,1.0,20,5,7.408350924659215
f0.50_s1_-0.05_1_0.30_t0_0.00_0_0.00_h20_r5,58,1928541.556272048,0.928541556272048,-0.1272494483291341,0.6896551724137931,0.011592227849485826,0.006950007659900059,1.2758620689655173,17.637931034482758,1.0,0.9655172413793104,0.9655172413793104,0.0657694687156185,0.5,True,-0.05,True,0.3,False,0.0,False,0.0,1.0,20,5,7.297018324750222
f0.50_s1_-0.05_0_0.30_t0_0.00_0_0.00_h20_r5,57,1905164.9490389663,0.9051649490389664,-0.1272494483291342,0.6842105263157895,0.011581897290972979,0.0056321702996280365,1.2982456140350878,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.06450963169575608,0.5,True,-0.05,False,0.3,False,0.0,False,0.0,1.0,20,5,7.113311381105027
f0.50_s1_-0.05_1_0.25_t0_0.00_0_0.00_h20_r5,58,1836036.3649561547,0.8360363649561546,-0.11990609982122169,0.6724137931034483,0.010716553864365647,0.005471088653637879,1.2758620689655173,17.637931034482758,1.0,0.9655172413793104,0.9655172413793104,0.060700663277607037,0.5,True,-0.05,True,0.25,False,0.0,False,0.0,1.0,20,5,6.9724256414200205
f0.50_s1_-0.04_0_0.40_t0_0.00_0_0.00_h20_r5,57,2026208.487599454,1.0262084875994537,-0.14763722228073894,0.6842105263157895,0.012721405968287393,0.008341041243247305,1.3333333333333333,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.07088818240596129,0.5,True,-0.04,False,0.4,False,0.0,False,0.0,1.0,20,5,6.950879132960598
f0.50_s1_-0.05_0_0.25_t0_0.00_0_0.00_h20_r5,57,1814501.4713372597,0.8145014713372598,-0.11990609982122158,0.6666666666666666,0.010698264142890084,0.004615417062884708,1.2982456140350878,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.059487623040779924,0.5,True,-0.05,False,0.25,False,0.0,False,0.0,1.0,20,5,6.792827658907018
f0.50_s1_-0.05_1_0.40_t0_0.00_0_0.00_h20_r7,56,1968960.483161699,0.9689604831616991,-0.14271275123632365,0.6607142857142857,0.012467229328400485,0.008564791715801157,1.2857142857142858,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.0679155890814569,0.5,True,-0.05,True,0.4,False,0.0,False,0.0,1.0,20,7,6.789585897318729
f0.50_s1_-0.04_1_0.40_t0_0.00_0_0.00_h20_r5,57,2001648.9994660174,1.0016489994660174,-0.14763722228073917,0.6666666666666666,0.012506944800565918,0.008341041243247305,1.3333333333333333,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.0696223452955409,0.5,True,-0.04,True,0.4,False,0.0,False,0.0,1.0,20,5,6.7845288877173155
f0.50_s1_-0.05_0_0.40_t0_0.00_0_0.00_h20_r7,56,1962687.6609573376,0.9626876609573376,-0.14271275123632388,0.6607142857142857,0.012407649071242288,0.008202812513413227,1.3035714285714286,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.06758514472992894,0.5,True,-0.05,False,0.4,False,0.0,False,0.0,1.0,20,7,6.745631715579386
f0.50_s1_-0.04_0_0.35_t0_0.00_0_0.00_h20_r5,57,1938836.9184001926,0.9388369184001926,-0.14142382948170684,0.6842105263157895,0.011915886385751683,0.008039252377260286,1.3333333333333333,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.0663199483939676,0.5,True,-0.04,False,0.35,False,0.0,False,0.0,1.0,20,5,6.638463417663506
f0.50_s1_-0.04_1_0.35_t0_0.00_0_0.00_h20_r5,57,1918275.9645365586,0.9182759645365586,-0.1414238294817065,0.6666666666666666,0.011728556982305932,0.008039252377260286,1.3333333333333333,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.0652179322711437,0.5,True,-0.04,True,0.35,False,0.0,False,0.0,1.0,20,5,6.49307806118586
f0.50_s1_-0.05_1_0.35_t0_0.00_0_0.00_h20_r7,56,1872843.9299482591,0.8728439299482591,-0.13502355693264323,0.6607142857142857,0.011531921679077243,0.008190146810253795,1.2857142857142858,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.06274456197534106,0.5,True,-0.05,True,0.35,False,0.0,False,0.0,1.0,20,7,6.464382584615802
f0.50_s1_-0.05_0_0.35_t0_0.00_0_0.00_h20_r7,56,1867608.5773297537,0.8676085773297537,-0.13502355693264334,0.6607142857142857,0.011479941229854653,0.007352967696314749,1.3035714285714286,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.06245607120735763,0.5,True,-0.05,False,0.35,False,0.0,False,0.0,1.0,20,7,6.4256089606835145
f0.50_s1_-0.03_1_0.40_t0_0.00_0_0.00_h20_r5,56,1939764.114161737,0.939764114161737,-0.14763722228073894,0.6964285714285714,0.012150353104463428,0.0067109195736233425,1.3928571428571428,18.053571428571427,1.0,0.9642857142857143,0.9642857142857143,0.06636939469913683,0.5,True,-0.03,True,0.4,False,0.0,False,0.0,1.0,20,5,6.365360304427378
f0.50_s1_-0.04_0_0.30_t0_0.00_0_0.00_h20_r5,57,1855111.264770376,0.855111264770376,-0.13516192509365643,0.6666666666666666,0.011112206135841452,0.0056321702996280365,1.3333333333333333,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.06176445143111331,0.5,True,-0.04,False,0.3,False,0.0,False,0.0,1.0,20,5,6.32656914421611
f0.50_s1_-0.03_0_0.40_t0_0.00_0_0.00_h20_r5,56,1921032.5552015987,0.9210325552015988,-0.14763722228073917,0.6785714285714286,0.01197493397738883,0.006601203084359908,1.4107142857142858,18.053571428571427,1.0,0.9642857142857143,0.9642857142857143,0.06536629607487354,0.5,True,-0.03,False,0.4,False,0.0,False,0.0,1.0,20,5,6.23848471932242
f0.50_s1_-0.04_1_0.30_t0_0.00_0_0.00_h20_r5,57,1838253.8574397576,0.8382538574397576,-0.13516192509365665,0.6491228070175439,0.010951949675697945,0.0056321702996280365,1.3333333333333333,18.105263157894736,1.0,0.9649122807017544,0.9649122807017544,0.06082484192292603,0.5,True,-0.04,True,0.3,False,0.0,False,0.0,1.0,20,5,6.201849055190011
