exit_rule,holding_days,exit_day,realized_return,realized_drawdown,realized_runup,trade_date,config_key
hold_10d,10,10,0.017275237566872992,-0.00998859750968173,0.019322069030790257,2016-03-24,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.00957913127395571,-0.00998859750968173,0.032994863232580496,2016-03-24,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.030166346439322478,-0.00877127061894023,0.031805825052301895,2016-03-28,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.01123038847257618,-0.00877127061894023,0.03426504297177102,2016-03-28,ret-0.015_ma-0.010_risk1
hold_10d,10,10,-0.006228081025289267,-0.04263815344386135,-0.0006388125299656711,2016-05-20,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.025550941692907836,-0.04263815344386135,0.02786651527764894,2016-05-20,ret-0.015_ma-0.010_risk1
hold_10d,10,10,-0.005355248423482006,-0.04164333514716689,-0.0030372686691427786,2016-05-23,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.02757573389276291,-0.04164333514716689,0.030852830580433643,2016-05-23,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.025144457482451088,-0.024330721637277897,0.02856210829898309,2016-05-24,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.046301589456955394,-0.024330721637277897,0.05476436278036623,2016-05-24,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.03816914685073569,-0.020024519820187936,0.03914999952109732,2016-05-25,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.0593379449006437,-0.020024519820187936,0.07592972980307522,2016-05-25,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.05828113591706785,-0.00773791902883969,0.061656156843262755,2016-05-31,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.045851126879363324,-0.00773791902883969,0.0836351428236668,2016-05-31,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.007575183838300914,-0.014089823445138538,0.02302857736253583,2016-08-25,ret-0.015_ma-0.010_risk1
hold_15d,15,15,-0.010832457406466767,-0.014089823445138538,0.02302857736253583,2016-08-25,ret-0.015_ma-0.010_risk1
hold_10d,10,10,-0.036821964226031345,-0.04591289196786674,0.0009166930266424345,2016-10-03,ret-0.015_ma-0.010_risk1
hold_15d,15,15,-0.028342227338378545,-0.04591289196786674,0.0009166930266424345,2016-10-03,ret-0.015_ma-0.010_risk1
hold_10d,10,10,-0.027268201841850415,-0.03619386909527822,0.006632900409533349,2016-11-14,ret-0.015_ma-0.010_risk1
hold_15d,15,15,-0.04389123626683944,-0.05257120352016731,0.006632900409533349,2016-11-14,ret-0.015_ma-0.010_risk1
hold_10d,10,10,-0.043464012395322715,-0.04583331338720387,0.0043301052517361605,2016-11-15,ret-0.015_ma-0.010_risk1
hold_15d,15,15,-0.04003267973856206,-0.054738562091503296,0.0043301052517361605,2016-11-15,ret-0.015_ma-0.010_risk1
hold_10d,10,10,-0.04618276840975233,-0.051822807870571586,0.001307810653922381,2016-11-16,ret-0.015_ma-0.010_risk1
hold_15d,15,15,-0.04381230547351733,-0.054274990264009726,0.001307810653922381,2016-11-16,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.0074315847986423655,-0.023111513947019158,0.008084952563546244,2017-03-06,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.025234809648070566,-0.023111513947019158,0.027113067514801914,2017-03-06,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.025512304026713117,-0.015554295773027804,0.025512304026713117,2017-03-07,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.03308375775647798,-0.015554295773027804,0.03505882350577383,2017-03-07,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.033760900974865615,-0.010177946899565526,0.033926354985519325,2017-03-08,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.03715351627146246,-0.010177946899565526,0.04071158557871324,2017-03-08,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.03700931395247187,-0.0051564147673806016,0.03917163558682524,2017-03-09,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.035429120692755056,-0.0051564147673806016,0.0459912887849121,2017-03-09,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.039560258125804326,-0.003248024071245914,0.04064300059352588,2017-03-10,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.038810776673030345,-0.003248024071245914,0.04747230975096506,2017-03-10,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.044078508752382284,-0.004657331563733491,0.0459912887849121,2017-03-13,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.04025284716510891,-0.004657331563733491,0.0459912887849121,2017-03-13,ret-0.015_ma-0.010_risk1
hold_10d,10,10,-0.019708028628326324,-0.0313572546852382,0.002313813317458502,2017-05-01,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.005904334202068595,-0.0313572546852382,0.005904334202068595,2017-05-01,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.020546230062678417,-0.01019160211985326,0.027313493681206724,2017-05-04,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.023889155179881882,-0.01019160211985326,0.028617998847074944,2017-05-04,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.02277914862139685,-0.008817805680574886,0.028739345010276418,2017-05-05,ret-0.015_ma-0.010_risk1
hold_15d,15,15,0.034944419539142624,-0.008817805680574886,0.034944419539142624,2017-05-05,ret-0.015_ma-0.010_risk1
hold_10d,10,10,0.028890803014009814,-0.009222270772724084,0.028890803014009814,2017-05-08,ret-0.015_ma-0.010_risk1
