trade_date,year,future_ret_15d,hold_max_drawdown_15d,hold_max_runup_15d,label,ret_3d,ret_5d,ret_10d,close_vs_ma10,close_vs_ma20,pullback_depth_from_high,volume_ratio_1d_vs_20d,avg_volume_5d,avg_volume_20d,usd_ret_lb,oil_ret_lb,high_volatility_shock_flag,downtrend_break_flag
2016-03-24,2016,0.00957913127395571,-0.00998859750968173,0.032994863232580496,1,-0.018009345179851977,-0.034084599118969994,-0.039779855020391164,-0.016443593105055276,-0.019920144089446312,-0.046302747730685434,0.05655862519034153,332.8,229.85,0.014563077483198406,-0.026480555237715087,0,0
2016-03-28,2016,0.01123038847257618,-0.00877127061894023,0.03426504297177102,1,-0.022672590822682692,-0.027037823491670387,-0.030825397841391045,-0.014572588349119786,-0.0211277054521134,-0.04747398225648325,0.16607951685958733,231.0,198.7,0.010001101158031211,-0.0225728225231574,0,0
2016-05-24,2016,0.046301589456955394,-0.024330721637277897,0.05476436278036623,1,-0.020172163724112124,-0.037063100272319516,-0.027692063710676673,-0.026744890457297,-0.03171792924743444,-0.057881017009268065,0.10438413361169102,41.2,191.6,0.010787907034842226,-0.013595742401413924,0,0
2016-05-25,2016,0.0593379449006437,-0.020024519820187936,0.07592972980307522,1,-0.023075713710228873,-0.03941269772813305,-0.04009099055760357,-0.027084192901107862,-0.0349956977356235,-0.06202087005510659,0.030395136778115502,38.8,164.5,0.002839678564017678,0.01655428915264756,0,0
2016-05-26,2016,0.05933941960722788,-0.017293644789890705,0.0789279983239719,1,-0.024778195671757985,-0.02718862774159403,-0.039518280179944854,-0.025899384372044865,-0.035951342074886594,-0.06462745112718982,19.76229220352061,39980.6,10109.05,-0.0012593424853507562,0.01598030644030457,1,0
2016-05-27,2016,0.06277800964453983,-0.0121931522761215,0.08452790530449694,1,-0.012287391395518266,-0.030820803923248485,-0.04567967172789622,-0.026413051776335794,-0.0380637249056025,-0.06945720169442271,4.802227111084323,52719.6,13272.8,0.0022033269316112936,0.012315239308042791,1,0
2016-05-31,2016,0.045851126879363324,-0.00773791902883969,0.0836351428236668,1,-0.007110707945954253,-0.02901440929276,-0.04601851300646975,-0.021009409842809856,-0.0342135134645567,-0.06869056570754506,0.47347034921382725,53994.8,13584.8,0.0069305471957308296,0.027714585209451803,0,0
2016-08-25,2016,-0.010832457406466767,-0.014089823445138538,0.02302857736253583,0,-0.013156893345566245,-0.02301656062003621,-0.016685306826117352,-0.013650948241446748,-0.017014803539765366,-0.03360177482727855,0.07058966713320758,237.0,821.65,0.006478259953620835,-0.023973299967287587,0,0
2016-08-30,2016,0.011588071821309276,-0.007776131395569763,0.029579972762414863,1,-0.006363172918273929,-0.02155753016587303,-0.02873013611856723,-0.014737277281299144,-0.01930075641948714,-0.0397511338419656,1.8946519752754634,320.6,372.1,0.01597209775341213,-0.031825464005704074,1,0
2016-10-04,2016,-0.0011845533776834172,-0.01374083846096752,0.006159619724433352,0,-0.04191564227162914,-0.04495058035184496,-0.03608122410407899,-0.040667249394776284,-0.04137170750056984,-0.06234724263004443,1.8471896955503513,3943.8,1024.8,0.007124898237437227,0.1065912025465614,1,1
2016-10-05,2016,0.0021341079247485517,-0.012883281209989716,0.007034480522876141,1,-0.03662536805596739,-0.04107933321151591,-0.04649941375156219,-0.036999297065062,-0.03932820549874538,-0.06316182808450577,0.2373600926283288,1882.8,1036.4,0.007335187530165266,0.06510581378212787,0,1
2016-10-06,2016,0.020563250254288734,-0.0007201347246756917,0.025364018189628412,1,-0.04522532557056913,-0.0543995649542095,-0.06759174420751146,-0.042115310344414625,-0.04787657922296962,-0.07105691530485325,0.10955218143378821,684.0,1040.6,0.01172286723727689,0.06640935279448645,0,1
2016-10-07,2016,0.01809590451128429,0.0008007046044131716,0.02610295055541556,1,-0.01374083846096752,-0.049036794349872626,-0.06603345048018405,-0.036283090502817195,-0.0456103188413568,-0.06923537116815404,0.16136732550367613,544.2,1047.3,0.011104101914517717,0.05849977275881679,0,1
2016-10-11,2016,0.026656045023194297,-0.002474042766111295,0.030087750336691865,1,-0.009642706009097557,-0.04278074866310155,-0.06471594710146555,-0.026607117407059455,-0.039982840375646256,-0.0661797925150468,0.025006011060351045,489.6,1039.75,0.020365503375897598,0.06741347201946657,0,1
2016-11-14,2016,-0.04389123626683944,-0.05257120352016731,0.006632900409533349,0,-0.04099267491863501,-0.06299401103381463,-0.042571578853880854,-0.04452672943558733,-0.03985412487932283,-0.07386624163312416,1.4989590562109647,94.2,144.1,0.031317615381526,-0.02523039665819815,0,0
2016-11-15,2016,-0.04003267973856206,-0.054738562091503296,0.0043301052517361605,0,-0.03818951478728483,-0.04247832805600238,-0.03735745182854899,-0.038763593474802294,-0.03650118700662497,-0.07174274028323169,0.13981125480601186,91.4,143.05,0.024647204870078765,0.01733476079327856,0,0
2016-11-16,2016,-0.04381230547351733,-0.054274990264009726,0.001307810653922381,0,-0.03326746391618929,-0.03926495919693951,-0.04897387966755962,-0.034457709196929365,-0.035553793739820594,-0.07219774983658078,0.4526748971193415,94.6,145.8,0.026057664376185175,0.012814946586782394,0,0
2016-11-17,2016,-0.046937916634556154,-0.049732840115084276,-0.0022194419826345735,0,-0.003848633606122309,-0.04408296138785295,-0.06910012661011278,-0.03301193510617517,-0.03904640111013369,-0.07743059113933926,5.9384775808133465,300.8,191.8,0.024263953194400445,0.0028041645039627028,1,0
2016-11-18,2016,-0.03723624327678943,-0.04592470004137361,0.004385642389842737,0,-0.012663398692810413,-0.04504148557882259,-0.07188386248438261,-0.032170234800705355,-0.043208053108160005,-0.08349763205252081,3.01390268123138,409.6,201.4,0.024496387757042104,0.022251318812573917,1,0
2016-11-23,2016,-0.05155153310604221,-0.054831345143832255,0.004793603026842952,0,-0.01605297841461517,-0.028036658610132603,-0.0662007595507268,-0.028624189167881675,-0.051429143455573256,-0.09821022478212538,1.5266798418972332,418.6,202.4,0.012847258630462655,0.04975336996958801,0,1
2016-11-25,2016,-0.036411393754583354,-0.04608719148545548,0.014089372215419838,0,-0.025959015416524123,-0.03148380503750514,-0.07417886706354704,-0.030048602114018275,-0.056866615806967946,-0.10647658654147474,0.07401533174729051,193.6,189.15,0.0059470559792931255,0.016132501030805102,0,1
2016-11-30,2016,-0.03390849981764521,-0.040058099127178504,0.01358037383041144,0,-0.006280684646430168,-0.03319566570757637,-0.043464012395322715,-0.02316108395659322,-0.05272011605627813,-0.11208852532560953,0.5915140296583383,47903.8,12101.15,0.004552643312594862,0.027483760549148695,0,1
2016-12-15,2016,0.04938814396200075,-0.001152729891682358,0.04947679051423437,1,-0.030683241230661795,-0.03590357176175063,-0.03350756257424092,-0.030283192270376347,-0.04258611546973923,-0.08256731145236562,0.019678212831162546,412.8,12399.5,0.020381889431223987,0.0024123412430434588,0,1
2016-12-16,2016,0.04307222781697684,-0.007751297850474459,0.0472121670753598,1,-0.018500824109199066,-0.020786592270529924,-0.03386939629367891,-0.020482438501067124,-0.032885928498568306,-0.07322444993622446,0.01182200593529476,369.0,12349.85,0.013586661982517345,0.016197261618993153,0,1
2016-12-20,2016,0.05956696810787676,-0.002828061132898796,0.06433941566780832,1,0.0032806800954827686,-0.021786074380261256,-0.030918102381615298,-0.017863357392335355,-0.030087438642102282,-0.06780362952496366,0.0037297398101075953,234.4,12333.3,0.022369614604940358,-0.006640393727137095,0,1
2016-12-21,2016,0.05675897323658785,-0.002475401660549159,0.06471582956605415,1,-0.003699527051481133,-0.026005400820108937,-0.03736172290558515,-0.01445515675030229,-0.02709865273636125,-0.06813319320758893,0.004053555576273729,147.0,12334.85,0.009999967088886397,0.01038956480038089,0,1
2017-03-07,2017,0.03308375775647798,-0.015554295773027804,0.03505882350577383,1,-0.013637509940074621,-0.02993773010610057,-0.018101029829545423,-0.019685376695492085,-0.017362559027008673,-0.038001742481020395,0.14978098064151477,84.0,353.85,0.006823524458765329,0.0059362837821841374,0,0
2017-03-08,2017,0.03715351627146246,-0.010177946899565526,0.04071158557871324,1,-0.013871889024887785,-0.03234848556674241,-0.019074675324675328,-0.02315806490724659,-0.021683253347633324,-0.04322696274347504,0.08102633355840648,61.2,296.2,0.0028492917960845077,-0.04478413546950899,0,0
2017-03-09,2017,0.035429120692755056,-0.0051564147673806016,0.0459912887849121,1,-0.018048162993824057,-0.02394674844984379,-0.03823382548768073,-0.02431898109499475,-0.02523254541735076,-0.04805633152175226,0.13044244667724308,52.8,283.65,-0.003424642706186587,-0.05246919223441804,0,0
2017-03-10,2017,0.038810776673030345,-0.003248024071245914,0.04747230975096506,1,-0.011850896801408162,-0.020236677950326354,-0.04471324063215498,-0.02123501025320973,-0.025251600406108632,-0.0494022845540123,0.012523481527864746,29.2,239.55,-0.0028560263237401573,-0.08103761127621756,0,0
2017-05-04,2017,0.023889155179881882,-0.01019160211985326,0.028617998847074944,1,-0.021383585561321805,-0.029437328961972486,-0.04321711783989168,-0.026741787017933727,-0.03175512120602164,-0.05274949509767224,0.21605401350337583,95.2,333.25,-0.0032297102231574337,-0.05948673484226963,0,0
2017-05-05,2017,0.034944419539142624,-0.008817805680574886,0.034944419539142624,1,-0.024141444783047805,-0.03261979903182555,-0.048625116046916994,-0.023238714417393225,-0.03212292629446267,-0.05406240142124985,0.04914004914004914,81.4,325.6,-0.004038379743107057,-0.05084092579525157,0,0
