symbol,signal_date,entry_date,exit_date,entry_layers,layer_entry_dates,layer_entry_prices,layer_weights,total_weight,weighted_entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_calendar_days,hold_trading_days,ret_5d,close_vs_ma20
518800.SH,2016-03-24,2016-03-25,2016-03-30,1,2016-03-25,2.5380,0.50,0.5,2.5380001068115234,2.559999942779541,fail_to_rebound_d3,0.0043340888577928505,1000000.0,1004334.0888577928,5,4,-0.0340845991189699,-0.0199201440894463
518800.SH,2016-05-24,2016-05-25,2016-05-30,1,2016-05-25,2.5790,0.50,0.5,2.5789999961853027,2.5339999198913574,fail_to_rebound_d3,-0.00872432655302574,1004334.0888577928,995571.9502982618,5,4,-0.0370631002723195,-0.0317179292474344
518800.SH,2016-05-31,2016-06-01,2016-06-06,1,2016-06-01,2.5550,0.50,0.5,2.555000066757202,2.6040000915527344,fail_to_rebound_d3,0.009589045697701915,995571.9502982618,1005118.5352250221,5,4,-0.02901440929276,-0.0342135134645567
518800.SH,2016-08-25,2016-08-26,2016-09-27,2,2016-08-26|2016-11-15,2.8240|2.7100,0.50|0.35,0.85,2.7770587696748623,2.8540000915527344,time_exit,0.02355014028163621,1005118.5352250221,1028789.2177292441,32,21,-0.0230165606200362,-0.0170148035397653
518800.SH,2016-10-11,2016-10-12,2016-10-17,1,2016-10-12,2.7090,0.50,0.5,2.7090001106262207,2.7049999237060547,fail_to_rebound_d3,-0.000738314277743124,1028789.2177292441,1028029.6479610065,5,4,-0.0427807486631015,-0.0399828403756462
518800.SH,2016-11-14,2016-11-15,2016-12-13,1,2016-11-15,2.7100,0.50,0.5,2.7100000381469727,2.627000093460083,time_exit,-0.015313642715599873,1028029.6479610065,1012286.7692310878,28,21,-0.0629940110338146,-0.0398541248793228
518800.SH,2016-12-15,2016-12-16,2016-12-21,1,2016-12-16,2.6040,0.50,0.5,2.6040000915527344,2.578000068664551,fail_to_rebound_d3,-0.004992323727738446,1012286.7692310878,1007233.1059737797,5,4,-0.0359035717617506,-0.0425861154697392
518800.SH,2016-12-21,2016-12-22,2017-01-20,1,2016-12-22,2.5850,0.50,0.5,2.5850000381469727,2.6689999103546143,time_exit,0.01624755724720528,1007233.1059737797,1023598.1835243689,29,21,-0.0260054008201089,-0.0270986527363612
518800.SH,2017-03-07,2017-03-08,2017-04-07,2,2017-03-08|2018-08-17,2.7380|2.5840,0.50|0.35,0.85,2.67458823147942,2.7880001068115234,time_exit,0.03604296650141373,1023598.1835243689,1060491.6985640456,30,21,-0.0299377301061005,-0.0173625590270086
518800.SH,2017-05-04,2017-05-05,2017-06-06,2,2017-05-05|2018-08-17,2.7400|2.5840,0.50|0.35,0.85,2.675764757044175,2.799999952316284,time_exit,0.03946532134534336,1060491.6985640456,1102344.3442319445,32,21,-0.0294373289619724,-0.0317551212060216
518800.SH,2017-06-21,2017-06-22,2017-07-20,2,2017-06-22|2018-08-17,2.7550|2.5840,0.50|0.35,0.85,2.6845883481642776,2.696000099182129,time_exit,0.003613212570115787,1102344.3442319445,1106327.3486731194,28,21,-0.023098698370676,-0.0171450125954331
518800.SH,2017-09-21,2017-09-22,2017-10-27,2,2017-09-22|2018-08-17,2.7400|2.5840,0.50|0.35,0.85,2.675764757044175,2.719000101089477,time_exit,0.013734407085585232,1106327.3486731194,1121522.0988497122,35,21,-0.0257416598798629,-0.020692491410434
518800.SH,2017-12-08,2017-12-11,2017-12-14,1,2017-12-11,2.6520,0.50,0.5,2.6519999504089355,2.6679999828338623,fail_to_rebound_d3,0.003016597421591105,1121522.0988497122,1124905.2795213596,3,4,-0.0262747078302355,-0.0245660622299546
518800.SH,2018-02-07,2018-02-08,2018-03-15,1,2018-02-08,2.6600,0.50,0.5,2.6600000858306885,2.681999921798706,time_exit,0.004135307379350528,1124905.2795213596,1129557.1086248348,35,21,-0.0204630503465739,-0.0165704614336527
518800.SH,2018-04-26,2018-04-27,2018-05-04,1,2018-04-27,2.6740,0.50,0.5,2.674000024795532,2.6670000553131104,fail_to_rebound_d3,-0.0013088948050695715,1129557.1086248348,1128078.6371933264,7,4,-0.0226462718252339,-0.015058804792699
518800.SH,2018-05-17,2018-05-18,2018-06-15,1,2018-05-18,2.6250,0.50,0.5,2.625,2.6600000858306885,time_exit,0.0066666830153692125,1128078.6371933264,1135599.179883904,28,21,-0.0246820839272184,-0.0186451656643193
518800.SH,2018-06-21,2018-06-22,2018-07-20,1,2018-06-22,2.6270,0.50,0.5,2.627000093460083,2.631999969482422,time_exit,0.0009516322505632724,1135599.179883904,1136679.8526871947,28,21,-0.0282208963405866,-0.0194341420376513
518800.SH,2018-08-15,2018-08-16,2018-08-21,1,2018-08-16,2.6000,0.50,0.5,2.5999999046325684,2.5999999046325684,fail_to_rebound_d3,0.0,1136679.8526871947,1136679.8526871947,5,4,-0.0289460467529507,-0.0301617642274937
518800.SH,2018-11-12,2018-11-13,2018-12-11,1,2018-11-13,2.6760,0.50,0.5,2.6760001182556152,2.746000051498413,time_exit,0.013079209669173752,1136679.8526871947,1151546.7268072162,28,21,-0.0231744989985629,-0.0186860237717689
518800.SH,2019-03-01,2019-03-04,2019-03-07,1,2019-03-04,2.7790,0.50,0.5,2.7790000438690186,2.7669999599456787,fail_to_rebound_d3,-0.002159065083466638,1151546.7268072162,1149060.4624773865,3,4,-0.0246764429451676,-0.0158993861040442
518800.SH,2019-03-07,2019-03-08,2019-04-08,1,2019-03-08,2.7550,0.50,0.5,2.755000114440918,2.7769999504089355,time_exit,0.003992710536144917,1149060.4624773865,1153648.3282925873,31,21,-0.0220901880875818,-0.0210275147437224
518800.SH,2019-04-16,2019-04-17,2019-04-22,1,2019-04-17,2.7500,0.50,0.5,2.75,2.742000102996826,fail_to_rebound_d3,-0.001454526727849792,1153648.3282925873,1151970.3159645465,5,4,-0.0237054272451572,-0.0189299113864139
518800.SH,2019-09-10,2019-09-11,2019-10-17,1,2019-09-11,3.3680,0.50,0.5,3.368000030517578,3.3329999446868896,time_exit,-0.005195974690254068,1151970.3159645465,1145984.7073588707,36,21,-0.0359660875269158,-0.0177526584668639
518800.SH,2019-11-07,2019-11-08,2019-11-13,1,2019-11-08,3.2370,0.50,0.5,3.236999988555908,3.2260000705718994,fail_to_rebound_d3,-0.0016990914462307605,1145984.7073588707,1144037.574545086,5,4,-0.0312293717611166,-0.0175033905815117
518800.SH,2020-02-28,2020-03-02,2020-03-30,2,2020-03-02|2020-03-18,3.5180|3.3300,0.50|0.35,0.85,3.4405881376827465,3.575999975204468,time_exit,0.033453600747163005,1144037.574545086,1182309.75080367,28,21,-0.0489480732062637,-0.0193607551390274
