config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,cagr,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,total_hold_trading_days,return_per_hold_day,partial_exit_ratio,anchor_return_threshold,anchor_window_end_day,trailing_drawdown,trailing_start_offset,unmet_exit_day,beats_live_return_drawdown_ratio
p0.70_thr0.010_win15_dd0.012_off2_unmet60,52,2416391.5530072446,1.4163915530072444,-0.14271275123632388,9.924772248709463,0.08933620567766898,0.75,0.017403811410423305,0.016211487499597534,27.557692307692307,24.0,1433.0,0.0006315409583684661,0.7,0.01,15,0.012,2,60,True
p0.70_thr0.010_win15_dd0.015_off2_unmet60,53,2403267.7350350088,1.403267735035009,-0.14271275123632376,9.83281257545993,0.08876098818108158,0.7358490566037735,0.016974868537500014,0.01472866576251255,28.754716981132077,24.0,1524.0,0.0005903333546505911,0.7,0.01,15,0.015,2,60,True
p0.70_thr0.010_win15_dd0.010_off2_unmet60,55,2402245.144483746,1.402245144483746,-0.14271275123632388,9.825647199259098,0.0887160489611869,0.7090909090909091,0.016363167140604644,0.01461791862085109,25.381818181818183,22.0,1396.0,0.0006446806538203835,0.7,0.01,15,0.01,2,60,True
p0.50_thr0.015_win15_dd0.015_off0_unmet60,49,2401190.244041941,1.401190244041941,-0.14271275123632365,9.81825542499461,0.0886696717310278,0.6530612244897959,0.01851976284103816,0.015277052530636704,31.918367346938776,25.0,1564.0,0.000580222748856055,0.5,0.015,15,0.015,0,60,True
p0.70_thr0.010_win15_dd0.008_off2_unmet60,55,2399492.7386901127,1.3994927386901126,-0.14271275123632365,9.806360865208447,0.0885950046320998,0.7090909090909091,0.016338663225206034,0.01483939970270286,24.818181818181817,22.0,1365.0,0.0006583344156676425,0.7,0.01,15,0.008,2,60,True
p0.60_thr0.015_win15_dd0.015_off0_unmet60,49,2390609.0057420963,1.3906090057420966,-0.14271275123632376,9.744111816885454,0.0882034617064189,0.6530612244897959,0.018424182170729587,0.016220641055331286,31.918367346938776,25.0,1564.0,0.0005772282137888426,0.6,0.015,15,0.015,0,60,True
p0.60_thr0.010_win15_dd0.010_off2_unmet60,55,2388245.916824959,1.388245916824959,-0.14271275123632376,9.7275534582478,0.0880990893635778,0.7090909090909091,0.016256665339228572,0.014138036342770022,25.381818181818183,22.0,1396.0,0.000640484665943819,0.6,0.01,15,0.01,2,60,True
p0.60_thr0.010_win15_dd0.008_off2_unmet60,55,2384594.9280997715,1.3845949280997716,-0.14271275123632376,9.701970679599368,0.08793764988153607,0.7090909090909091,0.016223993452030433,0.014433344451905717,24.818181818181817,22.0,1365.0,0.0006537140218766841,0.6,0.01,15,0.008,2,60,True
p0.70_thr0.015_win15_dd0.015_off2_unmet60,46,2382908.590080409,1.382908590080409,-0.14271275123632376,9.690154370231397,0.08786300798942137,0.6956521739130435,0.019522310637230925,0.016838580191874255,34.34782608695652,26.5,1580.0,0.0005683710691852041,0.7,0.015,15,0.015,2,60,True
p0.70_thr0.010_win15_dd0.015_off0_unmet60,57,2380524.3859534566,1.3805243859534566,-0.14271275123632376,9.673448055579778,0.08775739521674297,0.6842105263157895,0.015637009851363487,0.012911916444237604,25.719298245614034,22.0,1466.0,0.0006079874225973524,0.7,0.01,15,0.015,0,60,True
p0.70_thr0.015_win15_dd0.015_off0_unmet60,49,2379993.5854608407,1.379993585460841,-0.14271275123632376,9.669728692817744,0.08773386941879546,0.6530612244897959,0.018328601500421014,0.0163461617816838,31.918367346938776,25.0,1564.0,0.0005742336787216302,0.7,0.015,15,0.015,0,60,True
p0.60_thr0.010_win15_dd0.015_off0_unmet60,57,2377098.1762009575,1.3770981762009575,-0.14271275123632388,9.64944032170303,0.08760545747986637,0.6666666666666666,0.015616335186330021,0.013393702073915348,25.719298245614034,22.0,1466.0,0.0006071835645435274,0.6,0.01,15,0.015,0,60,True
p0.70_thr0.010_win15_dd0.012_off0_unmet60,56,2376077.5570993926,1.3760775570993928,-0.14271275123632376,9.642288759612594,0.08756015916292226,0.6964285714285714,0.015877683961758707,0.01301704300509765,24.642857142857142,21.0,1380.0,0.000644311812940933,0.7,0.01,15,0.012,0,60,True
