symbol,policy_name,sample_count,years_covered,events_per_year,win_rate,avg_return,median_return,avg_hold_calendar_days,terminal_capital,total_return,max_drawdown,cagr
518800.SH,time_or_fail_to_rebound,36,6,6.0,0.6111111111111112,0.015363380721539635,0.010757784793267278,18.22222222222222,1693268.1250489617,0.6932681250489616,-0.18959111827615427,0.10526449599578447
518880.SH,time_or_fail_to_rebound,37,6,6.166666666666667,0.6756756756756757,0.013209289039760947,0.0143603310320648,17.91891891891892,1595084.1264688226,0.5950841264688227,-0.19022042532712102,0.09278888274879882
518800.SH,hold_15d_baseline,30,6,5.0,0.7333333333333333,0.016091389576523323,0.01402522848478771,22.833333333333332,1589104.3157773898,0.5891043157773899,-0.1895911182761545,0.09241098561353822
159934.SZ,hold_15d_baseline,30,6,5.0,0.7666666666666667,0.01596157197237274,0.016499072800136627,22.833333333333332,1583569.1260388708,0.5835691260388707,-0.18670302514955928,0.09168383003034242
159937.SZ,hold_15d_baseline,30,6,5.0,0.7666666666666667,0.015890971668290337,0.016578379538774612,22.833333333333332,1580329.035282005,0.5803290352820052,-0.18779609463787084,0.09125722583160933
518880.SH,hold_15d_baseline,30,6,5.0,0.7333333333333333,0.01579696709587385,0.017109641246284668,22.833333333333332,1575677.520716955,0.5756775207169549,-0.19022042532712102,0.09064354850320289
159934.SZ,time_or_fail_to_rebound,36,6,6.0,0.6666666666666666,0.012888051397137291,0.013876649600970126,18.22222222222222,1555940.5734500396,0.5559405734500396,-0.18670302514955928,0.0876412330685108
159937.SZ,time_or_fail_to_rebound,36,6,6.0,0.6388888888888888,0.012599682966151413,0.010419837347615424,17.833333333333332,1539131.1969122875,0.5391311969122874,-0.18779609463787084,0.08539843851062523
518880.SH,time_or_break_ma10,67,6,11.166666666666666,0.5671641791044776,0.0020160911139930596,0.0017447054816377427,1.7462686567164178,1137728.2595522618,0.13772825955226176,-0.07359825846041246,0.02510182376109915
159934.SZ,time_or_break_ma10,67,6,11.166666666666666,0.5522388059701493,0.0018328519092338112,0.0008384369150298276,1.7462686567164178,1123626.9166629598,0.12362691666295977,-0.0764749895151815,0.022648345618509147
159937.SZ,time_or_break_ma10,67,6,11.166666666666666,0.5373134328358209,0.0016237035220307275,0.00041670270540183907,1.7462686567164178,1107888.035732892,0.10788803573289218,-0.07410856672970512,0.01988040180810402
518800.SH,time_or_break_ma10,67,6,11.166666666666666,0.5522388059701493,0.0012676637591955706,0.0012655313774478927,1.6865671641791045,1081911.7123981128,0.08191171239811279,-0.07570669563913401,0.015241753036994599
