trade_date,policy_name,selected_flag,future_ret_15d,hold_max_drawdown_15d,hold_max_runup_15d,symbol
2021-01-08,rule_baseline,1,-0.025786463148929,-0.0420320025605097,-0.0128932315744645,518880.SH
2021-01-11,rule_baseline,1,0.011384692453916,-0.0100608601778854,0.013502811470806,518880.SH
2021-01-12,rule_baseline,1,-0.0042050018775854,-0.0173455935829875,0.0060446784504133,518880.SH
2021-01-14,rule_baseline,1,-0.0129904623089119,-0.0193531790038692,0.0148462336091179,518880.SH
2021-02-04,rule_baseline,1,-0.0561375524690571,-0.0590921369002921,0.0104754321280653,518880.SH
2021-02-18,rule_baseline,1,-0.021095928529297,-0.0512328853023767,0.02109586320914,518880.SH
2021-02-19,rule_baseline,1,-0.0302697115049952,-0.0470555863656854,0.0255916162738982,518880.SH
2021-02-26,rule_baseline,1,-0.0066426598354759,-0.0415167064580883,0.0005535824817441,518880.SH
2021-03-01,rule_baseline,1,-0.0069541293931773,-0.0367176546403119,0.0055632769867446,518880.SH
2021-03-02,rule_baseline,1,0.0138574730233356,-0.0206447833563334,0.0223416277961001,518880.SH
2021-03-03,rule_baseline,1,0.0081713281674855,-0.0242321682352423,0.0185967833981668,518880.SH
2021-03-04,rule_baseline,1,0.0213432125743888,-0.0145133411277348,0.0287421947427957,518880.SH
2021-03-08,rule_baseline,1,0.017050281861028,-0.0107985524963962,0.0272804645280044,518880.SH
2021-03-30,rule_baseline,1,0.0387443674790857,-0.0158371023943738,0.0395927896989689,518880.SH
2021-06-17,rule_baseline,1,0.000818113153963,-0.0239978341424632,0.0035451353280608,518880.SH
2021-06-18,rule_baseline,1,0.0151724322088833,-0.012689656224744,0.0195862342571389,518880.SH
2021-06-21,rule_baseline,1,0.0126791630509035,-0.0135060707034629,0.0187431305975875,518880.SH
2021-06-22,rule_baseline,1,0.0131831525484038,-0.0170282987331729,0.0151057583815981,518880.SH
2021-06-23,rule_baseline,1,0.0128943570868009,-0.0181069917932988,0.0150891816310028,518880.SH
2021-08-06,rule_baseline,1,0.005186954527206,-0.0333060916954053,0.0068249675729914,518880.SH
2021-08-09,rule_baseline,1,0.0344730672208739,-0.0075673173306447,0.0395179454413039,518880.SH
2021-08-10,rule_baseline,1,0.0388513540725274,-0.0030968908391958,0.0442004681380958,518880.SH
2021-08-11,rule_baseline,1,0.0400225355277608,0.0064825257262577,0.0453776800838039,518880.SH
2021-08-12,rule_baseline,1,0.0298883002273366,0.0011173706719034,0.0360335725333267,518880.SH
2021-09-16,rule_baseline,1,-0.0132304567246952,-0.023704510796688,0.0046857662203327,518880.SH
2021-09-17,rule_baseline,1,0.0005568188908227,-0.0139198085217384,0.014755003670531,518880.SH
2021-09-28,rule_baseline,1,0.0165637323578118,-0.0056148177212338,0.0233015002365108,518880.SH
2021-09-29,rule_baseline,1,0.0104020748114217,-0.0042169993858224,0.0247399665624135,518880.SH
2021-11-23,rule_baseline,1,-0.0121145128646255,-0.0198237960649381,-0.0002753104430489,518880.SH
2021-11-24,rule_baseline,1,-0.016883440829562,-0.0174370233113061,0.0049820443684249,518880.SH
2021-11-26,rule_baseline,1,0.0002756139787676,-0.0214994675340336,0.0011025216313271,518880.SH
2021-11-29,rule_baseline,1,0.0027670144538787,-0.017708945281486,0.0049805996286502,518880.SH
2022-01-28,rule_baseline,1,0.0592653908508962,0.005008315793028,0.0756816439391763,518880.SH
2022-03-16,rule_baseline,1,0.0147523693945412,0.0057955938789484,0.032402504324634,518880.SH
2022-04-25,rule_baseline,1,-0.0188583383525385,-0.0229357577983199,0.0079000761250345,518880.SH
2022-04-26,rule_baseline,1,-0.0046272815937246,-0.014395885030274,0.0167094645370147,518880.SH
2022-04-27,rule_baseline,1,-0.0043679239775521,-0.0149023252611409,0.0161870412149889,518880.SH
2022-04-28,rule_baseline,1,-0.0020565900272514,-0.014395885030274,0.0167094645370147,518880.SH
2022-05-12,rule_baseline,1,-0.0129836762178557,-0.0239307187652539,-0.0025458224366694,518880.SH
2022-05-13,rule_baseline,1,-0.0048868449973858,-0.013888863338201,0.0077160420014061,518880.SH
2022-05-16,rule_baseline,1,0.0007790238706459,-0.0044144273264461,0.0173980553191765,518880.SH
2022-06-14,rule_baseline,1,-0.0150454182752447,-0.0197146497609443,0.0057068934572623,518880.SH
2022-07-05,rule_baseline,1,-0.0339741772015824,-0.0529365232655597,-0.0168553838394772,518880.SH
2022-07-06,rule_baseline,1,-0.017718117162669,-0.0346308595447631,-0.0088590585813345,518880.SH
2022-07-07,rule_baseline,1,0.0057127061402899,-0.0217628290400045,0.0059847212351171,518880.SH
2022-07-08,rule_baseline,1,0.021804351070944,-0.0198964175544439,0.0228945523790164,518880.SH
2022-07-11,rule_baseline,1,0.0201690166178858,-0.0198964175544439,0.0228945523790164,518880.SH
2022-07-12,rule_baseline,1,0.0286259595324109,-0.0196292331079168,0.0335332353095836,518880.SH
2022-07-15,rule_baseline,1,0.0463832092233629,-0.0071783608610689,0.0474875572423461,518880.SH
2022-07-20,rule_baseline,1,0.0457552062882571,-0.00882030448313,0.0496141305722868,518880.SH
2022-08-22,rule_baseline,1,0.0090593977354873,-0.0095923296430017,0.0127897940331573,518880.SH
2022-08-31,rule_baseline,1,-0.0013304619902534,-0.0109100294032671,0.00904740799409,518880.SH
2022-09-01,rule_baseline,1,0.0107238503079052,-0.0034852577419881,0.0166219935449287,518880.SH
2022-09-06,rule_baseline,1,-0.0087209284009586,-0.0153276560643065,0.0021142007376107,518880.SH
2022-09-15,rule_baseline,1,0.0194978512397956,-0.0048076623045321,0.0245726518858184,518880.SH
2022-09-16,rule_baseline,1,0.0228004398720547,0.0002682848603239,0.0289699684037818,518880.SH
2022-09-19,rule_baseline,1,0.0136327503645268,-0.0032076572324669,0.0253942876793931,518880.SH
2022-09-20,rule_baseline,1,0.0127863873024132,-0.0066595251176897,0.0218433719475323,518880.SH
2022-09-26,rule_baseline,1,0.0224839054698429,-0.0016060069228177,0.0267665693251784,518880.SH
2022-10-14,rule_baseline,1,-0.0023603627138849,-0.0123262344039201,0.0055075129990649,518880.SH
2022-10-19,rule_baseline,1,0.0400738073020954,-0.0071183629135592,0.0506195394492234,518880.SH
2022-10-20,rule_baseline,1,0.0397350604395818,-0.0023841225735462,0.0556290846154148,518880.SH
2022-11-03,rule_baseline,1,0.0373193055070555,-0.0010512348045753,0.0473061301394475,518880.SH
2023-02-03,rule_baseline,1,-0.0122820411487851,-0.0211250803220518,-0.009825586066938,518880.SH
2023-02-06,rule_baseline,1,-0.0019910146223331,-0.0082130984955894,0.0032354432645091,518880.SH
