trade_date,policy_name,selected_flag
2022-09-06,time_or_break_ma10,1
2022-09-15,time_or_break_ma10,1
2022-09-16,time_or_break_ma10,1
2022-09-19,time_or_break_ma10,1
2022-09-20,time_or_break_ma10,1
2022-09-26,time_or_break_ma10,1
2022-10-14,time_or_break_ma10,1
2022-10-19,time_or_break_ma10,1
2022-10-20,time_or_break_ma10,1
2022-11-03,time_or_break_ma10,1
2023-02-03,time_or_break_ma10,1
2023-02-06,time_or_break_ma10,1
2023-02-07,time_or_break_ma10,1
2023-02-08,time_or_break_ma10,1
2023-02-09,time_or_break_ma10,1
2023-02-15,time_or_break_ma10,1
2023-05-18,time_or_break_ma10,1
2023-06-22,time_or_break_ma10,1
2023-09-27,time_or_break_ma10,1
2023-09-28,time_or_break_ma10,1
2023-09-29,time_or_break_ma10,1
2023-10-02,time_or_break_ma10,1
2023-10-03,time_or_break_ma10,1
2023-10-04,time_or_break_ma10,1
2023-10-05,time_or_break_ma10,1
2023-11-10,time_or_break_ma10,1
2024-02-13,time_or_break_ma10,1
2024-02-14,time_or_break_ma10,1
2024-06-13,time_or_break_ma10,1
2024-11-06,time_or_break_ma10,1
2024-11-11,time_or_break_ma10,1
2024-11-12,time_or_break_ma10,1
2024-11-13,time_or_break_ma10,1
2024-11-14,time_or_break_ma10,1
2024-11-15,time_or_break_ma10,1
2024-12-19,time_or_break_ma10,1
2025-02-28,time_or_break_ma10,1
2025-04-07,time_or_break_ma10,1
2025-04-08,time_or_break_ma10,1
2025-05-12,time_or_break_ma10,1
2025-05-13,time_or_break_ma10,1
2025-05-14,time_or_break_ma10,1
2025-05-15,time_or_break_ma10,1
2025-05-16,time_or_break_ma10,1
2025-06-27,time_or_break_ma10,1
2025-06-30,time_or_break_ma10,1
2025-10-28,time_or_break_ma10,1
2025-10-30,time_or_break_ma10,1
2025-10-31,time_or_break_ma10,1
2026-02-02,time_or_break_ma10,1
2026-02-17,time_or_break_ma10,1
2026-03-17,time_or_break_ma10,1
2026-03-18,time_or_break_ma10,1
2026-03-19,time_or_break_ma10,1
2026-03-20,time_or_break_ma10,1
2026-03-23,time_or_break_ma10,1
2026-03-24,time_or_break_ma10,1
2026-03-25,time_or_break_ma10,1
2026-03-26,time_or_break_ma10,1
2021-01-08,time_or_fail_to_rebound,1
2021-01-11,time_or_fail_to_rebound,1
2021-01-12,time_or_fail_to_rebound,1
2021-01-14,time_or_fail_to_rebound,1
2021-02-04,time_or_fail_to_rebound,1
