"split_name","week_start","week_end","spot_weekly_return","spot_first_close","spot_last_close","next_week_return","next_week_positive_label","volume_source","volume_total","weekly_volume_ratio_4w","weekly_volume_ratio_13w","weekly_volume_ratio_26w","weekly_volume_ratio_52w","weekly_up_day_volume_share","weekly_down_day_volume_share"
"train","2020-09-28","2020-10-02","-0.006694811154740465","23185.12","23029.9","0.025609750802217945","1","NK225_VOL.YFINANCE","317800000","1.0","1.0","1.0","1.0","0.19288860918816866","0.5490874764002517"
"train","2020-10-05","2020-10-09","0.013192697023953981","23312.14","23619.69","-0.0088510899169294","0","NK225_VOL.YFINANCE","281700000","0.8864065449968533","0.8864065449968533","0.8864065449968533","0.8864065449968533","0.40468583599574015","0.3840965566205183"
"train","2020-10-12","2020-10-16","-0.006284729753649243","23558.69","23410.63","0.004526149018629466","1","NK225_VOL.YFINANCE","242500000","0.8090075062552127","0.8090075062552127","0.8090075062552127","0.8090075062552127","0.417319587628866","0.3975257731958763"
"train","2020-10-19","2020-10-23","-0.0065286279108771605","23671.13","23516.59","-0.02293955033446593","0","NK225_VOL.YFINANCE","242400000","0.8636579572446555","0.8636579572446555","0.8636579572446555","0.8636579572446555","0.4228547854785479","0.38613861386138615"
"train","2020-10-26","2020-10-30","-0.022014238322932256","23494.34","22977.13","0.058671383240639585","1","NK225_VOL.YFINANCE","295700000","1.0907414238288455","1.0907414238288455","1.0907414238288455","1.0907414238288455","0.0","0.8589786946229286"
"train","2020-11-02","2020-11-06","0.044203854138227694","23295.48","24325.23","0.04360246542375967","1","NK225_VOL.YFINANCE","303100000","1.1412971853525369","1.098108832693283","1.098108832693283","1.098108832693283","0.7700428901352689","0.0"
"train","2020-11-09","2020-11-13","0.021982025649118553","24839.84","25385.87","0.005573966935149333","1","NK225_VOL.YFINANCE","455800000","1.6823844237335055","1.6247623574144487","1.6247623574144487","1.6247623574144487","0.6827555945590171","0.17025010969723564"
"train","2020-11-16","2020-11-20","-0.014650906147505749","25906.93","25527.37","0.04377027480700124","1","NK225_VOL.YFINANCE","384300000","1.1851966075558982","1.2576437587657783","1.2576437587657783","1.2576437587657783","0.2206609419724174","0.5584179026801978"
"train","2020-11-23","2020-11-27","0.01831107190779946","26165.59","26644.71","0.003998166990746066","1","NK225_VOL.YFINANCE","323900000","0.9004100354437418","1.0269092061982326","1.0269092061982326","1.0269092061982326","0.7477616548317382","0.0"
"train","2020-11-30","2020-12-04","0.012015758719388536","26433.62","26751.24","-0.0036902962255207505","0","NK225_VOL.YFINANCE","432200000","1.1783791152614","1.3661843214386062","1.3661843214386062","1.3661843214386062","0.515733456732994","0.14252660805182785"
"train","2020-12-07","2020-12-11","0.00395819709923062","26547.44","26652.52","0.004159831790764956","1","NK225_VOL.YFINANCE","322600000","0.8084199974940484","0.9837165335122279","0.9837165335122279","0.9837165335122279","0.19156850588964663","0.6174829510229386"
"train","2020-12-14","2020-12-18","0.0011577693618689544","26732.44","26763.39","-0.003989778574388314","0","NK225_VOL.YFINANCE","315900000","0.8637047163362953","0.9647140477512494","0.9647140477512494","0.9647140477512494","0.3887306109528332","0.42133586578031024"
"train","2020-12-21","2020-12-25","-0.002163999817327067","26714.42","26656.61","0.029544642023122902","1","NK225_VOL.YFINANCE","256600000","0.735981643482002","0.7859312386737792","0.7859312386737792","0.7859312386737792","0.4049103663289166","0.35853468433359315"
"train","2020-12-28","2020-12-30","0.02197584496628613","26854.03","27444.17","0.025319038615487344","1","NK225_VOL.YFINANCE","160700000","0.4842914186694794","0.5004431668463288","0.5004431668463288","0.5004431668463288","0.36963285625388925","0.3148724331051649"
"train","2021-01-04","2021-01-08","0.0323074958966747","27258.38","28139.03","0.013509705203057942","1","NK225_VOL.YFINANCE","363000000","1.375260465997348","1.1746403146313538","1.1722642553976748","1.1722642553976748","0.50633608815427","0.3517906336088154"
"train","2021-01-11","2021-01-15","0.012598910537225505","28164.34","28519.18","0.00393664894993484","1","NK225_VOL.YFINANCE","305700000","1.1154898741105637","0.9696001171103034","0.9760120897364949","0.9760120897364949","0.4998364409551848","0.2423945044160942"
"train","2021-01-18","2021-01-22","0.013782207553870718","28242.21","28631.45","-0.03381107139177375","0","NK225_VOL.YFINANCE","314500000","1.1583793738489871","0.9823638242149019","1.0056156198165431","1.0056156198165431","0.40031796502384737","0.4346581875993641"
"train","2021-01-25","2021-01-29","-0.04020846365781494","28822.29","27663.39","0.04033489749448638","1","NK225_VOL.YFINANCE","405400000","1.4176064341288575","1.244733112895607","1.2958408543922983","1.2958408543922983","0.1702022693635915","0.6884558460779477"
"train","2021-02-01","2021-02-05","0.024496770323644057","28091.05","28779.19","0.02574360153986266","1","NK225_VOL.YFINANCE","391500000","1.1277545729511738","1.1716969403964363","1.2311750934693735","1.2311750934693735","0.6250319284802044","0.20715197956577266"
"train","2021-02-08","2021-02-12","0.004476921244704446","29388.5","29520.07","0.016864797407323273","1","NK225_VOL.YFINANCE","341400000","0.9636581751464258","1.0013763227364003","1.060716563373833","1.060716563373833","0.492091388400703","0.23374340949033393"
"train","2021-02-15","2021-02-19","-0.0022014914830568166","30084.15","30017.92","-0.03504273447327466","0","NK225_VOL.YFINANCE","368000000","1.013215859030837","1.1079973133844407","1.1399011879133303","1.1399011879133303","0.22092391304347825","0.5880434782608696"
"train","2021-02-22","2021-02-26","-0.039462090998052424","30156.03","28966.01","-0.003510666467352541","0","NK225_VOL.YFINANCE","305100000","0.8101971718781119","0.9220951318175478","0.9388104971647105","0.9388104971647105","0.22976073418551296","0.5644051130776795"
"train","2021-03-01","2021-03-05","-0.026941527466414983","29663.5","28864.32","0.029569724836753464","1","NK225_VOL.YFINANCE","362600000","1.0315789473684212","1.1006864988558354","1.1188532637661646","1.1188532637661646","0.1897407611693326","0.6373414230557087"
"train","2021-03-08","2021-03-12","0.03390639541457574","28743.25","29717.83","0.002497490563745597","1","NK225_VOL.YFINANCE","447200000","1.2989615859414712","1.37991929741277","1.372804441834392","1.372804441834392","0.7933810375670841","0.0"
"train","2021-03-15","2021-03-19","0.0008425446056483654","29766.97","29792.05","-0.02065483912654542","0","NK225_VOL.YFINANCE","476400000","1.2850495650414728","1.4277941718922909","1.4400725477354022","1.4400725477354022","0.37615449202350965","0.4263224181360202"
"train","2021-03-22","2021-03-26","8.740614550895032e-05","29174.15","29176.7","0.02321372876301986","1","NK225_VOL.YFINANCE","400500000","1.0067240620876012","1.1574887174584825","1.1896981939163498","1.1896981939163498","0.365792759051186","0.43745318352059925"
"train","2021-03-29","2021-04-02","0.015977119925729477","29384.52","29854.0","-0.0028786762242914987","0","NK225_VOL.YFINANCE","402600000","0.9547637398470386","1.1274881516587678","1.1872738615096694","1.1872738615096694","0.5283159463487332","0.20367610531544958"
"train","2021-04-05","2021-04-09","-0.010674576468340025","30089.25","29768.06","-0.0028449956093881124","0","NK225_VOL.YFINANCE","309900000","0.7179011988185556","0.8248940395995005","0.9051936234033232","0.90760486381534","0.4078735075830913","0.4133591481122943"
"train","2021-04-12","2021-04-16","0.004896622163512054","29538.73","29683.37","-0.02232697971962072","0","NK225_VOL.YFINANCE","262000000","0.6593683150874544","0.7050592034445641","0.7628646620751441","0.769860426067793","0.5900763358778626","0.2183206106870229"
"train","2021-04-19","2021-04-23","-0.022392848733231108","29685.37","29020.63","-0.007167315113421058","0","NK225_VOL.YFINANCE","278200000","0.8093090909090909","0.7554887092394142","0.8082690803441724","0.8240016341538148","0.198058950395399","0.6412652767792955"
"train","2021-04-26","2021-04-30","-0.010766927267964244","29126.23","28812.63","0.018921910287259314","1","NK225_VOL.YFINANCE","248400000","0.7931667597988346","0.6797171002778479","0.7188139969726649","0.7400786557025384","0.2471819645732689","0.5547504025764896"
"train","2021-05-03","2021-05-07","0.0009017649022189378","29331.37","29357.82","-0.04337345211599497","0","NK225_VOL.YFINANCE","161800000","0.5891670459717797","0.4578780094910531","0.4706909090909091","0.48614018764053657","0.41718170580964153","0.0"
"train","2021-05-10","2021-05-14","-0.048575563531011556","29518.34","28084.47","0.00830921858236966","1","NK225_VOL.YFINANCE","383500000","1.614057239057239","1.142389037831397","1.1335576726313634","1.1710594117983855","0.19165580182529335","0.6354628422425033"
"train","2021-05-17","2021-05-21","0.017717987854732664","27824.83","28317.83","0.0293659507102062","1","NK225_VOL.YFINANCE","322800000","1.2045899804086202","0.9523852752939039","0.9620467909994384","0.9806221174824402","0.5892193308550185","0.2128252788104089"
"train","2021-05-24","2021-05-28","0.02766828100227703","28364.61","29149.41","-0.007131876768689316","0","NK225_VOL.YFINANCE","391700000","1.4033139274518585","1.167645035542307","1.1756787957148134","1.1906094388370867","0.5075312739341332","0.35282103650753127"
"train","2021-05-31","2021-06-04","0.002821890999609167","28860.08","28941.52","0.0002491230591896709","1","NK225_VOL.YFINANCE","286500000","0.9096682013017939","0.8374179332673801","0.8532450573870014","0.8661271097137527","0.45200698080279234","0.36020942408376966"
"train","2021-06-07","2021-06-11","-0.0024297672854286523","29019.24","28948.73","0.0005302477863451394","1","NK225_VOL.YFINANCE","276200000","0.7979776092452149","0.8213656639597392","0.8365309569573067","0.8381055133640708","0.19297610427226647","0.6223750905141202"
"train","2021-06-14","2021-06-18","-0.006780102737142357","29161.8","28964.08","0.0035250558622956785","1","NK225_VOL.YFINANCE","297500000","0.9317256498590667","0.9207237233662658","0.9059392604912099","0.906705875569394","0.1781512605042017","0.6705882352941176"
"train","2021-06-21","2021-06-25","0.03767279415571001","28010.93","29066.18","-0.00973296112526656","0","NK225_VOL.YFINANCE","290900000","0.9294672098410416","0.9403471255221802","0.8877542636477811","0.8887727535859008","0.5637676177380543","0.17566173942935717"
"train","2021-06-28","2021-07-02","-0.009113874198654504","29048.02","28783.28","-0.029282972614656844","0","NK225_VOL.YFINANCE","254800000","0.8854139518721224","0.8467280163599182","0.774468085106383","0.7807047177593589","0.18642072213500785","0.6263736263736264"
"train","2021-07-05","2021-07-09","-0.02300040666909342","28598.19","27940.42","0.002242629137285901","1","NK225_VOL.YFINANCE","285000000","1.0184027157405753","0.9842728866691463","0.8568356055087244","0.8780510347908467","0.1463157894736842","0.7185964912280701"
"train","2021-07-12","2021-07-16","-0.01980956994674643","28569.02","28003.08","-0.016251069525209383","0","NK225_VOL.YFINANCE","263700000","0.9349406133664244","0.9167758671409086","0.8000140021703364","0.8148519403390034","0.18885096700796358","0.6006825938566553"
