"split_name","week_start","week_end","spot_weekly_return","spot_first_close","spot_last_close","next_week_return","next_week_positive_label","weekly_spot_return_min","weekly_spot_return_p10","weekly_spot_return_p25","weekly_spot_return_p50","weekly_spot_return_p75","weekly_spot_return_p90","weekly_spot_return_max","weekly_spot_close_position","weekly_spot_drawdown","weekly_spot_rebound","weekly_price_position_52w"
"train","2020-09-28","2020-10-02","-0.006694811154740465","23185.12","23029.9","0.025609750802217945","1",,,,,,,,,,,"0.5"
"train","2020-10-05","2020-10-09","0.013192697023953981","23312.14","23619.69","-0.0088510899169294","0",,,,,,,,,,,"0.5"
"train","2020-10-12","2020-10-16","-0.006284729753649243","23558.69","23410.63","0.004526149018629466","1",,,,,,,,,,,"0.5"
"train","2020-10-19","2020-10-23","-0.0065286279108771605","23671.13","23516.59","-0.02293955033446593","0",,,,,,,,,,,"0.5"
"train","2020-10-26","2020-10-30","-0.022014238322932256","23494.34","22977.13","0.058671383240639585","1",,,,,,,,,,,"0.5"
"train","2020-11-02","2020-11-06","0.044203854138227694","23295.48","24325.23","0.04360246542375967","1",,,,,,,,,,,"0.5"
"train","2020-11-09","2020-11-13","0.021982025649118553","24839.84","25385.87","0.005573966935149333","1",,,,,,,,,,,"0.5"
"train","2020-11-16","2020-11-20","-0.014650906147505749","25906.93","25527.37","0.04377027480700124","1",,,,,,,,,,,"0.5"
"train","2020-11-23","2020-11-27","0.01831107190779946","26165.59","26644.71","0.003998166990746066","1",,,,,,,,,,,"0.5"
"train","2020-11-30","2020-12-04","0.012015758719388536","26433.62","26751.24","-0.0036902962255207505","0",,,,,,,,,,,"0.5"
"train","2020-12-07","2020-12-11","0.00395819709923062","26547.44","26652.52","0.004159831790764956","1",,,,,,,,,,,"0.5"
"train","2020-12-14","2020-12-18","0.0011577693618689544","26732.44","26763.39","-0.003989778574388314","0",,,,,,,,,,,"0.5"
"train","2020-12-21","2020-12-25","-0.002163999817327067","26714.42","26656.61","0.029544642023122902","1",,,,,,,,,,,"0.5"
"train","2020-12-28","2020-12-30","0.02197584496628613","26854.03","27444.17","0.025319038615487344","1",,,,,,,,,,,"0.5"
"train","2021-01-04","2021-01-08","0.0323074958966747","27258.38","28139.03","0.013509705203057942","1",,,,,,,,,,,"0.5"
"train","2021-01-11","2021-01-15","0.012598910537225505","28164.34","28519.18","0.00393664894993484","1",,,,,,,,,,,"0.5"
"train","2021-01-18","2021-01-22","0.013782207553870718","28242.21","28631.45","-0.03381107139177375","0",,,,,,,,,,,"0.5"
"train","2021-01-25","2021-01-29","-0.04020846365781494","28822.29","27663.39","0.04033489749448638","1",,,,,,,,,,,"0.5"
