"split_name","week_start","week_end","spot_weekly_return","spot_first_close","spot_last_close","next_week_return","next_week_positive_label","volume_source","volume_total","weekly_volume_price_confirmation","weekly_volume_accumulation_26w","weekly_volume_accumulation_52w","weekly_high_volume_low_price_signal","weekly_high_volume_breakout_signal"
"train","2020-09-28","2020-10-02","-0.006694811154740465","23185.12","23029.9","0.025609750802217945","1","NK225_VOL.YFINANCE","317800000","0","0.0","0.0","0","0"
"train","2020-10-05","2020-10-09","0.013192697023953981","23312.14","23619.69","-0.0088510899169294","0","NK225_VOL.YFINANCE","281700000","0","0.0","0.0","0","0"
"train","2020-10-12","2020-10-16","-0.006284729753649243","23558.69","23410.63","0.004526149018629466","1","NK225_VOL.YFINANCE","242500000","0","0.0","0.0","0","0"
"train","2020-10-19","2020-10-23","-0.0065286279108771605","23671.13","23516.59","-0.02293955033446593","0","NK225_VOL.YFINANCE","242400000","0","0.0","0.0","0","0"
"train","2020-10-26","2020-10-30","-0.022014238322932256","23494.34","22977.13","0.058671383240639585","1","NK225_VOL.YFINANCE","295700000","-1","0.04537071191442277","0.04537071191442277","0","0"
"train","2020-11-02","2020-11-06","0.044203854138227694","23295.48","24325.23","0.04360246542375967","1","NK225_VOL.YFINANCE","303100000","1","0.04905441634664154","0.04905441634664154","0","0"
"train","2020-11-09","2020-11-13","0.021982025649118553","24839.84","25385.87","0.005573966935149333","1","NK225_VOL.YFINANCE","455800000","1","0.31238117870722437","0.31238117870722437","0","0"
"train","2020-11-16","2020-11-20","-0.014650906147505749","25906.93","25527.37","0.04377027480700124","1","NK225_VOL.YFINANCE","384300000","-1","0.12882187938288914","0.12882187938288914","0","0"
"train","2020-11-23","2020-11-27","0.01831107190779946","26165.59","26644.71","0.003998166990746066","1","NK225_VOL.YFINANCE","323900000","0","0.01345460309911628","0.01345460309911628","0","0"
"train","2020-11-30","2020-12-04","0.012015758719388536","26433.62","26751.24","-0.0036902962255207505","0","NK225_VOL.YFINANCE","432200000","1","0.18309216071930312","0.18309216071930312","0","0"
"train","2020-12-07","2020-12-11","0.00395819709923062","26547.44","26652.52","0.004159831790764956","1","NK225_VOL.YFINANCE","322600000","0","0.0","0.0","0","0"
