config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,partial_exit_ratio,partial_exit_condition,trailing_drawdown,trailing_start_day,max_hold_days,loss_anchor_action
p0.70_canchor_return_gt_0.005_dd0.012_s18_h45_loss_hold_to_max,54,2192439.4922644766,1.1924394922644765,-0.14271275123632376,8.355521717116,0.7407407407407407,0.014896451893151684,0.012808783023685523,24.037037037037038,24.0,0.7,anchor_return_gt_0.005,0.012,18,45,hold_to_max
p0.70_canchor_return_gt_0.005_dd0.012_s18_h60_loss_hold_to_max,53,2323184.0131331235,1.3231840131331234,-0.14271275123632388,9.27165934137174,0.7547169811320755,0.01631459134098288,0.013122169565957697,26.09433962264151,24.0,0.7,anchor_return_gt_0.005,0.012,18,60,hold_to_max
p0.70_canchor_return_gt_0.005_dd0.015_s15_h45_loss_hold_to_max,59,2232167.232009246,1.232167232009246,-0.14271275123632376,8.633897261001232,0.6779661016949152,0.013965797596514768,0.011651580008583773,23.389830508474578,23.0,0.7,anchor_return_gt_0.005,0.015,15,45,hold_to_max
p0.70_canchor_return_gt_0.005_dd0.015_s15_h60_loss_hold_to_max,58,2330088.085681105,1.3300880856811048,-0.14271275123632376,9.320036746250926,0.6896551724137931,0.014983240055244705,0.012178614805858606,25.120689655172413,22.5,0.7,anchor_return_gt_0.005,0.015,15,60,hold_to_max
p0.70_canchor_return_gt_0.005_dd0.015_s18_h45_loss_hold_to_max,54,2174692.112658649,1.1746921126586494,-0.14271275123632376,8.23116436675956,0.7407407407407407,0.014745118388779534,0.011935827822634776,26.203703703703702,24.5,0.7,anchor_return_gt_0.005,0.015,18,45,hold_to_max
p0.70_canchor_return_gt_0.005_dd0.015_s18_h60_loss_hold_to_max,52,2288837.8441554336,1.2888378441554336,-0.14271275123632376,9.030992907012179,0.75,0.01634020515525482,0.012808783023685523,28.942307692307693,25.0,0.7,anchor_return_gt_0.005,0.015,18,60,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.008_s15_h45_loss_hold_to_max,60,2227631.560797683,1.227631560797683,-0.14271275123632388,8.602115439319068,0.6833333333333333,0.013691176242200929,0.011579388659961415,19.25,19.0,0.7,anchor_return_gt_0.01,0.008,15,45,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.008_s15_h60_loss_hold_to_max,59,2310044.9968484803,1.3100449968484802,-0.14271275123632388,9.179593172295608,0.6949152542372882,0.014575601655280273,0.011584416121300567,20.491525423728813,19.0,0.7,anchor_return_gt_0.01,0.008,15,60,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.008_s18_h45_loss_hold_to_max,56,2230945.218258673,1.2309452182586726,-0.14271275123632388,8.625334510020764,0.7321428571428571,0.014676218699562704,0.013038289250159645,22.375,23.5,0.7,anchor_return_gt_0.01,0.008,18,45,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.008_s18_h60_loss_hold_to_max,55,2358390.789053176,1.3583907890531761,-0.14271275123632376,9.518356119445574,0.7454545454545455,0.015997692735993677,0.01329185401374805,24.036363636363635,24.0,0.7,anchor_return_gt_0.01,0.008,18,60,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.010_s15_h45_loss_hold_to_max,59,2237075.768681208,1.237075768681208,-0.14271275123632365,8.668291781669078,0.6779661016949152,0.013999552410430827,0.012911916444237604,21.016949152542374,21.0,0.7,anchor_return_gt_0.01,0.01,15,45,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.010_s15_h60_loss_hold_to_max,58,2313192.2473620903,1.3131922473620903,-0.14271275123632388,9.201646215813762,0.6896551724137931,0.014853539594361233,0.01301704300509765,22.448275862068964,21.0,0.7,anchor_return_gt_0.01,0.01,15,60,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.010_s18_h45_loss_hold_to_max,55,2270768.570794553,1.2707685707945529,-0.142712751236324,8.904380020606808,0.7454545454545455,0.01527125025997416,0.013164662056081687,23.727272727272727,24.0,0.7,anchor_return_gt_0.01,0.01,18,45,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,54,2409336.1168546025,1.4093361168546026,-0.14271275123632388,9.875334226587961,0.7592592592592593,0.01669506655302135,0.015210033126792335,25.462962962962962,24.0,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.012_s15_h45_loss_hold_to_max,58,2265798.367402795,1.2657983674027946,-0.14271275123632365,8.869553396155256,0.6896551724137931,0.014469136889566407,0.012243138821429933,21.5,21.0,0.7,anchor_return_gt_0.01,0.012,15,45,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.012_s15_h60_loss_hold_to_max,57,2355198.2337026605,1.3551982337026605,-0.14271275123632365,9.495985621204474,0.7017543859649122,0.015437893829159522,0.012911916444237604,23.105263157894736,21.0,0.7,anchor_return_gt_0.01,0.012,15,60,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.012_s18_h45_loss_hold_to_max,54,2264518.5207072296,1.2645185207072296,-0.14271275123632376,8.86058540496681,0.7407407407407407,0.015507841820893676,0.013925417664235124,24.037037037037038,24.0,0.7,anchor_return_gt_0.01,0.012,18,45,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.012_s18_h60_loss_hold_to_max,53,2399561.4215638633,1.3995614215638632,-0.14271275123632376,9.806842131760696,0.7547169811320755,0.01693751692773887,0.016076813217511268,26.09433962264151,24.0,0.7,anchor_return_gt_0.01,0.012,18,60,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.015_s15_h45_loss_hold_to_max,59,2305552.3566490132,1.305552356649013,-0.14271275123632376,9.148112872458723,0.6779661016949152,0.014525374818515914,0.01222007563668578,23.389830508474578,23.0,0.7,anchor_return_gt_0.01,0.015,15,45,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.015_s15_h60_loss_hold_to_max,58,2406692.4736218,1.4066924736218,-0.14271275123632365,9.856810000757415,0.6896551724137931,0.015552465160383796,0.013754690182947827,25.120689655172413,22.5,0.7,anchor_return_gt_0.01,0.015,15,60,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.015_s18_h45_loss_hold_to_max,54,2255464.9928506673,1.2554649928506674,-0.14271275123632376,8.797146589737398,0.7407407407407407,0.015433253780275,0.012565996040461692,26.203703703703702,24.5,0.7,anchor_return_gt_0.01,0.015,18,45,hold_to_max
p0.70_canchor_return_gt_0.01_dd0.015_s18_h60_loss_hold_to_max,52,2400305.205657915,1.400305205657915,-0.14271275123632365,9.81205388815674,0.75,0.01727216238407458,0.016429546292703223,28.942307692307693,25.0,0.7,anchor_return_gt_0.01,0.015,18,60,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.008_s15_h45_loss_hold_to_max,60,2142272.6490441035,1.1422726490441035,-0.14271275123632365,8.003998515539578,0.65,0.013039413929354631,0.010165033070496932,19.25,19.0,0.7,anchor_return_gt_0.015,0.008,15,45,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.008_s15_h60_loss_hold_to_max,59,2221528.1476069563,1.2215281476069562,-0.14271275123632365,8.559348320488754,0.6610169491525424,0.013912792523572179,0.010511524511055415,20.491525423728813,19.0,0.7,anchor_return_gt_0.015,0.008,15,60,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.008_s18_h45_loss_hold_to_max,56,2141128.109822361,1.1411281098223607,-0.14271275123632388,7.995978634962478,0.6964285714285714,0.013949022218805892,0.012248166282769085,22.375,23.5,0.7,anchor_return_gt_0.015,0.008,18,45,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.008_s18_h60_loss_hold_to_max,55,2263442.7645557746,1.2634427645557746,-0.14271275123632365,8.853047493027375,0.7090909090909091,0.015257274501041286,0.01329185401374805,24.036363636363635,24.0,0.7,anchor_return_gt_0.015,0.008,18,60,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.010_s15_h45_loss_hold_to_max,59,2150196.4509773594,1.1501964509773592,-0.14271275123632376,8.059521248193883,0.6440677966101694,0.013327559872611337,0.010511524511055415,21.016949152542374,21.0,0.7,anchor_return_gt_0.015,0.01,15,45,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.010_s15_h60_loss_hold_to_max,58,2224554.8010327965,1.2245548010327965,-0.14271275123632376,8.580556330281988,0.6551724137931034,0.014179302719002994,0.01171172047764651,22.448275862068964,21.0,0.7,anchor_return_gt_0.015,0.01,15,60,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.010_s18_h45_loss_hold_to_max,55,2177297.694990191,1.177297694990191,-0.14271275123632365,8.24942189672076,0.7090909090909091,0.014513633082234552,0.013122169565957697,23.727272727272727,24.0,0.7,anchor_return_gt_0.015,0.01,18,45,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.010_s18_h60_loss_hold_to_max,54,2312337.050496549,1.312337050496549,-0.14271275123632376,9.195653780953304,0.7222222222222222,0.01594093686927354,0.015289441642752744,25.462962962962962,24.0,0.7,anchor_return_gt_0.015,0.01,18,60,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.012_s15_h45_loss_hold_to_max,58,2123354.15205311,1.1233541520531096,-0.14271275123632365,7.8714350492262835,0.6379310344827587,0.013352383809202818,0.008851892659344163,21.5,21.0,0.7,anchor_return_gt_0.015,0.012,15,45,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.012_s15_h60_loss_hold_to_max,57,2209212.2972123716,1.2092122972123716,-0.14271275123632376,8.473050142590191,0.6491228070175439,0.014318144060601777,0.010511524511055415,23.105263157894736,21.0,0.7,anchor_return_gt_0.015,0.012,15,60,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.012_s18_h45_loss_hold_to_max,54,2123278.941128319,1.1232789411283193,-0.14271275123632388,7.870908040082808,0.6851851851851852,0.014325861538337871,0.01301704300509765,24.037037037037038,24.0,0.7,anchor_return_gt_0.015,0.012,18,45,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.012_s18_h60_loss_hold_to_max,53,2252017.988916873,1.2520179889168732,-0.14271275123632388,8.772993149319962,0.6981132075471698,0.01575108308991403,0.01472866576251255,26.09433962264151,24.0,0.7,anchor_return_gt_0.015,0.012,18,60,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.015_s15_h45_loss_hold_to_max,59,2241615.099601921,1.2416150996019213,-0.14271275123632365,8.700099247234622,0.6271186440677966,0.014066173691854663,0.011651580008583773,23.389830508474578,23.0,0.7,anchor_return_gt_0.015,0.015,15,45,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.015_s15_h60_loss_hold_to_max,58,2305781.2244646633,1.3057812244646634,-0.14271275123632376,9.149716568089756,0.6379310344827587,0.014826725932485574,0.012281748226410687,25.120689655172413,22.5,0.7,anchor_return_gt_0.015,0.015,15,60,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.015_s18_h45_loss_hold_to_max,54,2189613.4038129784,1.1896134038129782,-0.14271275123632376,8.335719082614066,0.6851851851851852,0.014907579940236573,0.013820291103375078,26.203703703703702,24.5,0.7,anchor_return_gt_0.015,0.015,18,45,hold_to_max
p0.70_canchor_return_gt_0.015_dd0.015_s18_h60_loss_hold_to_max,52,2291759.212811113,1.291759212811113,-0.14271275123632388,9.051463177750923,0.6923076923076923,0.01640016434420064,0.015537413772098174,28.942307692307693,25.0,0.7,anchor_return_gt_0.015,0.015,18,60,hold_to_max
