config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,partial_exit_ratio,partial_exit_condition,trailing_drawdown,trailing_start_day,max_hold_days,loss_anchor_action
p0.70_canchor_return_gt_0_dd0.010_s18_h60_loss_hold_to_max,54,2322497.689321853,1.3224976893218532,-0.14271275123632376,9.26685021390889,0.7592592592592593,0.016002403373424637,0.013143415811019691,25.462962962962962,24.0,0.7,anchor_return_gt_0,0.01,18,60,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s12_h20_loss_time_exit_20d,62,2063225.272783651,1.0632252727836509,-0.14271275123632365,7.450107040701741,0.6935483870967742,0.011969220621991006,0.006415416186032891,15.693548387096774,20.0,0.7,anchor_return_gt_0,0.012,12,20,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s12_h20_loss_no_partial_trailing,62,2024136.277705974,1.0241362777059742,-0.14271275123632376,7.176207233298066,0.6612903225806451,0.011660883490334457,0.006415416186032891,15.5,19.0,0.7,anchor_return_gt_0,0.012,12,20,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s12_h20_loss_hold_to_max,62,2063225.272783651,1.0632252727836509,-0.14271275123632365,7.450107040701741,0.6935483870967742,0.011969220621991006,0.006415416186032891,15.693548387096774,20.0,0.7,anchor_return_gt_0,0.012,12,20,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s12_h30_loss_time_exit_20d,60,2049014.9423178034,1.0490149423178035,-0.14271275123632365,7.3505340849375,0.7,0.012250347414121943,0.006282238939182139,17.966666666666665,20.5,0.7,anchor_return_gt_0,0.012,12,30,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s12_h30_loss_no_partial_trailing,60,1964317.6445914041,0.9643176445914041,-0.14271275123632376,6.75705314512893,0.6833333333333333,0.011537536066577307,0.005061856340666528,18.183333333333334,20.0,0.7,anchor_return_gt_0,0.012,12,30,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s12_h30_loss_hold_to_max,60,2121804.61752119,1.1218046175211902,-0.14271275123632376,7.860577333160293,0.7166666666666667,0.012850344556543112,0.008207356148518396,18.966666666666665,20.5,0.7,anchor_return_gt_0,0.012,12,30,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s12_h45_loss_time_exit_20d,59,2022447.6399372292,1.022447639937229,-0.14271275123632388,7.164374809396788,0.6949152542372882,0.01223275284966872,0.0068533964490735235,18.423728813559322,20.0,0.7,anchor_return_gt_0,0.012,12,45,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s12_h45_loss_no_partial_trailing,59,1921659.2720553717,0.9216592720553716,-0.14271275123632388,6.458142415944026,0.6610169491525424,0.011357333644692328,0.0052176948621441,18.779661016949152,20.0,0.7,anchor_return_gt_0,0.012,12,45,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s12_h45_loss_hold_to_max,58,2171612.5830876837,1.1716125830876836,-0.14271275123632365,8.209585849463194,0.6896551724137931,0.013720764540099283,0.011015317188749464,20.551724137931036,20.5,0.7,anchor_return_gt_0,0.012,12,45,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s12_h60_loss_time_exit_20d,59,2021637.8842870446,1.0216378842870446,-0.14271275123632365,7.158700784874326,0.6949152542372882,0.01222588899853649,0.0068533964490735235,18.677966101694917,20.0,0.7,anchor_return_gt_0,0.012,12,60,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s12_h60_loss_no_partial_trailing,59,1920889.8704537924,0.9208898704537924,-0.14271275123632376,6.452751155563205,0.6610169491525424,0.011350469793560095,0.0052176948621441,19.033898305084747,20.0,0.7,anchor_return_gt_0,0.012,12,60,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s12_h60_loss_hold_to_max,57,2243899.161611094,1.2438991616110942,-0.14271275123632388,8.71610385782046,0.7017543859649122,0.014573584009187446,0.011042117697674604,22.12280701754386,20.0,0.7,anchor_return_gt_0,0.012,12,60,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s15_h20_loss_time_exit_20d,62,2066132.7583635552,1.0661327583635551,-0.14271275123632388,7.470480031585281,0.6935483870967742,0.011990373342455785,0.006415416186032891,16.080645161290324,21.0,0.7,anchor_return_gt_0,0.012,15,20,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s15_h20_loss_no_partial_trailing,62,2066132.7583635552,1.0661327583635551,-0.14271275123632388,7.470480031585281,0.6935483870967742,0.011990373342455785,0.006415416186032891,16.080645161290324,21.0,0.7,anchor_return_gt_0,0.012,15,20,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s15_h20_loss_hold_to_max,62,2066132.7583635552,1.0661327583635551,-0.14271275123632388,7.470480031585281,0.6935483870967742,0.011990373342455785,0.006415416186032891,16.080645161290324,21.0,0.7,anchor_return_gt_0,0.012,15,20,hold_to_max
