price_zone,volume_intensity_52w,sample_count,next_1w_avg_return,next_1w_positive_rate,next_4w_avg_return,next_4w_positive_rate
low,shrink,2,0.0004923766574569388,0.5,0.05424137261044082,1.0
low,normal,3,-0.0038199511532810795,0.3333333333333333,0.06798616983607368,1.0
low,mild_volume,5,0.0033594081059247884,0.6,0.013864760911858643,0.4
low,extreme_volume,7,0.018481903831789714,0.7142857142857143,0.05556194423181195,0.8571428571428571
mid_low,shrink,2,-0.033065958587358946,0.0,0.009187989145369613,0.5
mid_low,normal,18,0.0010502824487898027,0.5555555555555556,-0.0006926035868259412,0.4444444444444444
mid_low,mild_volume,7,0.009562489657404694,0.8571428571428571,-0.008799417719663099,0.5714285714285714
mid_low,extreme_volume,4,0.036305024872095304,0.75,0.022060687833006354,1.0
mid_high,shrink,24,-0.0022140556619924304,0.5,0.001428548196869268,0.4583333333333333
mid_high,normal,43,0.0028147004696589028,0.6046511627906976,0.01347281106518904,0.6046511627906976
mid_high,mild_volume,26,0.007811492834898378,0.6538461538461539,0.0123486388023101,0.5769230769230769
mid_high,extreme_volume,15,0.012278910968456236,0.7333333333333333,0.019826798948135896,0.7333333333333333
high,shrink,12,0.0018617917222539526,0.4166666666666667,0.016572401647012968,0.5833333333333334
high,normal,41,0.001160373170495587,0.5609756097560976,0.021774164552513447,0.6829268292682927
high,mild_volume,44,0.001433456244406318,0.5681818181818182,0.007921538520922842,0.6
high,extreme_volume,36,0.004552345825981522,0.5277777777777778,0.010039430348982763,0.5555555555555556
