week_start,week_end,split_name,behavior_hypothesis,volume_price_state,spot_weekly_return,weekly_price_position_52w,weekly_volume_ratio_4w,weekly_volume_ratio_13w,weekly_volume_ratio_26w,weekly_volume_ratio_52w,weekly_volume_accumulation_52w,next_week_return,next_4w_return,anomaly_score
2025-04-07,2025-04-11,train,low_price_high_volume_possible_accumulation_or_panic,low__extreme_volume__up,0.07865346804305418,0.0,1.5778038532874068,1.6918052849792697,1.7020397137993204,1.744572076132588,0.744572076132588,0.034083079702658114,0.11664976457158094,2.889144152265176
2024-08-05,2024-08-09,train,low_price_high_volume_possible_accumulation_or_panic,mid_low__extreme_volume__up,0.11337441613405885,0.39546170748279985,1.9160510696443058,1.9227645492181524,1.9396946158757182,2.1396696609678356,0.6889739508751517,0.0867286224125623,0.03901413276231258,2.8331819043601874
2022-03-07,2022-03-11,train,low_price_high_volume_possible_accumulation_or_panic,low__extreme_volume__down,-0.0023246123035944866,0.0,1.4244924313078413,1.5502438321281862,1.4682714841528066,1.5428127428127427,0.5428127428127427,0.0661552499366127,0.07244906961790387,2.493056574940929
2025-03-31,2025-04-04,train,low_price_high_volume_possible_accumulation_or_panic,low__extreme_volume__down,-0.051575121934236856,0.0,1.374084323620381,1.4086573640226447,1.4068874443888866,1.4251362855649319,0.4251362855649319,-0.005772547422217111,0.09029181855373714,2.2502725711298637
2022-09-26,2022-09-30,train,low_price_high_volume_possible_accumulation_or_panic,low__extreme_volume__down,-0.018702648917676035,0.16897551651833156,1.5638465580662113,1.4528703402348346,1.3591587230952993,1.3208979429254275,0.2666740472699333,0.045452074452109636,0.04503144324312447,2.0615450888178133
2022-02-28,2022-03-04,train,low_price_high_volume_possible_accumulation_or_panic,low__extreme_volume__down,-0.020407647807011875,0.0,1.2222625353747913,1.3039014862804879,1.2579681503780131,1.313372319688109,0.3133723196881091,-0.03165961593151878,0.06467114121853479,2.026744639376218
2022-05-09,2022-05-13,train,low_price_high_volume_possible_accumulation_or_panic,low__extreme_volume__up,0.004115224773873605,0.23698819808628804,1.5762772418720972,1.2844825655611045,1.3359887262266634,1.3643683766071577,0.2780173715954014,0.011782356736221189,0.05284768036507215,2.0173064153812104
2020-11-09,2020-11-13,train,extreme_volume_context_needed,mid_high__extreme_volume__up,0.021982025649118553,0.5,1.6823844237335055,1.6247623574144487,1.6247623574144487,1.6247623574144487,0.31238117870722437,0.005573966935149333,0.04989586726789352,1.9947656024407299
2022-01-24,2022-01-28,train,low_price_high_volume_possible_accumulation_or_panic,low__warm_volume__down,-0.03157236183217782,0.0,1.3017921146953404,1.1466873907130366,1.1289346898274892,1.1280446286717714,0.12804462867177135,0.027047977081550822,-0.009014370442566477,1.8298367433671117
2023-03-13,2023-03-17,train,extreme_volume_context_needed,mid_high__extreme_volume__down,-0.01793449205546227,0.466879931612744,1.5213712940484072,1.5454482742762539,1.5360705755979385,1.5318256667977186,0.28352693585329775,0.0018826514727741106,0.04242660823837463,1.8289752101295516
2021-11-29,2021-12-03,train,low_price_high_volume_possible_accumulation_or_panic,mid_low__extreme_volume__down,-0.008992742165866652,0.3579049416118912,1.513710545936542,1.3181798002219756,1.4796984987229802,1.4175583497944106,0.2681121529916845,0.014563191657952723,0.027190570529622704,1.8239177573163354
2023-07-31,2023-08-04,train,high_price_high_volume_breakout_or_distribution,high__extreme_volume__down,-0.02952681490717235,0.8052059051058904,1.332588287885561,1.3686143631579877,1.510749858682728,1.6547586641260081,0.12754312135250206,0.008725567091969477,0.016086541224344053,1.7823017854785101
2022-01-17,2022-01-21,train,low_price_high_volume_possible_accumulation_or_panic,low__warm_volume__down,-0.02863251724459237,0.14598198921647312,1.42094782954998,1.1406649616368287,1.1351655612931646,1.110974054358305,0.09477384115166271,-0.029246144757007486,-0.014540593686710235,1.7697396814851696
2022-12-19,2022-12-23,train,low_price_high_volume_possible_accumulation_or_panic,mid_low__extreme_volume__down,-0.03680164654500162,0.28465979217263215,1.397722811150373,1.3178276914665816,1.3550072025015518,1.3213343535511575,0.22986338325135788,-0.005364919335626661,0.012131769279881022,1.7429264022290987
2022-01-31,2022-02-04,train,low_price_high_volume_possible_accumulation_or_panic,low__extreme_volume__up,0.01622140302303765,0.19104028593257258,1.2379352474037875,1.3082633957391865,1.250599321164938,1.2619817489401453,0.21193268071350446,0.00933272934866225,-0.05300730794726971,1.7291557905201185
2021-05-10,2021-05-14,train,extreme_volume_context_needed,mid_high__warm_volume__down,-0.048575563531011556,0.5,1.614057239057239,1.142389037831397,1.1335576726313634,1.1710594117983855,0.08552970589919273,0.00830921858236966,0.030773591240995435,1.6995869449564318
2022-06-27,2022-07-01,train,low_price_high_volume_possible_accumulation_or_panic,low__warm_volume__down,-0.03481971637365866,0.14480061904306885,1.0530933488162053,1.167257046049592,1.1697277036710396,1.2275459146782357,0.19459712537210586,0.0224236012094563,0.07194815469998406,1.677342421007273
