group,count,next_1w_avg_return,next_1w_positive_rate,next_4w_avg_return,next_4w_positive_rate
all_weeks,289,0.003642479407921212,0.5778546712802768,0.0133516766153015,0.6035087719298246
low_price_high_volume,18,0.018417586510066173,0.7777777777777778,0.028148537944325078,0.7222222222222222
high_price_high_volume,53,0.00440127864659893,0.5849056603773585,0.008222483971763297,0.5490196078431373
extreme_volume_any_window,77,0.009285268309288297,0.6233766233766234,0.017945126352051425,0.6493506493506493
