week_start,week_end,split_name,price_zone,long_volume_intensity,weekly_direction,weekly_price_position_52w,weekly_volume_ratio_4w,weekly_volume_ratio_13w,weekly_volume_ratio_26w,weekly_volume_ratio_52w,weekly_volume_accumulation_52w,spot_weekly_return,next_week_return,next_4w_return,next_week_positive_label,next_4w_positive_label,mild_volume_state
2022-06-27,2022-07-01,train,low,mild_volume,down,0.14480061904306885,1.0530933488162053,1.167257046049592,1.1697277036710396,1.2275459146782357,0.19459712537210586,-0.03481971637365866,0.0224236012094563,0.07194815469998406,1,1,low__mild_volume__down
2022-07-04,2022-07-08,train,mid_low,mild_volume,up,0.2537645650304369,1.0319857547978633,1.1100536953769589,1.0925613620495194,1.1663685152057246,0.12415008130978428,0.01389396038282742,0.010230344919654133,0.06255112249827377,1,1,mid_low__mild_volume__up
2022-10-24,2022-10-28,train,mid_low,mild_volume,up,0.423823228433219,1.1062389848431442,1.2569069624152802,1.1835460663727084,1.1666647603143194,0.09602836353185593,0.004830416424157269,0.0034878916222718104,0.04345402358219075,1,1,mid_low__mild_volume__up
2023-01-16,2023-01-20,train,mid_low,mild_volume,up,0.369139095698796,1.1570459081836328,1.08480549093673,1.129946620284292,1.0607464795869532,0.03832257904533994,0.028316975391831534,0.031221084353003192,0.03613832134559902,1,1,mid_low__mild_volume__up
2022-06-13,2022-06-17,train,low,mild_volume,down,0.14993058248880067,1.0474081792133367,1.1484028296498088,1.1771739987163752,1.2205119224819776,0.18745044149852944,-0.03795988059630695,0.020373993760351317,0.031794091591880846,1,1,low__mild_volume__down
2022-10-03,2022-10-07,train,mid_low,mild_volume,up,0.4262037184519618,1.2075230092036815,1.2159896840747904,1.1385186905038311,1.115747798584723,0.06641565642528537,0.03434266142656761,-0.0009348686076284807,0.0030841444440223853,0,1,mid_low__mild_volume__up
2022-01-24,2022-01-28,train,low,mild_volume,down,0.0,1.3017921146953404,1.1466873907130366,1.1289346898274892,1.1280446286717714,0.12804462867177135,-0.03157236183217782,0.027047977081550822,-0.009014370442566477,1,0,low__mild_volume__down
2022-02-14,2022-02-18,train,low,mild_volume,up,0.10699472071610028,0.9657826027209014,1.1074692719823511,1.0597104945717732,1.093989666465105,0.08393326835147166,0.001568709127427681,-0.023802386764727013,-0.01086347760329498,0,0,low__mild_volume__up
2022-01-17,2022-01-21,train,low,mild_volume,down,0.14598198921647312,1.42094782954998,1.1406649616368287,1.1351655612931646,1.110974054358305,0.09477384115166271,-0.02863251724459237,-0.029246144757007486,-0.014540593686710235,0,0,low__mild_volume__down
2022-05-16,2022-05-20,train,mid_low,mild_volume,up,0.2953288853664888,1.275853638660256,1.111834629840049,1.169526392608001,1.2062276641518157,0.14532267796612536,0.0072316886433709815,0.0015950466415572961,-0.02902236917345169,1,0,mid_low__mild_volume__up
2025-03-03,2025-03-07,train,mid_low,mild_volume,down,0.3020218370074344,1.0486224307239693,1.09821154043251,1.1205563435055133,1.1129222290382574,0.07881724998514868,-0.02377368866921603,0.004498312014719508,-0.0842187134442679,1,0,mid_low__mild_volume__down
2025-03-10,2025-03-14,train,mid_low,mild_volume,up,0.3289337104747568,1.074046372475692,1.0737512142747585,1.087350742646345,1.090434714884669,0.06068768856192806,0.000670568730324117,0.016839616658255396,-0.09358245329000803,1,0,mid_low__mild_volume__up
