trade_date,holding_days,future_return,max_drawdown,max_runup,ret_5d,close_vs_ma20,resonance_regime
2016-05-24,3,-0.012287391395518266,-0.018309056516398026,0.0030107828939454073,-0.037063100272319516,-0.03171792924743444,usd_up_oil_down
2016-05-24,5,-0.01383350936794514,-0.024330721637277897,0.0030107828939454073,-0.037063100272319516,-0.03171792924743444,usd_up_oil_down
2016-05-24,10,0.025144457482451088,-0.024330721637277897,0.02856210829898309,-0.037063100272319516,-0.03171792924743444,usd_up_oil_down
2016-05-24,15,0.046301589456955394,-0.024330721637277897,0.05476436278036623,-0.037063100272319516,-0.03171792924743444,usd_up_oil_down
2016-05-24,20,0.03181705167967608,-0.024330721637277897,0.07120188645265912,-0.037063100272319516,-0.03171792924743444,usd_up_oil_down
2016-05-24,30,0.1067621031535344,-0.024330721637277897,0.11880543339529392,-0.037063100272319516,-0.03171792924743444,usd_up_oil_down
2016-05-25,3,-0.007110707945954253,-0.020024519820187936,0.007437658836074723,-0.03941269772813305,-0.0349956977356235,usd_up_oil_up
2016-05-25,5,-0.011197344643951723,-0.020024519820187936,0.007437658836074723,-0.03941269772813305,-0.0349956977356235,usd_up_oil_up
2016-05-25,10,0.03816914685073569,-0.020024519820187936,0.03914999952109732,-0.03941269772813305,-0.0349956977356235,usd_up_oil_up
2016-05-25,15,0.0593379449006437,-0.020024519820187936,0.07592972980307522,-0.03941269772813305,-0.0349956977356235,usd_up_oil_up
2016-05-25,20,0.030813200794340023,-0.020024519820187936,0.07592972980307522,-0.03941269772813305,-0.0349956977356235,usd_up_oil_up
2016-05-25,30,0.10878624894641398,-0.020024519820187936,0.1237433791696465,-0.03941269772813305,-0.0349956977356235,usd_up_oil_up
2016-05-31,3,0.020826412364914226,-0.00773791902883969,0.02444842770670408,-0.02901440929276,-0.0342135134645567,usd_up_oil_up
2016-05-31,5,0.024366129730148955,-0.00773791902883969,0.02675337396582389,-0.02901440929276,-0.0342135134645567,usd_up_oil_up
2016-05-31,10,0.05828113591706785,-0.00773791902883969,0.061656156843262755,-0.02901440929276,-0.0342135134645567,usd_up_oil_up
2016-05-31,15,0.045851126879363324,-0.00773791902883969,0.0836351428236668,-0.02901440929276,-0.0342135134645567,usd_up_oil_up
2016-05-31,20,0.08272966410970173,-0.00773791902883969,0.11590378753576536,-0.02901440929276,-0.0342135134645567,usd_up_oil_up
2016-05-31,30,0.10503784199632582,-0.00773791902883969,0.1317912159621497,-0.02901440929276,-0.0342135134645567,usd_up_oil_up
2016-11-15,3,-0.012663398692810413,-0.013725530088337434,0.0043301052517361605,-0.04247832805600238,-0.03650118700662497,usd_up_oil_up
2016-11-15,5,-0.0106209150326797,-0.013725530088337434,0.0043301052517361605,-0.04247832805600238,-0.03650118700662497,usd_up_oil_up
2016-11-15,10,-0.043464012395322715,-0.04583331338720387,0.0043301052517361605,-0.04247832805600238,-0.03650118700662497,usd_up_oil_up
2016-11-15,15,-0.04003267973856206,-0.054738562091503296,0.0043301052517361605,-0.04247832805600238,-0.03650118700662497,usd_up_oil_up
2016-11-15,20,-0.05122545030381942,-0.06699346405228757,0.0043301052517361605,-0.04247832805600238,-0.03650118700662497,usd_up_oil_up
2016-11-15,30,-0.05522873822380514,-0.0817810258055045,0.0043301052517361605,-0.04247832805600238,-0.03650118700662497,usd_up_oil_up
2016-11-16,3,-0.011280078921638403,-0.013241844792300395,0.001307810653922381,-0.03926495919693951,-0.035553793739820594,usd_up_oil_up
2016-11-16,5,-0.028036658610132603,-0.02991660524403439,0.001307810653922381,-0.03926495919693951,-0.035553793739820594,usd_up_oil_up
2016-11-16,10,-0.04618276840975233,-0.051822807870571586,0.001307810653922381,-0.03926495919693951,-0.035553793739820594,usd_up_oil_up
2016-11-16,15,-0.04381230547351733,-0.054274990264009726,0.001307810653922381,-0.03926495919693951,-0.035553793739820594,usd_up_oil_up
2016-11-16,20,-0.07814285898165185,-0.08133071604903286,0.001307810653922381,-0.03926495919693951,-0.035553793739820594,usd_up_oil_up
2016-11-16,30,-0.05999674918203213,-0.08133071604903286,0.001307810653922381,-0.03926495919693951,-0.035553793739820594,usd_up_oil_up
2017-05-04,3,-0.009946963858030955,-0.01019160211985326,0.006114961271912023,-0.029437328961972486,-0.03175512120602164,usd_down_oil_down
2017-05-04,5,-0.0030982868553811604,-0.01019160211985326,0.006114961271912023,-0.029437328961972486,-0.03175512120602164,usd_down_oil_down
2017-05-04,10,0.020546230062678417,-0.01019160211985326,0.027313493681206724,-0.029437328961972486,-0.03175512120602164,usd_down_oil_down
2017-05-04,15,0.023889155179881882,-0.01019160211985326,0.028617998847074944,-0.029437328961972486,-0.03175512120602164,usd_down_oil_down
2017-05-04,20,0.041011046741235235,-0.01019160211985326,0.042804728903383715,-0.029437328961972486,-0.03175512120602164,usd_down_oil_down
2017-05-04,30,0.022421524663677195,-0.01019160211985326,0.056013005439767616,-0.029437328961972486,-0.03175512120602164,usd_down_oil_down
2017-05-05,3,-0.00612344848220403,-0.008817805680574886,0.007511390271969232,-0.03261979903182555,-0.03212292629446267,usd_down_oil_down
2017-05-05,5,0.0011429639842759354,-0.008817805680574886,0.007511390271969232,-0.03261979903182555,-0.03212292629446267,usd_down_oil_down
2017-05-05,10,0.02277914862139685,-0.008817805680574886,0.028739345010276418,-0.03261979903182555,-0.03212292629446267,usd_down_oil_down
2017-05-05,15,0.034944419539142624,-0.008817805680574886,0.034944419539142624,-0.03261979903182555,-0.03212292629446267,usd_down_oil_down
2017-05-05,20,0.04449705897068257,-0.008817805680574886,0.04670146055807489,-0.03261979903182555,-0.03212292629446267,usd_down_oil_down
2017-05-05,30,0.015839240341565697,-0.008817805680574886,0.05747869002055306,-0.03261979903182555,-0.03212292629446267,usd_down_oil_down
2017-05-09,3,0.009799803891331615,0.002470559070548717,0.012517459079857574,-0.03250731220735248,-0.03791909153134032,usd_up_oil_down
2017-05-09,5,0.017046817375863332,0.002470559070548717,0.018940952874206385,-0.03250731220735248,-0.03791909153134032,usd_up_oil_down
2017-05-09,10,0.03335254745240679,0.002470559070548717,0.03895242102926688,-0.03250731220735248,-0.03791909153134032,usd_up_oil_down
2017-05-09,15,0.047517045912630174,0.002470559070548717,0.04850522932992729,-0.03250731220735248,-0.03791909153134032,usd_up_oil_down
2017-05-09,20,0.06242273219947925,0.002470559070548717,0.06662266251395077,-0.03250731220735248,-0.03791909153134032,usd_up_oil_down
2017-05-09,30,0.023964402878860813,0.002470559070548717,0.06662266251395077,-0.03250731220735248,-0.03791909153134032,usd_up_oil_down
