holding_days,sample_count,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent
3,32,0.53125,0.010051000537319905,0.0001931126464119748,-0.012535094169831885,0.02133347292302173,0.003350333512439968,1.3165275376728265
5,32,0.65625,0.020607334923483545,0.00789328305827941,-0.013832098835358034,0.03191510706047992,0.0041214669846967086,1.7956173964215307
10,32,0.90625,0.029094523109261677,0.023732533267111444,-0.016768949418659477,0.05008435509224766,0.0029094523109261675,1.06002611109479
15,32,0.90625,0.03992812988550265,0.03628894393672777,-0.01800044040168589,0.05976403624940941,0.0026618753257001766,0.9304380809067618
20,32,0.875,0.04593400861139865,0.03804461503365253,-0.019935037512278094,0.07082913326810406,0.0022967004305699326,0.760978212266062
30,32,0.84375,0.04072926180018935,0.023964402878860813,-0.017974179009874948,0.07683060330464897,0.0013576420600063116,0.3984187272970854
