holding_days,year,sample_count,win_rate,avg_return,avg_max_drawdown
3,2016,5,0.2,-0.004503032918201422,-0.014607774049212697
3,2017,4,0.25,-0.0021176495321272026,-0.0051365146067650636
3,2020,6,0.6666666666666666,0.030188811512444087,-0.013255903872066007
3,2021,7,0.7142857142857143,0.0060690051047997805,-0.007106497329570376
3,2022,1,0.0,-0.012779031377034511,-0.017445264323746046
3,2024,5,0.6,0.007395270210209426,-0.008297517053254589
3,2025,3,1.0,0.03643728034310915,-0.0055253962476407015
3,2026,1,0.0,-0.004507285597850186,-0.10274814188916681
5,2016,5,0.2,-0.007864459584912043,-0.01914705916373547
5,2017,4,0.75,0.005560431182051545,-0.006531182607537739
5,2020,6,0.8333333333333334,0.058316952738400686,-0.013255903872066007
5,2021,7,0.7142857142857143,0.010727307681487299,-0.008996361861160691
5,2022,1,0.0,-0.010021753098992892,-0.017445264323746046
5,2024,5,0.8,0.026593732402585467,-0.008297517053254589
5,2025,3,1.0,0.04857645008363587,-0.0055253962476407015
5,2026,1,0.0,-0.01715383861782982,-0.10274814188916681
10,2016,5,0.6,0.006389591889035917,-0.029949856348816195
10,2017,4,1.0,0.02451246776138133,-0.006531182607537739
10,2020,6,1.0,0.056054438450163745,-0.013831275722100153
10,2021,7,1.0,0.018987337928988657,-0.013220180301510969
10,2022,1,0.0,-0.0176573775900295,-0.024391536881331777
10,2024,5,1.0,0.018880023928129132,-0.008297517053254589
10,2025,3,1.0,0.0787139794191017,-0.0055253962476407015
10,2026,1,1.0,0.01890423249384443,-0.10274814188916681
15,2016,5,0.6,0.013529135204976606,-0.03222134256836371
15,2017,4,1.0,0.027569819099107384,-0.006531182607537739
15,2020,6,1.0,0.09231817831747484,-0.013831275722100153
15,2021,7,1.0,0.030839737174430098,-0.013220180301510969
15,2022,1,0.0,-0.03711755612376566,-0.05244181724043939
15,2024,5,1.0,0.023468855591693094,-0.008297517053254589
15,2025,3,1.0,0.07070926120663328,-0.0055253962476407015
15,2026,1,1.0,0.037633468334312914,-0.10274814188916681
20,2016,5,0.6,0.0031983214596493113,-0.04008346811752519
20,2017,4,1.0,0.03725772017710588,-0.006531182607537739
20,2020,6,0.8333333333333334,0.10510905031583496,-0.017597355687624012
20,2021,7,1.0,0.02792674309137731,-0.013220180301510969
20,2022,1,0.0,-0.02105099566692148,-0.05244181724043939
20,2024,5,1.0,0.03869663184245873,-0.008297517053254589
20,2025,3,1.0,0.0848705661848362,-0.0055253962476407015
20,2026,1,1.0,0.05168042192355515,-0.10274814188916681
30,2016,5,0.6,0.041072141338087384,-0.04304098046816858
30,2017,4,1.0,0.016459901979813618,-0.006531182607537739
30,2020,6,0.8333333333333334,0.10019401411824636,-0.0183296519703177
30,2021,7,1.0,0.02066517436190729,-0.013220180301510969
30,2022,1,0.0,-0.019672291800019615,-0.05244181724043939
30,2024,5,1.0,0.014380876919247809,-0.00886654732385701
30,2025,3,1.0,0.06445146771904331,-0.0055253962476407015
30,2026,1,0.0,,
