trade_date,ticker,gold_open,gold_high,gold_low,gold_close,adj_close,gold_volume,usd_close,oil_close,usd_ret_lb,oil_ret_lb,usd_regime,oil_regime,resonance_regime,ret_3d,ret_5d,ret_10d,ma5,ma10,ma20,ma30,avg_volume_5d,avg_volume_20d,volume_ratio_1d_vs_20d,close_vs_ma10,close_vs_ma20,recent_20d_high,pullback_depth_from_high,trend_intact_flag,reclaim_short_ma_flag,new_high_breakout_flag,oversold_rank_5d,future_ret_3d,hold_max_drawdown_3d,hold_max_runup_3d,future_ret_5d,hold_max_drawdown_5d,hold_max_runup_5d,future_ret_10d,hold_max_drawdown_10d,hold_max_runup_10d,future_ret_15d,hold_max_drawdown_15d,hold_max_runup_15d,future_ret_20d,hold_max_drawdown_20d,hold_max_runup_20d,future_ret_30d,hold_max_drawdown_30d,hold_max_runup_30d,is_trend_continuation,is_pullback_repair,is_mean_reversion,structure_name
2016-01-04,GC=F,1063.4000244140625,1082.5,1063.199951171875,1075.0999755859375,1075.0999755859375,143,98.87000274658203,37.220001220703125,,,usd_weak,oil_weak,usd_down_oil_down,,,,,,,,,,,,,,,0,0,0,,0.03032273865337065,0.00018609733674157525,0.03190405507118643,0.01990514826530365,0.00018609733674157525,0.03348525794578294,0.013766207017220866,-0.001302227184313276,0.03348525794578294,0.04334478341006398,-0.001302227184313276,0.04334478341006398,0.04855369214731686,-0.001302227184313276,0.052367268260276045,0.12649986335073526,-0.001302227184313276,0.1727281903629283,0,0,0,none
2016-01-05,GC=F,1075.5999755859375,1081.5,1075.300048828125,1078.4000244140625,1078.4000244140625,82,99.4000015258789,36.41999816894531,,,usd_weak,oil_weak,usd_down_oil_down,,,,,,,,,,,,,,,0,0,0,,0.017989636475206128,0.002967313704961727,0.030322654331950805,0.006676512434045101,0.002967313704961727,0.030322654331950805,0.026613455602867653,-0.0043583764241300615,0.030322654331950805,0.034959152743304855,-0.0043583764241300615,0.040152008324869204,0.05832717265398668,-0.0043583764241300615,0.06268543588235476,0.13696211779309464,-0.0043583764241300615,0.16913948468534912,0,0,0,none
2016-01-06,GC=F,1081.5999755859375,1093.699951171875,1081.5999755859375,1091.9000244140625,1091.9000244140625,52,99.18000030517578,34.22999954223633,,,usd_weak,oil_weak,usd_down_oil_down,,,,,,,,,,,,,,,0,0,0,,0.004212817550220294,-0.00027479514737260846,0.017583982729717507,-0.004029695316128956,-0.009524703893695197,0.017583982729717507,0.006593965574585248,-0.01666825976302555,0.017583982729717507,0.021705239162892243,-0.01666825976302555,0.03095514790921472,0.06017029920585548,-0.01666825976302555,0.06017029920585548,0.12684311466548603,-0.01666825976302555,0.1546845138177353,0,0,0,none
2016-01-07,GC=F,1091.5999755859375,1109.4000244140625,1091.5999755859375,1107.699951171875,1107.699951171875,122,98.22000122070312,33.75,,,usd_weak,oil_weak,usd_down_oil_down,0.03032273865337065,,,,,,,,,,,,,,0,0,0,,-0.019951229177682217,-0.02139564161468277,0.003069445304629159,-0.030513612212453745,-0.03069423264308191,0.003069445304629159,-0.009479101257422351,-0.03069423264308191,0.003069445304629159,0.007854178591398586,-0.03069423264308191,0.01624988786986692,0.04522894273241351,-0.03069423264308191,0.06057605905395458,0.09190218770022263,-0.03069423264308191,0.1382144122099851,0,0,0,none
2016-01-08,GC=F,1111.0999755859375,1111.0999755859375,1093.0,1097.800048828125,1097.800048828125,98,98.54000091552734,33.54999923706055,,,usd_weak,oil_weak,usd_down_oil_down,0.017989636475206128,,,1090.1800048828125,,,,99.4,,,,,,,0,0,0,,-0.009382445226815306,-0.014847921391081154,0.009200195970768155,-0.005738794450638074,-0.02195308488278558,0.009200195970768155,0.0076515776736543195,-0.02195308488278558,0.010930952328531696,0.027418449851654314,-0.02195308488278558,0.029331344270067783,0.09118233843475587,-0.02195308488278558,0.09345962016986653,0.11340863040851623,-0.02195308488278558,0.1484787691292222,0,0,0,none
2016-01-11,GC=F,1105.699951171875,1107.9000244140625,1096.5,1096.5,1096.5,43,98.7300033569336,31.549999237060547,-0.0014159945965337428,-0.15233750128113155,usd_weak,oil_weak,usd_down_oil_down,0.004212817550220294,0.01990514826530365,,1094.460009765625,,,,79.4,,,,,,,0,0,0,0.8063393892539621,-0.020611012846272203,-0.020793478183424585,0.0018239854081167906,-0.006019129581338323,-0.020793478183424585,0.0018239854081167906,0.022982171611377167,-0.020793478183424585,0.022982171611377167,0.028089419815891414,-0.020793478183424585,0.03182856763708397,0.09320560982387138,-0.020793478183424585,0.09475606421711125,0.12968531798620608,-0.020793478183424585,0.14984044580768363,0,0,0,none
2016-01-12,GC=F,1093.800048828125,1098.5,1084.0,1085.5999755859375,1085.5999755859375,87,98.97000122070312,30.860000610351562,-0.004325958738177982,-0.15266331241429498,usd_weak,oil_weak,usd_down_oil_down,-0.019951229177682217,0.006676512434045101,,1095.9,,,,80.4,,,,,,,0,0,0,0.5852338616157712,0.005434805219922678,-0.010961702912382298,0.009395793544193953,0.01980471673131312,-0.010961702912382298,0.02229188815993277,0.02809506327000233,-0.010961702912382298,0.033253478627293775,0.05130810104534511,-0.010961702912382298,0.05563745925976327,0.10049740055221745,-0.010961702912382298,0.10574802082706691,0.1405674088225488,-0.010961702912382298,0.16138548008682996,0,0,0,none
2016-01-13,GC=F,1081.5,1093.9000244140625,1081.5,1087.5,1087.5,50,98.93000030517578,30.309999465942383,-0.0025206694820604225,-0.11451943116321295,usd_weak,oil_weak,usd_down_oil_down,-0.009382445226815306,-0.004029695316128956,,1095.0199951171876,,,,80.0,,,,,,,0,0,0,0.35523772709702356,0.00220691900143688,-0.012689700071839116,0.007632228807471275,0.010666644216954069,-0.012689700071839116,0.020505792025862002,0.02583905801005737,-0.012689700071839116,0.035126391882183805,0.06445974766523,-0.012689700071839116,0.06445974766523,0.14749427532327597,-0.012689700071839116,0.15935636673850584,0.12165521731321838,-0.012689700071839116,0.15935636673850584,0,0,0,none
2016-01-14,GC=F,1091.5,1091.5,1073.699951171875,1073.9000244140625,1073.9000244140625,59,99.08999633789062,31.030000686645508,0.00885761663994078,-0.08059257224754046,usd_strong,oil_weak,usd_up_oil_down,-0.020611012846272203,-0.030513612212453745,,1088.260009765625,,,,67.4,,,,,,,0,0,0,0.05527638190954774,0.030915309076363418,0.007356387218980576,0.033429577798594456,0.021696551101696215,0.007356387218980576,0.033429577798594456,0.03957537855834281,0.007356387218980576,0.048235334370231975,0.07812647593507571,0.007356387218980576,0.09395662735841293,0.15383177895168676,0.007356387218980576,0.17403856985294164,0.14898966045493722,0.007356387218980576,0.17403856985294164,0,0,0,none
2016-01-15,GC=F,1085.0,1095.800048828125,1081.800048828125,1091.5,1091.5,44,98.95999908447266,31.010000228881836,0.004262209915193216,-0.0757078708178609,usd_strong,oil_weak,usd_up_oil_down,0.005434805219922678,-0.005738794450638074,,1087.0,1088.5900024414063,,,56.6,,,0.002673180492258176,,,,0,1,0,0.32547352145342096,0.0069628727310466765,-0.0060467023233509165,0.016765963195716882,0.013467660258245528,-0.0060467023233509165,0.016765963195716882,0.03334862520756987,-0.0060467023233509165,0.03527256069628959,0.09748055374627795,-0.0060467023233509165,0.09977097976551774,0.10664225782323644,-0.0060467023233509165,0.1551076947577874,0.12716449732306456,-0.0060467023233509165,0.1551076947577874,0,0,0,none
